Locus,PP_0368_log2_change,PP_0368_log10_p_value,PP_0751_log2_change,PP_0751_log10_p_value,PP_0812_15_log2_change,PP_0812_15_log10_p_value,PP_0812_log2_change,PP_0812_log10_p_value,PP_0813_log2_change,PP_0813_log10_p_value,PP_0814_log2_change,PP_0814_log10_p_value,PP_0815_log2_change,PP_0815_log10_p_value,PP_0751_PP_0812_log2_change,PP_0751_PP_0812_log10_p_value,PP_1317_PP_0812_log2_change,PP_1317_PP_0812_log10_p_value,PP_1317_log2_change,PP_1317_log10_p_value,PP_2136_log2_change,PP_2136_log10_p_value
A0A140FWP7,-0.34895587635724773,0.5483748719887152,0.04471657691565624,0.09745237786703025,-0.12939783256501353,0.18724677972688908,0.1255372090400653,0.3096905326869174,-0.27319853039994146,0.6690865866705047,-0.40845113660777443,0.7086110914687179,-0.9572268028208352,0.9915150663647063,0.7079893840105117,0.8656702176113273,0.01508368265831864,0.016979055780525217,1.1694526043109965,1.550592752125932,0.9710895503504424,0.6298945258621078
A0A140FWQ2,-1.2602728264594203,2.208122086068227,-0.06207733489753553,0.07288383267662066,-0.36273782566784585,,-0.6262981361113393,,-0.3181824308909028,,,,,,,,,,0.0760380515517389,,1.527752586551109,
A0A140FWQ5,0.047487115781418475,0.21797146273885307,-0.032285907086746966,0.3671327803867842,-0.1692933459479014,0.44976779790232124,0.05464058606670241,0.2526428977988607,0.0005439417585652428,0.003861102410329973,-0.16846701585551632,1.0597481033156533,0.08181598380671959,0.4408114357001336,0.01707388991336658,0.026109454547621282,-0.4267661453495773,0.9348338796493972,0.7254004989447972,1.3362689538370638,0.7836686762243709,2.7191805611455626
A0A140FWQ8,-0.2638907763555504,0.7388432285413887,0.139451183593978,1.3167153973788182,0.023329966541114425,,0.030132015069740968,0.04198663580452442,-0.009446743640977216,0.016445890735557446,-0.8469111953234283,1.0060117937196125,-0.7450830828570658,1.826292375902227,-0.44864594896586873,0.2905937586022581,-0.6262508437381495,,0.7176969118739893,0.643152123122765,,
A0A140FWQ9,0.2895844530683182,1.1944591486702534,0.30679840276258796,1.0745288675814622,0.23786764341201844,0.8038527411854858,0.26820148093975194,1.8142324840703072,0.1917122392762849,1.4723315939383173,-0.01996423581555689,0.07120440597441248,-0.2753755448691647,0.9621382573124516,0.552585326874814,1.0041583773854812,-0.13359343968180581,0.15831881200981893,1.1818399221205467,,1.0246103409804512,
A0A140FWS3,0.08718194883084456,0.367283675620489,0.06852170928223568,0.7795919951607181,0.017549931261724615,0.04456682135060231,0.005777206278602243,0.04201360991338712,-0.035920218721120396,0.2739852818114745,0.012928575767835406,0.18396062527344095,0.0798064959041719,0.7819819691718848,0.03882913900396883,0.2699455822317667,-0.10595769815493478,0.8435060091606437,0.8618328493228392,1.315180406873691,0.2858676982499313,0.6975492373464272
A0A140FWS4,0.04321563348862914,0.027775702932933376,0.30376664191418123,0.5767440679634743,0.38724498063506235,0.29173971165469637,-0.9156477606008606,1.4397699063461518,1.0956003499622273,0.606306748697059,0.300965416754372,0.5182645339539191,-0.3460970727108284,0.34284211198535175,-0.4455233596255683,0.26363341154042536,0.2875668284843151,0.14063749227990205,,,,
A0A140FWS5,0.17483741286635193,0.37554897116802355,0.11492366504376088,0.21861004067179343,0.44607305899427335,0.5679550211424894,0.2889199998035075,0.9143140082259813,0.17646828825015698,0.42260642195887776,-0.43974343562387075,1.1833018143941756,0.06689996887053001,0.07091613639269939,-0.13525520994015236,0.09020371600196408,-0.470509137881507,0.7971123830948871,,,0.18814488397090162,0.3112735002940031
A0A140FWU0,0.2880674802159581,0.45098193187902974,0.04477875703066358,0.06674214294877033,-0.17112715064830838,,0.32298300933297075,0.5655294127013726,-0.4961837816171824,1.145021156930544,-0.07026653853391253,0.09578616045331528,0.5653985807423498,1.074055742945136,0.10485438983284344,0.12237916126325867,0.6231627884215927,,,,2.306289365048672,1.0359954899758812
MM_1762,0.025771257327392518,0.42872692441864274,0.01697951434842124,0.07165883681596648,0.09162753641865415,0.6877234288782773,0.20205250995539975,1.5283521393368291,-0.2038173526462416,1.729489425003421,0.6089522273162459,2.2015115682781192,0.4829478500214608,4.744438558664639,0.08682652245780963,0.8916360562463332,0.10264054469358834,0.7785916459658928,0.30776985087234776,1.3882709492043397,0.1572055384055563,1.204373917943575
