Nontarget_abundance,Measurement Type,target_abundance,log2_change,p_value,log10_p_value
,PP_0864,9820327.833333334,,,
,PP_0868,1887631.2666666668,,,
,PP_0869,423559.0,,,
,PP_0870,1232197.2,,,
,PP_0872,4797023.399999999,,,
,PP_0878,202421.0,,,
,PP_0879,1302065.0,,,
,PP_0882,285839.0,,,
,PP_0883,809246.0666666668,,,
,PP_0885,7645375.333333333,,,
,PP_0886,1382023.0,,,
,PP_0887,182704.7333333333,,,
,PP_0888,2450528.8000000003,,,
,PP_0891,745387.3333333334,,,
,PP_0893,1723561.0,,,
,PP_0897,43962178.666666664,,,
,PP_0901,801121.2666666666,,,
,PP_0909,3025243.0,,,
,PP_0913,16551613.466666667,,,
,PP_0914,3274625.9333333336,,,
,PP_0915,46537888.26666667,,,
,PP_0918,509069.1333333333,,,
,PP_0919,1120115.5666666667,,,
,PP_0920,1141422.0666666667,,,
,PP_0925,3740235.0,,,
,PP_0927,765278.0,,,
,PP_0930,11080543.133333333,,,
,PP_0931,12160605.066666668,,,
,PP_0932,993553.9333333332,,,
,PP_0933,31966308.066666666,,,
,PP_0934,3258966.0666666664,,,
,PP_0937,8212319.333333333,,,
,PP_0938,4051534.466666667,,,
,PP_0939,1049026.6666666667,,,
,PP_0940,8282520.566666666,,,
,PP_0941,2062594.4666666668,,,
,PP_0942,27316729.766666666,,,
,PP_0949,3965184.0666666664,,,
,PP_0950,7359549.933333334,,,
,PP_0951,3910936.0,,,
,PP_0952,11611457.299999999,,,
,PP_0953,5023463.733333333,,,
,PP_0954,5115008.899999999,,,
,PP_0955,1196459.5333333332,,,
,PP_0956,4180889.8000000003,,,
,PP_0957,1712638.8666666665,,,
,PP_0958,2526656.733333333,,,
,PP_0959,1221440.5999999999,,,
,PP_0960,5637516.066666666,,,
,PP_0961,6119942.933333334,,,
,PP_0964,26967821.2,,,
,PP_0965,17185885.599999998,,,
,PP_0966,19881038.900000002,,,
,PP_0967,14141792.233333334,,,
,PP_0973,2918452.3333333335,,,
,PP_0975,29110045.866666663,,,
,PP_0976,289375.6,,,
,PP_0977,17839357.566666666,,,
,PP_0980,55451777.86666667,,,
,PP_0982,3900604.6,,,
,PP_0983,401749.06666666665,,,
,PP_0986,5898736.666666667,,,
,PP_0987,431511.8,,,
,PP_0988,4054411.6,,,
,PP_0989,630536.0,,,
,PP_0998,4917126.933333334,,,
,PP_0999,15877767.333333334,,,
,PP_1000,50379619.73333333,,,
,PP_1001,70251588.0,,,
,PP_1009,18725109.333333332,,,
,PP_1010,61117929.73333333,,,
,PP_1011,15755476.533333333,,,
,PP_1012,2819626.6666666665,,,
,PP_1013,1259535.0666666667,,,
,PP_1014,3107639.6666666665,,,
,PP_1015,35991147.6,,,
,PP_1016,5107627.399999999,,,
,PP_1017,1045661.2666666666,,,
,PP_1018,23649962.0,,,
,PP_1019,20497564.733333334,,,
