Protein.Group,0812_0815-Control_log2_change,0812_0815-Control_log10_p_value
PP_0133,0.6293344456683155,0.21688339277274682
PP_0139,-0.5883486370448952,0.4794115534295473
PP_0140,0.7092829133787744,1.111988736237204
PP_0145,,
PP_0155,-0.48655576742289824,0.822266496793669
PP_0165,2.118884682663709,
PP_0166,0.3184641254325888,0.6950575612995231
PP_0167,0.7150526789360461,0.9915602956472909
PP_0168,0.7492781712059072,0.646608407890039
PP_0173,,
PP_0180,0.1471237395008051,0.13415160302669982
PP_0181,1.025373116516828,1.8613568996511425
PP_0183,0.3721368045342952,0.5999252035230231
PP_0184,0.17065441506007942,0.8302463905649354
PP_0185,0.8695759465367084,0.9654121409782394
PP_0186,0.27774469651515243,0.5712702055359703
PP_0188,0.027959621229574863,0.06016893680275677
PP_0189,0.34868352682208176,0.9171174370377128
PP_0191,-0.6882599712931081,0.967528946516452
PP_0194,0.8599322326946953,0.6624600329588489
PP_0196,-1.5911673993603153,
PP_0213,0.3108580876643978,1.1363556193812974
PP_0214,0.22499923391621957,0.9165848060916347
PP_0215,1.1865657913690097,0.5158465987312385
PP_0227,0.05849694623001279,0.3269713896444672
PP_0228,0.060243177505081104,0.08339433530346829
PP_0234,0.3063863724081895,0.9864853053825554
PP_0235,0.43517541810601434,1.2686659968853053
PP_0243,0.2336013648092311,0.6312362272465626
PP_0245,-0.42278603887954613,0.32027829434110994
PP_0246,-0.05961104713445562,0.09846776114446773
PP_0252,-0.002124747119916508,0.0038293765178880803
PP_0258,1.370793625325473,1.1607185082425842
PP_0260,0.27010638076865245,0.26420043717910835
PP_0261,0.9105321186158483,0.9587478851229408
PP_0263,-1.1972282156794407,
PP_0268,0.3457679820362043,0.8100656190855966
PP_0282,-0.15019595111046063,0.2173496832116976
PP_0283,-0.149079597985458,0.06794767738385786
PP_0285,0.43948902430431064,0.5900101976999289
PP_0287,0.469473051541843,0.7444034550754768
PP_0289,0.12440327113835975,0.4321882612222079
PP_0290,-0.10647745188597044,0.36547251865984065
PP_0292,0.15184887773305644,1.01004821445573
PP_0293,0.07353014030462439,0.058423547476997365
PP_0296,0.09209439120138882,0.5586534120709954
PP_0321,,
PP_0333,1.1891343240403227,
PP_0336,0.2130035790144047,0.11072179679540622
PP_0338,0.3518225963219478,1.2461275882075837
PP_0339,0.0599840166099304,0.11837896101341472
PP_0340,0.482787417954121,0.7612402975263188
PP_0341,0.532671685500297,0.9497576611376988
PP_0343,-0.2808295524366142,
PP_0344,-1.3055006128457098,2.4141058071412522
PP_0346,-0.06081560261981635,0.06664197647224487
PP_0347,-0.941268336545516,1.026654696101112
PP_0354,,
