Protein.Group,Control_log2_FC,Control_log10_pval,PP_0368_log2_FC,PP_0368_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_15_log2_FC,PP_0812_15_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_0751_PP_0812_log2_FC,PP_0751_PP_0812_log10_pval,PP_1317_PP_0812_log2_FC,PP_1317_PP_0812_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval
PP_4863,,,,,3.378423927171891,2.2961556828359075,1.5949026945617508,1.3382379356364102,,,1.7925318795028553,1.715240472422762,1.1077764179111387,1.8722989428344692,,,,,,,,,,
PP_4864,,,,,3.406829389084732,1.4408583963951909,,,2.856778717989143,3.4547442406458804,,,,,,,,,,,,,,
PP_5229,,,,,1.846551610337206,1.5412064309489788,,,,,,,,,,,,,,,,,,
PP_5258,,,,,1.4803994215289638,1.633778987831938,,,,,,,,,,,,,,,,,,
PP_5332,,,,,2.608732692743677,1.7410440269054241,,,,,1.1931845593257184,1.8788799704316268,,,,,,,,,,,,
PP_0258,,,,,,,1.7594772465330841,1.6607152881768659,,,,,,,1.993156083547813,4.2390409583903015,,,,,,,,
PP_0412,,,,,,,1.0291933573721272,1.9358027189732436,,,,,,,,,,,,,,,,
PP_0977,,,,,,,-2.1294325265110743,1.8216690768715542,,,,,,,-2.475389496363647,3.2421926830189918,,,,,,,,
PP_1389,,,,,,,3.1390793854331855,2.3222452905400583,,,,,,,3.3293372421573126,5.796035238652274,,,,,,,,
PP_1603,,,,,,,1.153551219189431,1.689098383081441,,,,,,,,,,,,,,,,
PP_1618,,,,,,,1.63897022967473,1.3785561197943434,,,,,,,,,,,,,,,,
PP_1726,,,,,,,1.9883393248808543,2.4829563611265675,,,,,,,,,,,,,,,,
PP_2059,,,,,,,-1.5686208174394234,2.310243002983194,,,,,,,,,,,,,,,,
PP_2156,,,,,,,1.6363611721069513,1.4146191552607206,,,,,,,,,,,,,,,,
PP_2679,,,,,,,1.7872693187958995,1.3770924378254834,,,,,,,,,,,,,,,,
PP_2791,,,,,,,1.2697450709124667,1.8047209190092084,,,,,-4.033157394565827,4.043125932424084,2.2797823926090652,4.370441283151896,,,,,,,,
PP_2876,,,,,,,-1.4639656246489954,1.6731593422001303,,,,,,,2.966700100524287,2.7622903608859075,,,,,,,,
PP_3099,,,,,,,1.2245152396954204,1.35787098058525,,,,,,,,,,,,,,,,
PP_3135,,,,,,,2.538659495652145,1.559505533940076,,,,,,,1.1929991070282442,2.3545151406633242,,,,,,,,
PP_3504,,,,,,,-2.1027190074905633,1.4298613580822053,,,,,,,,,,,,,,,,
PP_3957,,,,,,,2.0098329281545944,1.8288935635394943,,,,,1.3401401414873186,1.3765897060794507,2.6092304756650777,2.5323669636286854,,,,,,,,
PP_4310,,,,,,,1.8408324732995087,1.5006396842577063,1.3663917702684611,1.4372609125465732,,,,,,,,,,,,,,
PP_4393,,,,,,,1.7099081599995285,1.471217700060112,,,,,,,,,,,,,4.0373856558147425,1.5405324493843893,3.0566019140085174,1.6232934510957497
PP_4704,,,,,,,1.7625523339814646,1.3789171684575834,,,,,,,1.1131209081559463,1.4698053028364704,,,,,,,,
PP_4923,,,,,,,2.853027263784722,2.941194857688798,,,,,,,1.7787243482161676,1.927651483197635,,,,,,,,
PP_4938,,,,,,,1.6619412607703246,1.429863811799189,,,,,,,,,,,,,,,,
PP_5365,,,,,,,1.8342208485950584,1.479862090270517,,,,,,,2.219720047456161,1.5152461953513687,,,,,,,,
PP_0283,,,,,,,,,-2.6969545877730123,1.641178657950411,,,,,,,,,,,,,,
PP_0492,,,,,,,,,2.797903972814602,2.0634556185356003,,,,,,,,,,,,,,
PP_0543,,,,,,,,,1.488119679054096,1.6129813514028701,,,,,1.126930344283942,1.8016441139400727,,,,,,,,
PP_0720,,,,,,,,,1.143224581000134,2.3775915483865893,,,,,,,,,,,,,,
PP_0797,,,,,,,,,-1.1439750392916668,1.475109173550073,,,,,1.5135852807823953,2.0186427028054683,,,,,,,,
PP_0832,,,,,,,,,1.0099032267543275,1.4937253218232736,,,,,,,,,,,,,,
PP_2140,,,,,,,,,1.7271939230916116,1.3303843274006,1.694459580904199,1.804483412418342,,,,,,,,,,,,
