Protein.Group,PP_0812_PP_0813_log2_FC,PP_0812_PP_0813_log10_pval,PP_0812_PP_0814_log2_FC,PP_0812_PP_0814_log10_pval,PP_0812_PP_0813_PP_0814_log2_FC,PP_0812_PP_0813_PP_0814_log10_pval,PP_0813_PP_0814_log2_FC,PP_0813_PP_0814_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval
PP_1131,2.7034679848557888,1.69487788963369,,,2.7426748596631594,1.764291515242795,2.845548667026926,3.862244343408425,,,,,,
PP_1205,0.539176042971669,2.5437141266739123,,,,,,,,,,,,
PP_1206,-0.544065312519118,3.462960513532741,,,-0.617389962965732,3.9175130184761904,,,1.0005750828220705,7.515093070893582,1.1108292218410094,4.6061577922475205,0.7918595320590263,8.018770031749025
PP_1213,0.278567322439735,8.965527850562568,,,,,,,,,0.08990852989856904,2.310674776243716,0.08648084527445342,1.866042726482546
PP_1222,0.8112235405067499,3.510056487742883,,,,,,,,,,,,
PP_1223,0.7658104594216805,10.037583176398396,1.3095850696593436,13.760679403495203,0.7737098687356965,6.1005325842157125,1.3534316074498551,3.7948647045213275,0.5679000702805267,2.0979479811301616,0.47237135194722246,5.4597991737241225,0.16593907259850427,1.4761249687090008
PP_1297,0.3497100099732724,5.021031356237049,0.5294437786439046,1.5309728917402532,0.34510800360961913,2.3607658302373284,0.6947349262533107,2.8953269834529873,0.3246985775611159,2.1946129678547437,0.4683603448880954,6.063852612246943,0.6489036225568926,4.18510856774291
PP_1316,-1.16991312206316,10.113268532122415,-0.42858097282710544,1.409252386012656,-0.515967340751354,6.040189599029018,-0.523679375636683,2.366026071567401,-0.3505800130861343,1.920879983194533,-0.4717883965874237,1.5700492784447548,-0.5139705003314411,3.0961045787599684
PP_1345,0.9378270111535373,2.302904715189832,0.6152766240768505,1.7335430198722348,0.6541424686511109,7.04890043859035,0.553345947784262,2.2565091905886985,0.5691349949975504,8.150590585319517,0.5553115490870184,5.416816160032127,0.39415796418759724,5.429576645774933
PP_1360,-0.8061861195347751,2.5892764267973014,,,-1.1063117982816533,9.600931696363123,,,,,,,,
PP_1361,-0.262386748458204,1.9673940421206928,,,-0.560150091562412,8.464673792604643,,,0.3073700438195709,5.357301129412962,0.3413365263010403,3.4100918238255495,0.3600041506373628,1.7631993937464656
PP_1362,0.49433532850341577,2.9011777390065756,,,0.2614554729315199,2.043007864995378,,,,,,,-0.12474035723558977,1.6977172540580314
PP_1385,3.9983937084964376,1.8429977263380215,,,3.5857365623434942,1.4815540447292213,,,,,,,,
PP_1430,0.6841342709546446,3.7212788321788293,,,,,,,,,,,,
PP_1462,-0.8729048560415273,9.697090888626336,-0.7846581788212277,7.252357662251721,-0.9498907747996024,6.927530045182126,-0.9069197936190133,5.031261648974451,-0.29240080795592316,2.0180996267199434,-0.24773141215085692,1.5513982137288151,-0.5865397279083936,7.206670551789778
