Protein.Group,PRT1093_PP_0528_PP_0751_PP_0812_PP_0815_log2_change,PRT1093_PP_0528_PP_0751_PP_0812_PP_0815_log10_p_value,PRT1093_PP_0528_PP_0751_PP_0813_PP_0815_log2_change,PRT1093_PP_0528_PP_0751_PP_0813_PP_0815_log10_p_value,PRT1093_PP_0368_PP_0751_PP_0813_PP_0815_log2_change,PRT1093_PP_0368_PP_0751_PP_0813_PP_0815_log10_p_value,PRT1093_PP_0368_PP_0751_PP_0814_PP_0815_log2_change,PRT1093_PP_0368_PP_0751_PP_0814_PP_0815_log10_p_value
PP_0013,,,-0.28381305116525857,1.5303704953947093,-0.2678141589683066,1.3420330054207532,,
PP_0018,0.33652190649299646,2.5939910441011813,,,-0.2764576563753352,1.5337032427894748,,
PP_0019,,,1.4391753492196127,1.5031686197016678,1.2473581700761798,1.3136652850046497,,
PP_0052,1.0023890952838135,1.439477148337762,1.5697445415917253,1.9618224821641712,1.5081093900173186,1.6758173758572872,,
PP_0065,,,,,0.7437335886018105,2.262519192343043,,
PP_0067,,,,,,,1.7352174488124388,1.7662173664062557
PP_0073,-0.5533477223576626,2.44407273980765,,,,,,
PP_0074,,,0.8281340373535908,1.3881761644697703,0.8513555428006047,3.437552807743558,,
PP_0088,0.904911503630776,3.498600257358998,,,0.4697811566066161,1.9513458910889132,,
PP_0089,-3.7962722404226095,1.692447759713363,-3.822435235652176,1.6958120189930477,,,-3.8841513032022887,1.7021648398772833
PP_0100,,,,,-0.25526180230723483,2.4444198777748785,,
PP_0111,0.8342711874459852,2.5061428434930857,0.47936264431606695,1.5461547800350215,1.0264037702480835,1.4158249801284362,,
PP_0112,,,,,0.5713557639588169,2.818109141057563,,
PP_0124,-0.9394212937057796,1.464534594102746,,,,,,
PP_0126,4.702119811995893,2.9470344385046574,3.957471145021841,9.642607346916035,3.5211560427827155,1.9202072068562939,4.37719391494121,3.2224840399972363
PP_0133,0.8887274853780444,1.7857415209099463,,,,,,
PP_0134,,,,,,,2.46247563308725,1.3377763243775493
PP_0144,,,1.1852756379023652,1.44473768767447,,,,
PP_0145,3.1605469823819927,2.0490767560006518,,,,,,
PP_0155,,,1.6207754595709312,3.1062244374913823,1.743941658507143,3.3253753081275934,,
PP_0165,2.6408721422771237,1.829505068815814,,,1.9304578046079544,5.865652807915992,,
