Protein.Group,PP_0368_PP_0437_PP_0812_log2_FC,PP_0368_PP_0437_PP_0812_log10_pval,PP_0368_PP_0528_PP_0812_log2_FC,PP_0368_PP_0528_PP_0812_log10_pval,PP_0368_PP_0751_PP_0812_log2_FC,PP_0368_PP_0751_PP_0812_log10_pval,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log10_pval,PP_0368_PP_0812_log2_FC,PP_0368_PP_0812_log10_pval,PP_0368_PP_0812_PP_0813_log2_FC,PP_0368_PP_0812_PP_0813_log10_pval,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log10_pval,PP_0368_PP_0812_PP_0814_log2_FC,PP_0368_PP_0812_PP_0814_log10_pval,PP_0368_PP_0812_PP_0815_log2_FC,PP_0368_PP_0812_PP_0815_log10_pval,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log10_pval,PP_0368_PP_0812_PP_2136_log2_FC,PP_0368_PP_0812_PP_2136_log10_pval,PP_0368_PP_0812_PP_4189_log2_FC,PP_0368_PP_0812_PP_4189_log10_pval,PP_0437_PP_0812_log2_FC,PP_0437_PP_0812_log10_pval,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log10_pval,PP_0528_PP_0812_log2_FC,PP_0528_PP_0812_log10_pval,PP_0751_PP_0812_log2_FC,PP_0751_PP_0812_log10_pval,PP_0751_PP_0812_PP_0814_log2_FC,PP_0751_PP_0812_PP_0814_log10_pval,PP_0751_PP_0812_PP_0815_log2_FC,PP_0751_PP_0812_PP_0815_log10_pval,PP_0751_PP_0812_PP_4189_log2_FC,PP_0751_PP_0812_PP_4189_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0812_PP_0813_log2_FC,PP_0812_PP_0813_log10_pval,PP_0812_PP_0813_PP_0814_log2_FC,PP_0812_PP_0813_PP_0814_log10_pval,PP_0812_PP_0813_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log10_pval,PP_0812_PP_0813_PP_1317_log2_FC,PP_0812_PP_0813_PP_1317_log10_pval,PP_0812_PP_0813_PP_4189_log2_FC,PP_0812_PP_0813_PP_4189_log10_pval,PP_0812_PP_0814_log2_FC,PP_0812_PP_0814_log10_pval,PP_0812_PP_0814_PP_0815_log2_FC,PP_0812_PP_0814_PP_0815_log10_pval,PP_0812_PP_0815_PP_1317_log2_FC,PP_0812_PP_0815_PP_1317_log10_pval,PP_0812_PP_0815_PP_2136_log2_FC,PP_0812_PP_0815_PP_2136_log10_pval,PP_0812_PP_0815_PP_4189_log2_FC,PP_0812_PP_0815_PP_4189_log10_pval,PP_0812_PP_2095_log2_FC,PP_0812_PP_2095_log10_pval,PP_0812_PP_2136_log2_FC,PP_0812_PP_2136_log10_pval,PP_0812_PP_4189_log2_FC,PP_0812_PP_4189_log10_pval
PP_4126,,,-0.3462207821185718,1.534594389939583,,,,,-0.9964484274142887,2.9973556495832026,-0.6372019987679074,7.162378784648227,,,,,,,-0.23926793206095692,3.5188983415283723,,,,,,,,,-0.43675004547752105,1.8516323781218478,,,,,0.3932645561300976,1.5253156877387402,0.269534224494371,1.4249963684462357,-0.6314987545417641,2.4612802581893334,,,,,-0.20385430470873,1.8294981547058786,,,,,,,,,,,,,,,,,-0.4966041877786109,2.4629528196771964,,
PP_4190,-1.6500252256723706,9.975986925467629,-0.7095849740397847,5.784649091630119,-1.207666748241784,6.209208342548347,-0.6236271888736974,3.628140591735477,,,-1.7002808301745838,9.22112362910696,-0.8503253904454885,7.098209603026558,-1.3397960930278316,8.528844359438278,,,-0.7728984484380008,6.682841053297427,-1.067301361924497,1.9076649456215669,-0.6742947912471016,5.97236925203142,-0.939892954037889,1.9896073329549957,,,-1.2215771061499348,2.7950402985862226,-0.639497926017262,5.42717507178156,-1.3667579187461898,9.30153329031884,,,-0.547992995545066,4.986414639080395,-0.4016111315973307,2.1304449947102837,-0.6507685095159896,5.192664173330983,-1.3835062190538874,9.220616523640714,-1.8157609881427923,10.122686470753074,-0.672944049735593,4.41984904010143,-1.098532284957578,1.9378416034870178,,,-0.8078322624699994,6.5626515924418225,,,-0.8848052481439419,2.3141012811589787,-0.5473102149279482,4.973903084660586,,,-0.7148332115447975,3.8085114562957902,,
PP_4191,,,,,,,,,,,,,,,,,-0.6172759270474757,3.104266355856746,-0.15173248901194986,1.331960557025467,,,,,,,-1.267167313638006,2.0737364430175482,,,,,,,,,0.20454364257745541,1.4223581805563414,-0.19662934144369118,1.6844455840684265,-0.577322104486054,5.693799666428656,,,-0.9820239271331785,4.808986563214708,-1.4794067782232412,1.748517184908758,-1.9556365344802698,3.6395096268752924,,,,,,,,,-0.4255539631938533,6.456041736423099,,,,,,
PP_4192,,,,,0.6033276694750335,2.280855516945372,0.47968759941372247,2.3246212697248314,,,-0.3075947997658753,1.4187556562002523,0.21978056001167456,1.6984521557624028,0.47151137693391026,4.334321391779189,,,0.3155219066938989,1.9782267533719102,0.3211694238638394,4.452733482703878,0.4077677367964396,2.238701946142256,,,,,-0.44803198526914756,1.3672710697863548,0.47518433323634,3.9008431078219146,,,0.17196547376440408,1.8585184282755138,0.5289805827709422,1.821646903772255,-0.49154294823994665,5.704727695449397,,,0.4206207947245249,2.033057906783713,,,0.3617576198279023,5.669280251115572,0.34126579983031113,2.8826599417649823,,,0.3271360321483092,1.661791800466307,,,0.3361615959057883,1.4490847712798656,0.45638707854429966,3.0507752158454364,,,,,,
PP_4193,-1.051786841226147,1.9853251436988353,,,,,,,0.6906341998552378,1.4853843508771651,,,,,,,-1.1915950649386007,1.6971604975682228,-0.28280184851451146,3.7378689778282865,-0.54934578540543,3.445584264606437,,,,,1.1779364057132993,1.6235028677761392,-0.6927038398316183,1.584173301721309,,,,,-2.001468144035094,4.732647383734438,-1.3964997467062414,11.559285429230215,,,,,-0.2626374841090621,2.957646427945376,,,-0.3380814037536558,1.340410468474276,-0.3343742414702442,2.7608494214555197,,,-1.3537469816836398,2.72421100313463,,,,,-0.8112614093478413,1.3582142592699153,0.5950265838935074,7.558664722503276,,,,
PP_4201,0.6644424594443181,1.6955225310526607,0.8157817120247174,1.9198817673459032,0.5870437549829344,9.41739562576662,0.7314754988685552,2.1134726515045927,0.8695622665344239,2.8585810133426506,0.6325685455273791,1.39447351313042,0.7257747466942511,3.884807705647841,0.6404367232370027,3.289459515345662,,,0.931625380783694,2.374959247315381,1.0723247139701508,16.12282026234932,0.7984746160430021,6.802142578825273,0.6331214073579409,7.352383708292889,,,0.6033514797263808,10.283177029578374,0.4195614656575101,1.7039273055749546,0.6168348688351455,3.2393466235044013,,,0.42000514839430936,7.196371989795744,,,0.5274450671611624,2.949654134824202,0.4957362382111747,2.474578102141914,0.6509183214370394,4.728729383936533,0.6621362770740302,3.4699490892973235,0.6840599650919634,5.6654210177531485,0.6728019757042426,1.6680818018802934,0.5608539055728416,2.0952609740619357,0.5587197332609091,2.080611849547274,1.0365097063454358,3.1586423115208286,0.5923017625111541,3.1016493874282673,0.3617374194988726,4.276037126546416,0.8564572855718372,2.0482764321462406,0.5902327164204988,2.334823709853762
PP_4202,0.8213744752364164,5.144226366561494,0.6434957246675496,2.849606464856178,0.4586428874731518,10.544138264822799,0.45830449531316275,2.11124108447434,0.5694466325344725,1.9041004785688345,0.6864149323425858,2.4190684445653945,0.5094621125993006,2.3736911347634875,0.4671004196504665,1.5950023019463762,0.5048564619646827,1.7799621438152213,0.6910895005101397,10.730480284766042,,,0.54185969888247,2.861787660033325,0.33820706787261534,5.946470790065375,0.2952821905223093,2.444548933634308,,,,,0.6561643829466223,5.557817044940693,0.4022762485838955,2.003448591236285,,,0.3363318319273235,1.9058403152517576,0.3131308546727426,1.5704096999784238,0.24892473582438654,3.44661697369766,0.6381870734348344,5.884671699759717,,,0.18902556960874864,1.6715212485050321,0.31492094432344286,1.7045254980595261,0.361299747817236,1.7072812350025848,,,0.7333314138653354,3.0691312081556257,,,0.24439705756359073,5.491886840187275,0.7262124363166568,5.340688624448573,,
PP_4203,0.6784368800143795,1.93810665314664,,,0.797695963743611,2.5482370313579628,0.75797828145335,3.8971736996701436,1.2413813809000427,4.502870112485562,0.48277826840862575,1.8329166444554705,0.7762403580391545,2.5293320601961873,0.7433462332936306,6.023919510843997,0.8149761102654396,1.9432487812501107,1.0497786294025595,2.8512397689880213,,,0.7279251691210445,5.9656658590356475,,,,,,,0.46220602118380893,2.5278483086818273,,,0.5480490286820024,3.001729315507855,,,,,,,0.2908953632281582,2.801859577916621,,,,,0.23274168139717022,1.4668381487884148,,,,,,,1.0479904132087288,3.527087800280019,,,,,1.05205994727911,2.176711424419078,,
PP_4251,1.461022304918309,1.3486103851793019,1.0845313912555021,1.7138529203276274,,,,,,,,,,,1.5496357367723776,1.5719588576825276,0.6854173494798868,2.4632258771971736,,,,,,,,,,,,,,,0.9509136369482393,2.123994673404929,,,,,0.9575235948124354,1.6760001731863083,1.3210318621526806,1.6871501648065466,,,1.4848241748450095,1.4390932600399187,,,1.068740219671007,4.995311230099277,,,1.8289130145927608,2.36933462776224,,,0.9484190786688125,2.8411569590970616,1.5870338459985602,1.514859585650949,,,,,,
PP_4255,0.7448082937719226,1.4558100937618599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
