Protein.Group,PP_0368_PP_0437_PP_0812_log2_FC,PP_0368_PP_0437_PP_0812_log10_pval,PP_0368_PP_0528_PP_0812_log2_FC,PP_0368_PP_0528_PP_0812_log10_pval,PP_0368_PP_0751_PP_0812_log2_FC,PP_0368_PP_0751_PP_0812_log10_pval,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log10_pval,PP_0368_PP_0812_log2_FC,PP_0368_PP_0812_log10_pval,PP_0368_PP_0812_PP_0813_log2_FC,PP_0368_PP_0812_PP_0813_log10_pval,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log10_pval,PP_0368_PP_0812_PP_0814_log2_FC,PP_0368_PP_0812_PP_0814_log10_pval,PP_0368_PP_0812_PP_0815_log2_FC,PP_0368_PP_0812_PP_0815_log10_pval,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log10_pval,PP_0368_PP_0812_PP_2136_log2_FC,PP_0368_PP_0812_PP_2136_log10_pval,PP_0368_PP_0812_PP_4189_log2_FC,PP_0368_PP_0812_PP_4189_log10_pval,PP_0437_PP_0812_log2_FC,PP_0437_PP_0812_log10_pval,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log10_pval,PP_0528_PP_0812_log2_FC,PP_0528_PP_0812_log10_pval,PP_0751_PP_0812_log2_FC,PP_0751_PP_0812_log10_pval,PP_0751_PP_0812_PP_0814_log2_FC,PP_0751_PP_0812_PP_0814_log10_pval,PP_0751_PP_0812_PP_0815_log2_FC,PP_0751_PP_0812_PP_0815_log10_pval,PP_0751_PP_0812_PP_4189_log2_FC,PP_0751_PP_0812_PP_4189_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0812_PP_0813_log2_FC,PP_0812_PP_0813_log10_pval,PP_0812_PP_0813_PP_0814_log2_FC,PP_0812_PP_0813_PP_0814_log10_pval,PP_0812_PP_0813_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log10_pval,PP_0812_PP_0813_PP_1317_log2_FC,PP_0812_PP_0813_PP_1317_log10_pval,PP_0812_PP_0813_PP_4189_log2_FC,PP_0812_PP_0813_PP_4189_log10_pval,PP_0812_PP_0814_log2_FC,PP_0812_PP_0814_log10_pval,PP_0812_PP_0814_PP_0815_log2_FC,PP_0812_PP_0814_PP_0815_log10_pval,PP_0812_PP_0815_PP_1317_log2_FC,PP_0812_PP_0815_PP_1317_log10_pval,PP_0812_PP_0815_PP_2136_log2_FC,PP_0812_PP_0815_PP_2136_log10_pval,PP_0812_PP_0815_PP_4189_log2_FC,PP_0812_PP_0815_PP_4189_log10_pval,PP_0812_PP_2095_log2_FC,PP_0812_PP_2095_log10_pval,PP_0812_PP_2136_log2_FC,PP_0812_PP_2136_log10_pval,PP_0812_PP_4189_log2_FC,PP_0812_PP_4189_log10_pval
PP_4116,-3.6454097813567334,5.21792793073869,-1.270185913571644,3.0873502212524326,-3.258552137013,5.062194647331125,-3.307977330565475,5.0800985898809925,-2.876868371034264,4.893192101569701,-0.977605685784661,2.3557918991359887,-4.264383448740139,5.374757264822097,-2.7040946125430385,4.778663446404305,,,-4.092104717772818,5.343569919968204,-2.921902228285188,4.898650301017676,-3.383956096815704,5.116267984789605,-3.3551045256144554,5.117050503425779,-1.4518268080246828,3.429254996062025,-1.7039143417856202,3.8137530435788785,-3.2301428078470598,5.050687048817781,-2.2075406605214574,4.2486900446448415,-1.511413716980225,2.5561300084132084,-3.6162207212714113,5.196544074226974,0.6762059054777383,2.803817732588626,-2.7029844333843216,4.768930444349013,-2.8172791811050972,4.847981813759233,-4.512326257117242,5.411566337246978,-1.6490376204706654,3.7306993859315765,-4.152075627834568,5.351619272979282,-3.1514061469307446,5.0312659153996835,-3.542347900156251,5.167052231745856,-1.286330498829684,2.332587792029979,-3.8876842333453636,5.278212894218548,-3.407522675560351,5.125948415071213,,,-3.5189784220758367,5.165625820875079,-3.3036221606310243,5.10237394625846
PP_4185,-2.102976009517877,4.3369866385031415,-2.396097540914155,2.8702743457639617,-1.8953141042244674,6.457535480468508,-1.8830809522176732,2.5263421034572544,-2.032056115879657,21.83793125570768,-2.5151549346862576,19.882861967339526,-1.834069636782176,2.6168281510796967,-1.8316034200666957,6.000601438460114,-1.4476126854896172,3.2880457062736075,-2.4030515748093677,12.226429183040299,-1.81474835329867,2.4295456410196947,-1.8309493897480793,2.4708988929515234,-0.8954073838247759,1.8400109274448149,-1.1691455721994697,3.7745901129993062,-1.3587614726032076,18.048390064784122,-1.0911187054859548,11.256628603865412,-1.6100585140593582,19.01788435227416,-0.7129967896366963,7.501628787486978,-1.176127142944137,15.024689797880354,-1.191671799036021,8.58014129309583,-1.4966637051351928,3.2641881475822485,-1.5007775644022994,3.184765047589257,-1.8007456289804757,7.708997392098494,-1.0849970037395742,16.792115812926134,-1.383159931215268,16.301400570554975,-1.6591551413479666,5.467838747576412,-1.1095913437444787,9.433480241785809,-1.0668217819377857,4.973388505082578,-1.6017040346999207,2.2622841306353716,-2.0377623784134093,2.1248693586383474,-0.6878215283120523,9.902785969576403,-1.2318081236111975,5.793320725916886,-1.5724010663930983,10.916013630985573
PP_4186,-1.8430256981205855,4.160590365005229,-2.199220827817387,18.871406889202945,-2.2427091066910965,18.323357638061164,-1.9291965354378422,18.10513721249949,-2.022661027968063,20.084148013152475,-2.1200854024911746,6.828251127087335,-2.1655524642259856,17.953963057912564,-2.1485150621600804,18.519763006878087,-1.284258577824404,3.445906390525684,-2.0103565860102255,18.52868119661583,-1.7371783693442284,17.961017075879074,-2.1809243515757357,18.569093399300158,-1.2073980792739307,15.731501026081052,-1.2295797367736727,3.566380830427522,-1.9128173748071418,13.42948632868673,-1.482728524444424,12.107569612922623,-1.2483117329941174,3.5958674292984365,-0.8876871763027113,14.50106750055211,-1.5655754123777805,17.094484511171764,-1.5961631887724073,17.549579073631055,-1.6346350521536706,17.48866439765329,-1.7241083334989737,11.672408769850588,-1.3709121304210214,2.792589933873065,-1.513788799267092,17.314332957979932,-1.908157594418395,17.873834950230414,-1.1872950909007618,5.83782095836463,-1.499297740233163,17.28039908978257,-0.8305811395657222,3.6145176372644405,-1.51471401400241,17.23126569594429,-1.9153969815151415,17.359403701616273,-0.9629633998031587,13.92299612872937,-1.5949297200496775,17.329257376104245,-1.5111472908898917,10.579123710249078
PP_4187,-0.48118264442314773,4.665631742390556,-0.7686588908543502,5.748526281487086,-0.7682724347153597,8.510818376686874,-0.7681290585790046,2.554018440018198,-0.3915351896356637,3.20011607248066,-0.41048943058759013,1.7119286938129865,-0.7459075400313051,8.269168472945438,-0.7830831948944407,8.567091500462606,-0.3739941948003917,3.4446380511690933,-0.77567273338642,8.473542066278227,-0.5664629391406083,4.375109035318913,-1.3555919929829312,5.619269227514665,-0.6195035748574975,7.360604957715112,-0.866726778216247,1.7701930415900835,-0.995444734649597,9.86590884075997,-0.7403557185112082,8.26251178951009,,,-0.48881599724419217,3.9728135981796684,-1.5395960386179408,6.093105265400594,-0.7203529147466408,7.442226734703333,-0.814748821764761,8.797799274918617,-0.7552957025560193,8.328538739981791,-0.4369063535336648,2.4599239077787867,-0.7189115922534467,8.193870240503173,-1.2008758858679582,10.720509750728747,-0.537810525992757,5.691850456606421,-0.8956245505304965,9.351851210362609,-0.2979317296667534,1.4649292797720268,-0.765921274869988,8.530824508913334,-1.44888684557186,3.949426447023057,-0.5501377844319725,6.778001681513487,-0.9295519160257816,4.308143338083541,-0.9129517126079054,6.410862319695534
PP_4188,,,-0.8745600156763015,8.167717386278667,-1.0902127890405302,5.415072723459943,-0.9959926106514327,8.612264204255991,-0.3134841616986767,3.3625792533512056,-0.3683661157304326,1.6299994140719336,-1.1842202093599508,9.234096452460415,-1.055371054407028,4.70755847563448,-0.2976882848735254,2.3262508121071335,-1.0997261612472624,9.264829446549554,-0.9916764981193931,8.122009550971061,-1.7175229302860529,11.264512565593655,-0.7774675900584113,7.555321851726211,-1.0981143405635923,2.4011265615714654,-1.166862800557054,9.50530645570267,-0.6716696314558779,6.492390354867232,,,-0.8553712006960182,8.140946955572318,-1.7013831308682377,10.599068482179064,-0.9208709138261583,4.506120011169622,-0.8313225164955033,7.89080675061156,-1.2340738374076734,9.536134661879538,-0.16626186069853727,1.4793886915942582,-1.2357450243429746,9.55381150081147,-1.8868090041743684,11.226100716247164,-0.5422493985083701,2.5180985375529636,-1.2135363518700055,9.757050235079614,-0.25253211803259473,2.3038070169581766,-1.243862458907402,9.716445290099873,-1.8036116518254723,11.441259623544552,,,-0.9266266659893607,8.348279775840169,-1.0025601610637713,6.758169148383183
PP_4189,-0.9743651204549855,3.240301515791188,-0.6642650148530351,5.06336055806644,-0.7042587307971997,8.095780152004894,-0.5622042954458842,5.9727310878884525,-0.31647256503596694,1.6339641609585789,-1.084152302971272,9.423970780958197,-0.7958180526031873,10.660589060429583,-0.6993351878090001,10.898993035238645,,,-0.6352601687045336,5.066781346531216,-0.5708095322491,3.131303532373475,-1.375795880188513,15.356431579588346,-0.39023507456237205,3.651378497760324,-0.2107948399228094,1.426022224737486,-0.9325674488740698,12.945158069689388,-0.350620456990253,1.6233098882223729,-0.6991017130831989,6.647919732632894,-0.39593149768208374,5.525767068284439,-1.3585996258613284,5.021743653737599,-0.6614384092770947,8.070072435158595,-0.5776844005870778,7.074689989455245,-0.7283103583543644,11.97327683594823,-1.1211485792124096,3.4295540689940966,-0.6625349985612246,11.480122773925586,-1.3766454469454308,15.512947108068063,-0.6445604002595907,2.1385494820451654,-0.7123755916050569,3.1211883114942447,-0.5818686102551578,2.669769654326442,-0.8118596169820823,9.391760227493126,-1.5733239257504448,7.05557430712573,-0.32921073687917385,7.247638390828866,-0.6300147805855018,8.53008012670709,-1.2423018616092818,5.7238238042391085
PP_4190,-1.6500252256723706,9.975986925467629,-0.7095849740397847,5.784649091630119,-1.207666748241784,6.209208342548347,-0.6236271888736974,3.628140591735477,,,-1.7002808301745838,9.22112362910696,-0.8503253904454885,7.098209603026558,-1.3397960930278316,8.528844359438278,,,-0.7728984484380008,6.682841053297427,-1.067301361924497,1.9076649456215669,-0.6742947912471016,5.97236925203142,-0.939892954037889,1.9896073329549957,,,-1.2215771061499348,2.7950402985862226,-0.639497926017262,5.42717507178156,-1.3667579187461898,9.30153329031884,,,-0.547992995545066,4.986414639080395,-0.4016111315973307,2.1304449947102837,-0.6507685095159896,5.192664173330983,-1.3835062190538874,9.220616523640714,-1.8157609881427923,10.122686470753074,-0.672944049735593,4.41984904010143,-1.098532284957578,1.9378416034870178,,,-0.8078322624699994,6.5626515924418225,,,-0.8848052481439419,2.3141012811589787,-0.5473102149279482,4.973903084660586,,,-0.7148332115447975,3.8085114562957902,,
PP_4191,,,,,,,,,,,,,,,,,-0.6172759270474757,3.104266355856746,-0.15173248901194986,1.331960557025467,,,,,,,-1.267167313638006,2.0737364430175482,,,,,,,,,0.20454364257745541,1.4223581805563414,-0.19662934144369118,1.6844455840684265,-0.577322104486054,5.693799666428656,,,-0.9820239271331785,4.808986563214708,-1.4794067782232412,1.748517184908758,-1.9556365344802698,3.6395096268752924,,,,,,,,,-0.4255539631938533,6.456041736423099,,,,,,
PP_4192,,,,,0.6033276694750335,2.280855516945372,0.47968759941372247,2.3246212697248314,,,-0.3075947997658753,1.4187556562002523,0.21978056001167456,1.6984521557624028,0.47151137693391026,4.334321391779189,,,0.3155219066938989,1.9782267533719102,0.3211694238638394,4.452733482703878,0.4077677367964396,2.238701946142256,,,,,-0.44803198526914756,1.3672710697863548,0.47518433323634,3.9008431078219146,,,0.17196547376440408,1.8585184282755138,0.5289805827709422,1.821646903772255,-0.49154294823994665,5.704727695449397,,,0.4206207947245249,2.033057906783713,,,0.3617576198279023,5.669280251115572,0.34126579983031113,2.8826599417649823,,,0.3271360321483092,1.661791800466307,,,0.3361615959057883,1.4490847712798656,0.45638707854429966,3.0507752158454364,,,,,,
PP_4193,-1.051786841226147,1.9853251436988353,,,,,,,0.6906341998552378,1.4853843508771651,,,,,,,-1.1915950649386007,1.6971604975682228,-0.28280184851451146,3.7378689778282865,-0.54934578540543,3.445584264606437,,,,,1.1779364057132993,1.6235028677761392,-0.6927038398316183,1.584173301721309,,,,,-2.001468144035094,4.732647383734438,-1.3964997467062414,11.559285429230215,,,,,-0.2626374841090621,2.957646427945376,,,-0.3380814037536558,1.340410468474276,-0.3343742414702442,2.7608494214555197,,,-1.3537469816836398,2.72421100313463,,,,,-0.8112614093478413,1.3582142592699153,0.5950265838935074,7.558664722503276,,,,
