Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_0029,-0.45785136541869864,1.8615518295174327,-0.5277018126290768,2.163005948678771,,,,,,,,,0.6018340780385901,4.050283778000208,-0.6110296711685043,1.7623068735306477,,,-3.0918794200173596,6.58393784386048,,,,,,,0.31210637960333454,1.488496682949725,,
PP_0030,,,,,,,,,,,1.5597557393457857,5.680658559862363,,,,,1.2171858229404136,1.366722767375639,,,,,,,-1.2995234665883573,1.3910428463840867,,,-1.9768411951445655,1.6714375731066746
PP_0052,,,0.4211274758702568,1.7378890036404244,,,0.222116756249797,1.6797385064381505,,,,,,,0.7103213206626668,1.879883874326355,,,,,,,,,,,0.9590354680092048,5.1893315065074495,,
PP_0059,0.3530535961359684,1.442481126976562,,,,,,,,,,,,,,,,,,,0.3784072527169894,1.6070329865560653,,,1.1011914092400894,2.862859927302204,,,,
PP_0060,0.3067102238511793,3.482703949813781,0.2632235508476588,3.728484590105047,,,,,,,,,,,,,,,,,0.27065073097295883,2.5332595887023346,,,,,,,,
PP_0061,0.17609747030307324,4.6069426461728495,,,0.0607254380980393,1.4192175680610712,,,,,,,,,,,,,,,,,,,,,,,,
PP_0063,-0.6395339015536481,1.377506075625392,,,,,,,-1.3451364547751399,1.660002167067275,,,-0.943470942130044,1.971138387718568,,,,,,,,,-0.9746640473211077,2.9860089897331696,-1.6479712228433743,4.75699282887283,,,,
PP_0064,,,,,,,,,,,,,,,,,,,,,,,-1.3391671945872201,1.668243849921396,,,,,-2.7255569143128833,3.7326857267955873
PP_0065,,,,,,,,,,,,,,,,,,,-0.9287781779652727,2.28273150632223,,,,,,,,,,
PP_0066,-0.9028936145154051,1.373473510254106,,,,,0.764358870882286,1.4320935002119675,,,,,,,-1.1478354230305663,2.796405602261117,-0.8413511318768898,1.4487551692626568,0.4609029804788722,1.5565295314278775,,,-1.089944887917609,3.7211964775619775,,,,,-1.6049431847940907,1.4818724244169754
