strain,value
PP_0814_PP_0815_PP_1506,399.2801
PP_0814_PP_0815_PP_1317,398.9084
PP_0528_PP_0815_PP_2136,398.6422
PP_0528_PP_0815_PP_4191,398.0633
PP_0814_PP_4189,397.8042
PP_0812_PP_4189,397.4022
PP_0751_PP_0814_PP_4191,397.3863
PP_0814_PP_0815_PP_1506,397.3431
PP_0368_PP_0812_PP_1506,397.0856
PP_0528_PP_0815_PP_1317,397.0173
PP_0812_PP_0813_PP_4189,396.2964
PP_0368_PP_0751_PP_4189,396.2775
PP_0528_PP_0813_PP_0815_PP_1317,395.2054
PP_0528_PP_0815_PP_1317,394.5157
PP_0751_PP_0814_PP_4192,393.9461
Control,192.63713
PP_0368_PP_0812_PP_0814,393.5354
PP_0813_PP_0815_PP_1317,393.2824
PP_0751_PP_0812,392.9208
PP_0528_PP_2136,392.853
PP_0528_PP_0813_PP_0815_PP_1317,392.7469
PP_0812_PP_0815_PP_1317,392.3873
PP_0814_PP_4189,392.1203
Control,184.31093
PP_0751_PP_0812_PP_0814,391.4559
PP_0812_PP_4189,391.0815
PP_0812_PP_0815_PP_1769,390.287
PP_0528_PP_0814_PP_0815_PP_1317,390.252
PP_0437_PP_0751_PP_0814,390.2094
PP_0812_PP_0813_PP_4189,390.2052
PP_0815_PP_1317_PP_4189,390.19
PP_0528_PP_5288,389.896
PP_0368_PP_0751_PP_0814,389.8564
PP_0813_PP_0815_PP_1317,389.8426
PP_0528_PP_0815_PP_1317_PP_1769,389.4072
PP_0813_PP_0814,388.5411
PP_0368_PP_0813,388.0387
PP_0812_PP_0815_PP_4189,387.3665
PP_0813_PP_4189,386.5345
PP_0528_PP_0751_PP_0814,385.896
PP_0813_PP_0815_PP_1769,385.8689
PP_0528_PP_0814_PP_0815_PP_1317,385.7922
PP_0751_PP_0814_PP_4191,385.7568
PP_0528_PP_0751_PP_0815_PP_1317,385.5152
PP_0815_PP_1317_PP_4189,385.3033
PP_0528_PP_0815_PP_4191,384.9283
PP_0528_PP_5288,384.9168
Control,181.88373
PP_0814_PP_4189,384.3272
PP_0751_PP_0812_PP_0814,384.2913
PP_0813_PP_0815_PP_1769,384.2869
PP_0368_PP_0813,383.9221
PP_0368_PP_0812,383.9056
PP_0751_PP_0813_PP_0814,383.8329
PP_0813_PP_4189,383.4967
PP_0815_PP_1506_PP_4189,383.4839
PP_0813_PP_0815_PP_1317,382.8079
PP_0814_PP_0815_PP_1317,382.5461
PP_0751_PP_0813_PP_0814,382.2478
PP_0751_PP_4192,381.9803
PP_0437_PP_0812,381.4369
PP_0815_PP_1317,380.1841
PP_0813_PP_0815_PP_1317,380.0306
PP_0528_PP_0813_PP_0815_PP_1317,379.6477
PP_0814_PP_0815_PP_1317,379.2337
PP_0814_PP_0815_PP_4120,378.7317
PP_0368_PP_0815_PP_2136,378.3061
PP_0528_PP_1317,377.8972
PP_0368_PP_0437_PP_0812,376.8797
PP_0368_PP_0814,376.8375
PP_0814_PP_1317,376.7549
