Protein,Spearman_Correlation,Average_Abundance_Control
Atpe,-0.041725477319488134,0.05443272800000001
Atpf,0.34675846089723017,0.13626128744444446
Atph,0.2799018844008687,0.07150179116666668
Atpa,0.432339679163913,0.35178202805555553
Atpg,0.2897059764188337,0.09427001516666667
Atpd,0.4396831806699418,0.5287377389444444
Atpc,0.3571276367078592,0.061747343611111116
Glmu,0.38265154907401855,0.030472527944444452
Glms,0.22024318887541097,0.019242689833333337
Pp_5400,0.47839456287554727,0.0031090464
Pp_5395,0.4776580085325903,0.029084197500000002
Pp_5392,0.4555833859072455,0.014843239777777779
Pp_5391,0.45322518375812476,0.0033896515333333333
Pp_5388,0.4313952601288527,0.003021012
Copa,0.29907404597953946,0.00265597775
Copb,-0.02554561204518101,0.010790969055555556
Pp_5378,-0.14003643223558881,0.01903684775
Lpd3,0.13827346717636932,0.008542463722222221
Pp_5365,0.20773776822478884,0.015804691666666666
Pp_5355,-0.39999999999999997,
Pp_5353,0.20092532628129878,0.01353844616666667
Uvrd,-0.13164798029277736,0.02434244916666667
Zwf-3,0.280062995009868,0.0030533585
Pp_5350,0.1335819190458074,0.0051913118333333326
Accc-2,-0.22401359071462584,0.12512931255555557
Oada,-0.27332534882705894,0.12226390883333334
Pp_5345,0.2770474457740848,0.0045030168
Pp_5341,0.10334364738961294,0.0032754526666666666
Pp_5340,-0.059686050528102996,0.003978268
Aspa,0.31754293039564635,0.010493829666666666
Pure,0.20507818815838436,0.04718011872222222
Purk,0.00597921997812341,0.037747405
Pp_5332,0.27064403012636784,0.009557764166666668
Pp_5331,0.19998016861458404,0.0058645864
Pp_5330,-0.065892002734108,0.0033583605000000005
Psts,0.07312471044105254,0.008302788611111112
Pstb2,0.19760464351777074,0.0022627626666666665
Phou,0.20163785621092323,0.007595627055555556
Pp_5324,0.11942405203724422,0.022984407388888888
Pp_5322,0.3712765933259945,0.0042112324705882356
Phob,-0.11628091698597592,0.001972300142857143
Pp_5319,0.2912940773085086,0.003857867
Rubb,0.23107533534982455,0.006276506277777778
Hupa,0.03597114939680305,0.01581175461111111
Pp_5311,0.05806880001230508,0.023335113333333334
Recg,0.20529626798481648,0.0016631955714285715
Pp_5309,-0.06891202203240353,0.02469367572222222
Exbd,0.17910568588819054,0.0023963725
Exbb,0.5036519878528096,0.005199961470588235
Pp_5305,0.2971305359603767,0.0046191198
Pp_5304,0.18335632030378773,0.025995568500000003
Pp_5303,0.42626502163277913,0.08129281116666669
Spot,0.15796784549712706,0.021613461111111107
Rpoz,-0.2845220001472148,0.048335728555555554
Pp_5300,0.035118538556974464,0.003708388
Gmk,-0.24929171034423225,0.012245518444444443
Pp_5295,0.13305791634120837,0.02742202238888889
Rph,0.23532922284545948,0.010725772666666668
Crc,0.05607096323922168,0.033330467833333335
Pyre,-0.012020601926413112,0.050573757999999996
Algc,-0.1762870739029576,0.015441826
Dut,-0.156383910953932,0.01923249794444444
Coabc,-0.016672500380150685,0.02687304738888889
Pp_5283,0.5072170838572179,0.019454974666666666
Rpmb,-0.42095589297065344,0.22600868344444447
Rpmg,-0.07739916880826611,0.07966209927777777
Pp_5278,0.11482385728199972,0.026482724222222222
Pp_5274,-0.12943840481663174,0.0061299661250000005
Pp_5273,0.02916776889498708,0.008963970277777778
Lrp,0.08811826926162311,0.007851022176470587
Dada2,0.018899777420127262,0.007292040277777777
Dadx,-0.037507126252554555,0.0041381764615384614
Pp_5267,0.32058364010883583,0.0030367126666666663
Xpt,-0.1671524803527509,0.03400009716666667
Rep,-0.03333333333333333,0.001757308
Pp_5260,0.033811976375419876,0.010035079
Pp_5258,0.08892734552931615,0.007953938411764706
Pp_5252,0.24837823150255672,
Pp_5249,0.28235294117647064,0.0022446985714285714
Pp_5235,0.4636645092090523,0.008905498277777778
Pp_5234,0.4478598179781995,0.08378524455555557
Amtb,0.4336185940343256,0.026484490444444442
Pp_5232,0.4796886383650172,0.0060088405
Pp_5231,0.20999090789197408,0.015901559055555556
Pp_5229,0.1990218679754818,0.011508779555555555
Dapf,0.0873867589509151,0.015777145944444446
Lysa-2,0.22674038130703672,0.03409905305555556
Cyay,0.17151689765425712,0.013523312857142858
Rnk,0.28575310356066214,0.009470459277777779
Elbb,-0.04268204656780246,0.02575550038888889
Ppk,0.030707558967761076,0.03198245616666666
Ppx,0.10320747597912477,0.026008440222222224
Trx-2,0.2558699488699325,0.1271614163888889
Rho,-0.052765289168316694,0.13091633916666667
Ubid,0.1499174911786296,0.017206041833333338
Pp_5212,0.10078643305414768,0.007724013647058823
Pp_5207,0.09413259402074842,0.0022218525
Pp_5206,0.32375567190086463,0.015612830000000001
Pp_5205,0.26153846153846155,0.003029211
Pp_5203,0.10061376067182747,0.0025060294444444443
Pp_5202,0.19556301025567996,0.0028001564666666665
Pp_5201,-0.09526407161805543,0.04561403716666667
Pepp,0.2798033763415922,0.024417103166666666
Ubih,0.3144185815516728,0.0055818665
Ubif,0.16962566335462886,0.00847144438888889
Pp_5196,0.461043434758547,0.001932847
Gcvt,0.18442951564013313,0.01032984811111111
Gcvh2,0.14963663238814842,0.045990143777777784
Gcvp2,0.3370309581280516,0.009193976111111111
Pp_5187,-0.033184468679413125,0.03404109661111111
Arge,0.43436853799197017,0.007661912055555557
Pp_5184,0.2742062380623473,0.024722049222222223
Pp_5183,-0.5375828719146171,0.048310448944444445
Pp_5182,-0.31672302132593044,0.01752907816666667
Potf-2,0.5498027675732232,0.09245305083333334
Potf-1,0.3073402710085708,0.037788242944444446
Potg,0.20586179581686836,0.026903334555555554
Pp_5175,0.3090809598173981,0.001284146
Pp_5174,0.11343485647318435,
Cysp,0.19325597461652216,0.004937089705882352
Cysa,0.030213118766766096,0.013705183999999999
Pp_5165,0.05852798335018961,0.011855873722222222
Pp_5160,0.22506794593190163,0.003973445066666667
Pp_5157,0.4004083906290876,0.0016269644000000004
Pp_5156,0.3780945833214655,0.03776413361111111
Sera,0.25296499864147964,0.1447281695
Pp_5154,0.40134226796179623,0.008427269222222221
Pp_5153,0.1861969238602111,0.021096033611111106
Pp_5152,-0.08813215212733928,
Rpia,0.14705199989240217,0.03073331622222222
Ilva-2,0.3550858048080591,0.017988170666666668
Pp_5147,0.33984990024701334,0.0031105167647058826
Rpph,0.10091083663478978,0.001579477
Ptsp,0.24180941726432142,0.033161746
Pp_5144,0.32306171516234367,0.0025704054545454542
Thya,0.11045818975182264,0.010447549333333334
Cada-2,0.2810513116619779,0.002981987764705882
Pp_5133,-0.0997833212465658,0.002885523375
Fola,0.25780136861563274,0.0034042953749999997
Ilvd,-0.008937174367962332,0.08809252655555556
Pp_5127,-0.1575497215715698,0.026838385944444446
Pp_5126,0.07723810322519341,0.006139225722222221
Mutm,0.17787458446070778,0.0068518089999999995
Coad,0.20432586211279302,0.053101983388888885
Pp_5120,0.4614340865331101,0.004823795882352941
Pp_5118,0.18697349513198086,0.05103405694444444
Pp_5114,0.02421265747857465,0.009643254777777777
