Locus,PP_0813_log2_change,PP_0813_log10_p_value,PP_0814_log2_change,PP_0814_log10_p_value,PP_0815_log2_change,PP_0815_log10_p_value,PP_0812_log2_change,PP_0812_log10_p_value,PP_0813_log2_change,PP_0813_log10_p_value,PP_0814_log2_change,PP_0814_log10_p_value,PP_0815_log2_change,PP_0815_log10_p_value
PP_0046,,,,,,,-0.5151436506149336,0.2528328941622632,0.5685142891801086,0.6600785621220615,0.23130224344170572,0.09555811921191999,-0.31444449203724845,0.15862314319105028
PP_0052,,,,,,,0.717839026994393,2.132389841213379,0.5460143791511672,2.194141502193178,0.16514149125987004,0.11591182242023493,0.7921710650334651,1.0862683236489834
PP_0059,,,,,,,-0.0143160101680806,0.014540894081978317,0.07231728962022677,0.07686097090411444,-1.09760158420753,0.6686761558755524,0.0002488122628450957,0.00010049337400498204
PP_0060,,,,,,,0.06317666521835022,0.257568859587735,0.039390773397869,0.10339202424472048,0.06229628415272588,0.5780706586108085,0.03143503115029523,0.09743291228098178
PP_0061,,,,,,,-0.13885692702291377,0.30470621997502667,-0.051625114996735284,0.6769508836579811,-0.02371899078672439,0.35442556754213955,0.09146750490158892,0.376473082926602
PP_0063,,,,,,,-0.6048297889280784,1.1016758604967318,0.17751151431817852,0.2030587084855013,-0.943470942130044,1.971138387718568,-0.34198677461437754,0.17532573707519108
PP_0064,,,,,,,0.47963475828642893,0.3463092952869307,0.43905597685858216,0.31361361154055306,-0.4197342260434666,0.12663053637530286,0.08240773296879618,0.03810527820029053
PP_0065,,,,,,,-0.29008444009681666,0.934758517999879,-0.4559559155085041,1.3739058617368696,-0.1904794137076408,0.6233291364180713,-0.6792489961171989,1.2514776187270575
PP_0066,,,,,,,0.014698534020800487,0.018791661612928546,0.43380876270121194,1.1923698619738397,0.049402876263024385,0.07499725398519133,-0.6429401752691897,1.385643320873779
PP_0067,,,,,,,-0.09804218206423242,0.298850756883983,-0.11125630833901726,0.4465148799648129,-0.14165111990608054,0.24520577238320693,-0.536661068798006,1.9788619952069828
PP_0068,,,,,,,0.017681593696839124,0.11542386288174501,-0.02682247833424283,0.11895041873444459,-0.11011523290605912,0.24855334908357937,0.05199865420702674,0.18841939261217383
PP_0070,,,,,,,0.45080359471705167,1.7966494109927211,0.5241647447162449,2.5070390572025176,0.2357670991451258,1.2051983034085785,0.6675415453581982,1.0757541270780477
PP_0072,,,,,,,-0.3147381474898094,0.9970177901842647,-0.5156706836266631,1.515992683089704,-0.17786672077518229,0.24115428883991288,-0.19320095012914412,0.13977800746877272
PP_0073,,,,,,,-0.39912657014186625,1.812597553400579,-0.34258568941168616,0.9315538899010863,-0.9256276301600469,10.110867338571413,-0.21118574883979035,0.762506285208569
PP_0074,,,,,,,-0.0951873805218557,0.1041272417571182,-0.023238070217072148,0.047150215577434464,-0.035703539200156294,0.025018994489014405,0.14323651498094186,0.09872636866052587
PP_0076,,,,,,,1.9651578796377043,0.5350649364982996,1.283178786664085,1.1984781078878055,3.7381371805626227,5.38812391802006,-0.17294108904349736,0.044754568993353665
PP_0082,,,,,,,-0.4940349224028237,7.802927269736622,-0.44088442747786105,7.816293911027175,-0.5331530139566911,8.679174923992573,-0.4704429480828852,2.8369925847247375
PP_0083,,,,,,,-0.034905999151641734,0.13549638395862837,-0.025908950668151215,0.08829579735594686,0.06475485262849923,0.6183762055616514,0.015131456887096332,0.019076404573722363
PP_0085,,,,,,,-1.4142132799247573,2.3865273034191503,-0.8576955445990028,1.7279933520164132,-1.7314298174122897,5.147415467256986,-0.6553411011254638,0.712328096949396
PP_0088,,,,,,,0.03276927732014526,0.10532895723570816,-0.029616428630940793,0.22142830318355528,0.13278472252342355,1.311264201634558,0.7491123719280758,1.826419608901903
PP_0089,,,,,,,-0.4134247831689669,0.29633441289607076,-0.5535299514066114,0.4077560964745943,-1.0442348266947055,0.5285569897337138,0.5735485516883342,0.2067580803506054
PP_0091,,,,,,,1.6418831353416963,1.1794308843300398,1.5691817703380713,1.3095716217666493,3.2689621237237665,0.8840995128078296,1.964824321556969,0.5079431840559206
PP_0096,,,,,,,0.21462707585375534,1.4021981482787471,0.028710343019418695,0.16640292064084686,0.18266613119123035,3.6166656904797736,0.13630418624037371,0.5154545701727514
PP_0100,,,,,,,0.031305987937117655,0.0744973928201971,0.29434278542990294,2.8812542073472693,-0.16320612126857575,1.040040515165376,-0.07794912389053105,0.12724059546124594
PP_0103,,,,,,,0.6705410742761254,0.4912443117322805,1.001497216169044,1.045923270263462,0.2267429594119154,0.07818260192278696,2.0680982605440046,0.33165083004821777
PP_0111,,,,,,,0.18939138362000765,0.5733966014106539,0.1343275290506507,0.36946388511563727,0.14441005988946887,1.1416782658675912,0.5079040350267486,1.5870559979100776
PP_0112,,,,,,,0.2867858718739183,1.7094907644824016,0.14930649231174703,0.4479869518110635,0.03337453561671824,0.042257571727984534,0.2939412277551826,0.21137559151377883
PP_0114,,,,,,,0.020276870743859116,0.033176883591565266,0.18632305959690382,1.6212778989584034,0.07475068239157029,0.4287808227715583,-0.10033409353569832,0.08297723981468244
PP_0116,,,,,,,0.2370367813899529,2.461029085431099,0.3709238236519018,3.1419216952141795,0.5517937265311642,5.97286603438049,0.6201761430967254,0.9655106792918855
PP_0120,,,,,,,0.049546578767948504,0.06008843046905114,0.15596237503361957,0.1608806427062414,0.27391375426552683,0.41407073259262384,0.6804457877110728,1.928329377694463
PP_0121,,,,,,,-0.0732466949947721,0.20293041717247381,0.15366909563624573,2.0754969874992697,0.08291208382386898,0.2186971443243883,-0.04460900187301824,0.0719212465403768
PP_0122,,,,,,,0.1675994362936897,0.3289498413550556,0.12285002676108976,0.1594009642337217,0.1811628047218959,1.0801823064320253,0.5059660732026073,1.897625879142324
PP_0123,,,,,,,-0.23299183379264765,0.65703946608344,-0.29301813176670355,1.1648659802806909,-0.28229753292119086,0.5478996147432507,-0.013426633360451466,0.018034744456165788
PP_0124,,,,,,,-0.14234786254317497,0.24819108587525077,-0.1805569418914606,0.26480152046688393,-0.6609585544467582,1.8493292103387202,-1.046625357566237,1.1412057631848898
