Protein.Group,PP_0812_log2_change,PP_0812_log10_p_value,PP_0813_log2_change,PP_0813_log10_p_value,PP_0814_log2_change,PP_0814_log10_p_value,PP_0815_log2_change,PP_0815_log10_p_value
PP_0155,,,4.012281673368657,3.0535417191453953,3.890395409584823,2.2584880612933276,,
PP_0354,,,-3.728248406244363,4.065296760589021,-4.586213352865148,4.232578777002326,,
PP_0614,,,-2.4864925415475723,3.225793388105472,-3.261248156039465,3.5099988978754775,,
PP_0813,,,-2.280883451004653,3.0489271667993463,-7.97839800551319,17.168381106961256,,
PP_0988,,,-2.0639179199177984,5.598459181987021,-4.267169647329939,6.637674333651057,-2.856240433240722,3.2147131870162844
PP_1355,,,4.553132740300216,3.0484960838401602,,,,
PP_1779,,,-2.082023684853519,9.07216009182798,,,-2.4283125998166324,3.3119566748769764
PP_1901,,,2.5634668118281363,2.806517273152657,,,,
PP_2013,,,2.3827901052626803,3.2763179029606704,2.7000902791446615,2.3261622210431647,,
PP_2165,,,-2.4096123362892152,4.187346970760667,,,,
PP_2213,,,-2.8053683918616774,2.6058381291952255,-4.010038051316658,2.924995247125106,-4.5917466268145475,3.0133214692290182
PP_2652,,,2.2131572188362876,2.3640816843184553,,,,
PP_4157,,,2.2260366116505472,2.1035412129735396,,,,
PP_4400,,,3.22411985281939,2.103541223327019,,,,
PP_4621,,,-2.0899528088443073,3.5806030837471265,,,-2.277600067809983,3.423128236847316
PP_4651,,,2.2678739523776748,3.2923357744468706,,,,
PP_4810,,,-3.7212066190020026,7.666963431738849,-3.233545700788729,6.800224637481266,,
PP_4849,,,-2.1597630120301172,3.516309094544262,-4.15852899173685,4.763535190690415,-4.74023756723474,4.862255817979117
PP_4863,,,2.3454747152026565,4.69590490195348,,,,
PP_5070,,,2.065807137441418,2.3197581401376888,,,,
PP_5101,,,3.1720980857681305,2.004205741693401,,,,
PP_5200,,,-2.076627526230195,3.986483380587057,,,-2.5464184477254403,4.378736644115131
PP_5365,,,-3.258868484129979,6.989151024134277,-2.518198452492016,3.560200834531144,-2.122016568822942,2.2667952799879982
PP_0076,,,,,3.7381371805626227,5.38812391802006,,
PP_0173,,,,,-3.07435337242959,2.280882195849758,,
PP_0265,,,,,3.0240449105709786,3.901353140587966,,
PP_0416,,,,,-3.147210801128752,2.606867847337824,-3.7289193766266413,2.7404459609728855
PP_0515,,,,,-2.22912850595052,2.5403033020222354,,
PP_0536,,,,,2.5283497870584877,2.3760942357563657,,
PP_0582,,,,,-3.030040987337006,2.280889807102783,-3.6117495628348957,2.459500848511597
PP_0619,,,,,-3.1770246591621283,2.4025160381915174,,
PP_0812,,,,,-3.525572572393772,11.217811543573921,,
PP_0850,,,,,-2.341094572693078,2.018767863433837,-2.9228031481909675,2.3948906129070995
PP_0920,,,,,-3.825351158550395,2.899880979295881,-2.76985927034886,2.5133032478386994
PP_0998,,,,,-2.7722195372097107,3.7911467650748722,,
PP_1152,,,,,-2.4508394613870736,3.7399923657558545,,
PP_1188,,,,,-2.126430095263822,2.065556737919663,-2.708138670761712,3.1361081417048817
PP_1522,,,,,-3.9838177849673073,7.235709839176372,,
PP_1528,,,,,2.0962881744806663,3.4971554731546513,,
PP_1631,,,,,-4.103540718396601,5.111783840964337,-4.685249293894491,5.2178923618273005
PP_1695,,,,,-2.7914810109332144,2.4456514662198647,,
PP_1758,,,,,-4.199953587796792,2.5009695809147106,-2.7488070498816803,2.2151781082880957
PP_1792,,,,,-4.151872883825356,7.231740485421541,-2.4735443499283107,5.347410850942615
PP_1794,,,,,-3.4241153119461334,4.630696690151664,-5.396667896510002,5.784221929493602
