Locus,PP_0751_log2_change,PP_0751_log10_p_value,PP_0812_log2_change,PP_0812_log10_p_value
PP_0283,-0.35304324388897124,0.5269881221107946,-0.721578309326035,0.4183410741687624
PP_0285,1.341219942442112,1.3679105926360147,-0.9038367131092282,0.883847908130236
PP_0287,1.5073189560496156,1.5330141138416524,0.2934342618992329,0.3889890366398313
PP_0288,,,,
PP_0289,0.16769012757668528,0.6432987907311385,-0.15173397482728976,0.30148557275191706
PP_0290,1.1721190294026502,1.737186332803262,0.04699541187806342,0.1317869625656915
PP_0292,0.1378187394966061,0.9081514266369345,0.022917903244522128,0.04687228155664375
PP_0293,0.03723161056644793,0.017682173218950884,-1.5204691236686507,2.3379889125770785
PP_0294,,,,
PP_0296,-0.5300676452400841,0.32335109100348947,0.19559581936999537,0.2672849477701265
PP_0299,,,,
PP_0308,,,,
PP_0321,2.000917771103683,1.3393542851593905,-2.435089877582673,1.8661050032523925
PP_0333,5.342581692864153,1.3336688307733993,-3.164332650012595,4.129895491751596
PP_0335,,,,
PP_0336,-0.10836054301541796,0.09263756296578239,0.03890325623989612,0.08461845710245941
PP_0338,0.06973466765100896,0.273308332185989,0.30139830133812984,0.719383295311712
PP_0339,-0.5014170592697098,1.6010083808193265,-0.366563996672355,1.2430284392831141
PP_0340,0.9331266298201887,2.2461027596890903,0.3729614213424498,0.4863538877493622
PP_0341,1.1420002346231244,0.6833801264698747,-1.6491161837312718,1.3714355693218074
PP_0343,3.897586636795756,1.349253810191453,1.911462519287013,2.0373829412331625
PP_0344,5.472182053261942,2.1531698438890072,2.02127866343903,0.39312857421768793
PP_0346,0.9437073941075633,0.7937247302914489,-0.4340159007581494,0.21082140791968215
PP_0347,3.1742955368749013,1.1146525496003703,2.296492375000441,0.6103156567651357
PP_0353,,,,
PP_0354,4.054831871971942,1.0801506006127237,-1.7867570555760626,0.5143701096096799
PP_0355,,,,
PP_0356,0.18934836743567723,0.45328886896367976,-0.41392790984110184,1.0146952421718087
PP_0357,,,,
PP_0359,1.160505985338396,1.0222722028872337,-0.9254898400760512,0.6876701509342623
PP_0363,,,,
PP_0364,,,,
PP_0366,0.18213348808608337,0.35534488433114303,0.5147091336384204,0.42501717028001024
PP_0368,0.4967362669473524,0.7491437213640254,0.43324414418468793,1.7656670345270593
PP_0370,3.0653275835280835,1.3542227656166672,0.6069877905818404,0.34826045369156255
PP_0372,,,,
PP_0375,-0.13442262939365823,0.2691579836502111,-0.08491139865117078,0.06642821669343292
PP_0376,0.0417389075295313,0.06211275738999742,0.7066270784550698,0.46778760815399756
PP_0377,4.100925199942625,0.9988997092227413,-0.4256861233867981,0.11109283747373887
PP_0378,-0.672673108354264,1.4686027981863565,-0.5925554542767923,0.7308976229239478
PP_0379,0.29005938420024546,0.3517008016588905,-0.049952584833122086,0.029497130307593978
PP_0382,1.331958079183018,1.3398314636652153,0.5400958074031565,0.6929394112572943
