Line Name,Measurement Type,Time,Value,Units
PP_4116-R1,Total Biomass Input,3.344444444,2.15,n/a
PP_4116-R1,Total Biomass Input,3.511111111,2.14,n/a
PP_4116-R1,Total Biomass Input,3.677777778,2.19,n/a
PP_4116-R1,Total Biomass Input,3.844444444,2.25,n/a
PP_4116-R1,Total Biomass Input,4.011111111,2.26,n/a
PP_4116-R1,Total Biomass Input,4.177777778,2.32,n/a
PP_4116-R1,Total Biomass Input,4.344444444,2.33,n/a
PP_4116-R1,Total Biomass Input,4.511111111,2.33,n/a
PP_4116-R1,Total Biomass Input,4.677777778,2.4,n/a
PP_4116-R1,Total Biomass Input,4.844444444,2.44,n/a
PP_4116-R1,Total Biomass Input,5.011111111,2.51,n/a
PP_4116-R1,Total Biomass Input,5.177777778,2.54,n/a
PP_4116-R1,Total Biomass Input,5.344444444,2.56,n/a
PP_4116-R1,Total Biomass Input,5.511111111,2.59,n/a
PP_4116-R1,Total Biomass Input,5.677777778,2.68,n/a
PP_4116-R1,Total Biomass Input,5.844444444,2.73,n/a
PP_4116-R1,Total Biomass Input,6.011111111,2.78,n/a
PP_4116-R1,Total Biomass Input,6.177777778,2.86,n/a
PP_4116-R1,Total Biomass Input,6.344444444,2.88,n/a
PP_4116-R1,Total Biomass Input,6.511111111,2.93,n/a
PP_4116-R1,Total Biomass Input,6.677777778,3.06,n/a
PP_4116-R1,Total Biomass Input,6.844444444,3.1,n/a
PP_4116-R1,Total Biomass Input,7.011111111,3.15,n/a
PP_4116-R1,Total Biomass Input,7.177777778,3.26,n/a
PP_4116-R1,Total Biomass Input,7.344444444,3.31,n/a
PP_4116-R1,Total Biomass Input,7.511111111,3.43,n/a
PP_4116-R1,Total Biomass Input,7.677777778,3.51,n/a
PP_4116-R1,Total Biomass Input,7.844444444,3.6,n/a
PP_4116-R1,Total Biomass Input,8.0325,3.58,n/a
PP_4116-R1,Total Biomass Input,8.199166667,3.87,n/a
PP_4116-R1,Total Biomass Input,8.365833333,3.95,n/a
PP_4116-R1,Total Biomass Input,8.5325,4.02,n/a
PP_4116-R1,Total Biomass Input,8.699166667,4.13,n/a
PP_4116-R1,Total Biomass Input,8.865833333,4.28,n/a
PP_4116-R1,Total Biomass Input,9.0325,4.39,n/a
PP_4116-R1,Total Biomass Input,9.199166667,4.49,n/a
PP_4116-R1,Total Biomass Input,9.365833333,4.72,n/a
PP_4116-R1,Total Biomass Input,9.5325,4.79,n/a
PP_4116-R1,Total Biomass Input,9.699166667,4.98,n/a
PP_4116-R1,Total Biomass Input,9.865833333,5.1,n/a
PP_4116-R1,Total Biomass Input,10.0325,5.13,n/a
PP_4116-R1,Total Biomass Input,10.19916667,5.35,n/a
PP_4116-R1,Total Biomass Input,10.36583333,5.42,n/a
PP_4116-R1,Total Biomass Input,10.5325,5.68,n/a
PP_4116-R1,Total Biomass Input,10.69916667,5.92,n/a
PP_4116-R1,Total Biomass Input,10.86583333,6.11,n/a
PP_4116-R1,Total Biomass Input,11.0325,6.09,n/a
PP_4116-R1,Total Biomass Input,11.19916667,6.37,n/a
PP_4116-R1,Total Biomass Input,11.36583333,6.07,n/a
PP_4116-R1,Total Biomass Input,11.5325,6.16,n/a
PP_4116-R1,Total Biomass Input,11.69916667,5.97,n/a
PP_4116-R1,Total Biomass Input,11.86583333,6.01,n/a
PP_4116-R1,Total Biomass Input,12.0325,5.77,n/a
PP_4116-R1,Total Biomass Input,12.19916667,5.78,n/a
PP_4116-R1,Total Biomass Input,12.36583333,5.74,n/a
PP_4116-R1,Total Biomass Input,12.5325,5.86,n/a
PP_4116-R1,Total Biomass Input,12.69916667,5.73,n/a
PP_4116-R1,Total Biomass Input,12.86583333,5.9,n/a
PP_4116-R1,Total Biomass Input,13.0325,5.78,n/a
