Protein.Group,_30C_Culture_Tubes_abundance,Biolector_abundance,log2_change,p_value,log10_p_value
PP_0083,0.11602163845454545,0.14548360472222222,0.32646267946531216,8.330128774443337e-11,10.079348284835964
PP_0086,0.0015491013636363636,,,,
PP_0088,0.037727965030303026,0.02193715894444444,-0.7822575901030202,1.5012648952147943e-11,10.823542670594867
PP_0089,0.008815536666666667,0.007151921814814815,-0.30171743470590273,0.17285865645917772,0.762308866868935
PP_0096,0.07387551006060607,0.09280659716666666,0.32913117696447447,0.0011647239401120493,2.933776997807964
PP_0100,0.15956677503030303,0.11156531487037037,-0.5162717152889861,1.7410246794235783e-16,15.759195072615288
PP_0112,0.051682574606060606,0.03000773575925926,-0.7843434766028942,1.3308999523475508e-06,5.875854590488122
PP_0114,0.012192518121212121,0.014220919537037037,0.2220186373001004,0.15462584639004703,0.8107179101177401
PP_0115,0.0013172631515151515,,,,
PP_0116,0.029533503757575758,0.03073817261111111,0.05767887593388608,0.5277366491148372,0.2775827448305322
PP_0123,0.019577820272727274,0.02599747361111111,0.4091512823201995,9.315780629106473e-05,4.030780746918194
PP_0124,0.0043016747878787875,0.017864107555555557,2.0540934780197215,2.3926426364088622e-06,5.621122162492059
PP_0127,0.054636496454545457,0.046559425055555555,-0.23079173122984548,0.014935192456465792,1.825789176659279
PP_0133,0.015219969636363635,0.006971851925925926,-1.1263516469599772,6.091498401036625e-10,9.21527586545265
PP_0139,0.016062703515151516,0.014933891703703704,-0.10512455925084956,0.39509587432710225,0.40329750528774777
PP_0154,0.012495289272727273,0.003075565259259259,-2.0224608076034216,6.002947084200627e-08,7.2216354849201485
PP_0165,0.016407191,0.00916373412962963,-0.8403207557982937,0.0021178986613837932,2.674094824141062
PP_0166,0.02115366351515152,0.01575646522222222,-0.42496361993023457,0.0005007176315624559,3.3004071157002244
PP_0167,0.01306300193939394,0.01251439887037037,-0.06189748032356808,0.6347268478426338,0.1974131313956587
PP_0168,0.01192285009090909,0.05261127638888889,2.1416429061169087,2.07043129556798e-17,16.683939176391146
PP_0173,0.005341065515151515,0.00701969137037037,0.3942800211284173,0.1590688722395462,0.7984147979601031
PP_0181,0.018833454606060607,0.014545981222222223,-0.3726770376632376,0.08794225426495203,1.0558024060999658
PP_0183,0.021637505060606063,0.01618135535185185,-0.4192017039094383,0.00038514668357046743,3.414373837419153
PP_0184,0.06761199745454545,0.0726511674074074,0.10370671105412592,0.06365555818208339,1.1961636692700428
PP_0185,0.019154054181818182,0.01313192238888889,-0.5445716593566615,0.00031593506383968516,3.5004021715401756
PP_0186,0.032385664030303025,0.023818913962962963,-0.4432476909713536,1.4327076228270124e-06,5.8438424284082116
PP_0188,0.037709730757575756,0.03134449092592592,-0.26672495109062117,0.005263449491007308,2.278729540275614
PP_0189,0.051719306,0.044176069500000005,-0.2274378535889946,0.018162021519288703,1.7408358140852431
PP_0191,0.030615467424242423,,,,
PP_0194,0.06125379236363637,0.06910601155555555,0.1740120491474941,0.3562935024359848,0.4481920976094894
PP_0202,0.03717193445454546,0.013612945037037038,-1.4492345544751222,4.1950834288745785e-16,15.377259397805584
PP_0203,0.008240385151515152,,,,
PP_0213,0.07418971427272728,0.07431692261111111,0.0024715782093348458,0.97121147710522,0.012686194046809998
PP_0214,0.09934262,0.07798424814814815,-0.3492300491329211,7.16172054753259e-10,9.144982629293448
PP_0215,0.01865274009090909,0.007313149944444445,-1.3508227306157976,4.743825674172903e-10,9.323871278778663
PP_0227,0.05459772012121212,0.049781643388888894,-0.13322685140699328,0.2557765474544908,0.5921392791616666
PP_0228,0.03299721787878788,0.02345993416666667,-0.4921454256036184,6.612250385728375e-06,5.179650709383514
PP_0234,0.15872431212121213,0.10411131966666666,-0.608396189143176,2.2077285861810228e-11,10.656054318972354
PP_0238,0.0025100860909090905,,,,
PP_0243,0.013240334242424242,0.023646770833333334,0.8367036424269173,4.982775013883497e-21,20.302528721987045
PP_0245,0.045740606878787886,0.040182812500000005,-0.18689696171586012,0.5327901644914087,0.2734438010046744
PP_0246,0.04695388503030303,0.058591506055555555,0.3194470005066373,7.868450258300606e-06,5.104110796299673
PP_0252,0.05539244009090909,0.03732864311111111,-0.5694060241109945,1.0207941986381345e-22,21.99106180679161
PP_0258,0.09634198781818182,0.09720226229629629,0.012825200399005015,0.9216648719319932,0.035426964768772565
PP_0260,0.021496836333333335,0.015730170703703705,-0.45059002857821717,7.833973841454466e-06,5.106017882945282
PP_0261,0.010882154121212122,0.009314332648148148,-0.2244398541889151,0.1905766578795394,0.7199302934925819
PP_0263,0.0029907362424242425,,,,
PP_0268,0.2161095499090909,0.1183829245925926,-0.8683018230723538,1.624267796123711e-17,16.789342366233527
PP_0282,0.05369005227272727,0.04413689518518518,-0.2826696628661768,0.00911811492127155,2.0400949384161837
PP_0285,0.0032018254242424243,0.006168269333333333,0.9459711121854758,0.010085410039216291,1.996306440123608
PP_0287,0.03809118136363636,0.038642729407407414,0.020739965509381852,0.922436442095889,0.0350635479851225
PP_0290,0.012967361151515151,0.030348525833333334,1.2267415178130012,1.439578671267832e-07,6.841764596458766
PP_0292,0.07466108754545454,0.07361949224074074,-0.020268724330947972,0.7216390132600323,0.14167999599611483
PP_0293,0.00941179409090909,0.01209424274074074,0.3617787773241514,0.012245771964947753,1.9120138320542097
PP_0294,0.004462443,,,,
PP_0296,0.025414184515151515,0.01699036774074074,-0.5809168599878096,0.001085662355345533,2.964305220797125
PP_0299,0.006269312515151515,,,,
PP_0321,0.030292405787878788,0.0032576905925925928,-3.217034667986516,2.9764648956024223e-10,9.526299235146853
PP_0336,0.013722241757575759,0.01860000033333333,0.43878645807201294,0.0029994006616667055,2.5229655170585494
PP_0338,0.23706691681818182,0.2206176854814815,-0.10374589874950794,0.1288290941070151,0.8899860470440112
PP_0339,0.3071180116060606,0.38497962661111107,0.3259889746111183,1.0917853055114696e-10,9.961862755219864
PP_0340,0.026968917848484847,0.022166065296296295,-0.2829449335488076,0.006109433543593556,2.213999054945002
PP_0344,0.009174311121212121,0.008151514314814815,-0.1705317381191746,0.4081894092675368,0.3891382675188606
PP_0347,0.010814748181818183,0.014892357388888888,0.46157207074838186,0.09086865181257235,1.0415859153799005
PP_0354,0.027633809303030304,0.0150345405,-0.8781536748918672,3.547598706623667e-05,4.450065512108511
PP_0356,0.04965117218181818,0.029062510314814816,-0.7726684546457027,1.9108532281196751e-16,15.71877266965125
PP_0366,0.03468640512121212,0.01425258448148148,-1.283146775300597,1.4941963233034958e-22,21.825592336572953
PP_0368,0.0362386306969697,0.03757302962962963,0.05216900650262765,0.6554419713677654,0.18346575192253045
PP_0370,0.032490740939393935,0.016446068537037038,-0.9822858979019684,2.5615608827683917e-09,8.59149531742335
PP_0372,0.009367103636363637,,,,
PP_0375,0.0076136265454545445,0.012540590851851852,0.7199496111496475,0.0005443325586578611,3.264135688055601
PP_0376,0.0023774624848484846,0.010051469537037037,2.079911959206617,7.129677355940302e-05,4.146930123122219
PP_0377,0.0015004772424242424,0.015588140740740742,3.376955519332442,3.231400906849242e-05,4.490609157478712
PP_0378,0.029673716515151518,0.06318672501851852,1.0904358625948378,1.3670426280288494e-06,5.864217942762788
PP_0379,0.05102920009090909,0.026477120444444443,-0.9465767985108421,8.155581834842107e-05,4.088545050117577
PP_0382,0.05593864675757576,0.015582997703703704,-1.84387256164291,7.602577200864383e-26,25.11903916108989
PP_0387,0.11903189842424243,0.08087223477777777,-0.557631858126089,1.023634650759195e-11,10.98985502135968
PP_0389,0.18942353036363638,0.24054730346296296,0.34470507205730927,6.630926046661405e-05,4.178425815656981
PP_0390,0.012090400121212121,0.018647501407407407,0.6251203455407667,0.0007047903209980672,3.1519400687929346
PP_0395,0.04734209287878788,0.048270887148148145,0.028029856124894875,0.721061098508597,0.14202793414200685
PP_0396,0.05041022275757576,0.043552403296296296,-0.21096399807498112,0.00038100331583616195,3.4190712446837463
PP_0397,0.26989201454545453,0.31482122425925924,0.2221505145322188,0.03418308559970493,1.466188737447876
PP_0398,0.03141485233333333,0.045850688370370374,0.5454965949446846,0.00027234066868742524,3.5648875005339966
PP_0400,0.020346663545454544,0.01586490122222222,-0.3589537013392565,0.0012149910761759064,2.915426911844923
PP_0401,0.004649907969696969,0.004838544648148148,0.05737101174902524,0.8229544554048185,0.08462419919075746
PP_0402,0.008174967303030302,0.003927528925925926,-1.057591059465459,9.725422326724594e-06,5.012091530343271
