Protein.Group,PP_0812_PP_0813_log2_FC_x,PP_0812_PP_0813_log10_pval_x,PP_0812_PP_0813_log2_FC_y,PP_0812_PP_0813_log10_pval_y,PP_0812_PP_0814_log2_FC_x,PP_0812_PP_0814_log10_pval_x,PP_0812_PP_0813_PP_0814_log2_FC_x,PP_0812_PP_0813_PP_0814_log10_pval_x,PP_0813_PP_0814_log2_FC_x,PP_0813_PP_0814_log10_pval_x,PP_0812_log2_FC_x,PP_0812_log10_pval_x,PP_0813_log2_FC_x,PP_0813_log10_pval_x,PP_0814_log2_FC_x,PP_0814_log10_pval_x,PP_0812_PP_0813_log2_FC,PP_0812_PP_0813_log10_pval,PP_0812_PP_0814_log2_FC_y,PP_0812_PP_0814_log10_pval_y,PP_0812_PP_0813_PP_0814_log2_FC_y,PP_0812_PP_0813_PP_0814_log10_pval_y,PP_0813_PP_0814_log2_FC_y,PP_0813_PP_0814_log10_pval_y,PP_0812_log2_FC_y,PP_0812_log10_pval_y,PP_0813_log2_FC_y,PP_0813_log10_pval_y,PP_0814_log2_FC_y,PP_0814_log10_pval_y
PP_2315,1.4851756009063009,1.6729421662628874,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2330,-1.8000805464725986,2.882135153811502,,,,,,,,,,,,,-2.9923877287158316,3.9819831877163425,,,,,,,,,,,,,-2.9923877287158316,3.9819831877163425
PP_2345,-1.528881050185683,1.668991154349422,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2356,-1.099150147849949,1.6502953383025079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2371,1.1652034614760474,7.5816457755672015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2379,6.061449805462197,1.6379910828216402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2380,3.3397490624408337,2.178974770923397,,,,,3.3037104846009835,3.9424480038440763,3.4057692705319345,3.932889488219738,3.1463543339455997,5.786037212291304,2.9267026298140713,4.431221859604539,,,,,,,3.3037104846009835,3.9424480038440763,3.4057692705319345,3.932889488219738,3.1463543339455997,5.786037212291304,2.9267026298140713,4.431221859604539,,
PP_2424,1.4701235242322275,4.750723245561399,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_2662,-5.627789649764286,3.5986430879087914,-5.627789649764286,3.5986430879087914,-3.4289641431304623,3.2174762886907424,-6.408235032947918,3.635359285845177,,,,,,,,,-5.627789649764286,3.5986430879087914,-3.4289641431304623,3.2174762886907424,-6.408235032947918,3.635359285845177,,,,,,,,
PP_2663,-3.2215758291558196,5.316936215883628,-3.2215758291558196,5.316936215883628,-4.396822590393991,5.684148876358892,,,-1.6285341676343639,3.1035034536657937,,,,,1.796914462452642,7.425478371112316,-3.2215758291558196,5.316936215883628,-4.396822590393991,5.684148876358892,,,-1.6285341676343639,3.1035034536657937,,,,,1.796914462452642,7.425478371112316
PP_2664,-3.860609414001073,4.362330328561086,-3.860609414001073,4.362330328561086,-4.256118633936942,4.452886173958969,-4.641055987174918,4.510511832336708,,,,,,,2.5660041777961164,3.7469706481631735,-3.860609414001073,4.362330328561086,-4.256118633936942,4.452886173958969,-4.641055987174918,4.510511832336708,,,,,,,2.5660041777961164,3.7469706481631735
PP_2665,-4.255390394199592,5.8069193898874225,-4.255390394199592,5.8069193898874225,-4.54774195930873,5.884612971964237,-5.035836967373437,5.93540135806821,,,,,,,,,-4.255390394199592,5.8069193898874225,-4.54774195930873,5.884612971964237,-5.035836967373437,5.93540135806821,,,,,,,,
PP_2666,-1.6700559866175169,1.9324204970254912,,,-3.8081552157668237,7.561177625516229,-2.1880279562464726,3.1335931606972744,,,,,,,,,,,-3.8081552157668237,7.561177625516229,-2.1880279562464726,3.1335931606972744,,,,,,,,
PP_2668,-4.7296021435220945,5.487560969473546,-4.7296021435220945,5.487560969473546,-5.834987247484296,5.623796378907591,-5.510048716695939,5.576643660539932,,,,,,,,,-4.7296021435220945,5.487560969473546,-5.834987247484296,5.623796378907591,-5.510048716695939,5.576643660539932,,,,,,,,
PP_2674,-1.7650992968770693,2.159680656458069,,,-3.329872323575774,5.697279498944034,-2.354450589309444,4.452362128933149,-1.6283141973056776,3.329501766401835,,,,,,,,,-3.329872323575774,5.697279498944034,-2.354450589309444,4.452362128933149,-1.6283141973056776,3.329501766401835,,,,,,
PP_2677,-2.0913069990321844,1.941648156175358,,,,,,,,,,,,,3.8256666091190565,3.71068271208305,,,,,,,,,,,,,3.8256666091190565,3.71068271208305
PP_2678,-1.9028242387504646,2.6434621663747877,,,-3.8912431076717287,4.278798994982599,-4.379338115736436,4.37164315153321,-2.6864931705876125,3.7655150835910622,,,,,,,,,-3.8912431076717287,4.278798994982599,-4.379338115736436,4.37164315153321,-2.6864931705876125,3.7655150835910622,,,,,,
PP_2680,-3.1068900997835374,5.207054641188432,-3.1068900997835374,5.207054641188432,-4.290413005746277,5.682210815431261,-3.4510241758500744,5.4385428990943465,-1.8910494297041727,3.9908403014317138,,,,,,,-3.1068900997835374,5.207054641188432,-4.290413005746277,5.682210815431261,-3.4510241758500744,5.4385428990943465,-1.8910494297041727,3.9908403014317138,,,,,,
PP_2791,1.5175184474912258,1.8843710194476004,,,,,1.6620795933449357,8.834424814732333,,,,,,,,,,,,,1.6620795933449357,8.834424814732333,,,,,,,,
PP_2793,2.4846992251431983,3.5924123906374943,2.4846992251431983,3.5924123906374943,,,2.456178625261445,8.201498306841843,,,,,,,,,2.4846992251431983,3.5924123906374943,,,2.456178625261445,8.201498306841843,,,,,,,,
