Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_0368,-5.953263582241602,14.422672785141955,0.5312775257261791,4.049813116925274,,,-0.39891205818608594,4.941360662569147,,,,,,,0.31800144548420595,1.7660828819339034,,,,,2.165957262155665,2.8826477800730066,,,,,,,0.32594321550568595,5.436849649770397
PP_0375,-3.514011333820903,5.324694659433624,-2.640199741010411,4.393551590524584,0.7445821888764735,5.562486919766722,0.33993567317367374,1.3439504695634648,0.6265724724367707,1.7343970356061151,0.7784580800694624,5.695646043993266,0.7037372585210128,5.519407697156304,,,,,,,-1.3573665749347814,1.5514748582069307,0.7864923810420156,3.108358038525479,-0.5599812023091096,1.345326030950633,,,0.7496808974246039,6.084346158935255
PP_0396,-0.29770707761215065,1.905229596812934,,,0.46858063630950336,6.934343137160411,,,,,,,0.8787975703841011,2.4676595349098425,,,,,,,,,,,,,0.6580540497634584,3.5186878236974573,0.3278097101796149,1.520002264839782
PP_0512,0.6842632306699133,1.7750749329760502,1.0769736569779629,1.7531499917670497,0.6710174228025784,1.4037496613957638,0.5913091170147378,6.217831276940646,,,0.8122377764266543,1.5753182787172246,1.0902280387591188,2.871148487448044,0.977358815813856,1.5806205797368544,,,1.2937274942528398,3.061935610547959,0.705219319552002,1.7502274364318968,,,,,1.3315806605493412,2.217949051111714,,
PP_0541,-0.6397018903312703,3.324213704801744,,,-0.3532966854539115,2.4327633005363953,-1.6758982805914082,8.391417822435702,,,,,-0.4580402778218742,3.0665179668470737,-0.6584247072019374,2.80205967814114,-0.34696875941079763,1.5258830334108715,,,,,-1.2734204164592478,7.412480395193565,-0.8654409715774608,2.2366349761695563,,,,
PP_0680,0.40297823238852654,2.4226265532749824,0.5586571763315927,2.2783186424694972,,,0.42228427039374455,1.3489256616975418,,,,,,,0.4002408537905251,10.24715774651386,0.47334680233458315,1.4384402637223261,,,0.35387568699098304,1.7559686334845275,,,,,0.3329340118965784,1.5672042618921314,0.4682321115394503,8.01449819621841
PP_0749,0.38670336359394863,2.03220714917283,0.9050428783374699,1.8161121554936734,0.45051807853347525,6.257293794273963,,,,,,,0.8129147467739777,1.9315595536530417,,,,,,,,,-1.082145030311577,2.4114097769283447,,,,,,
PP_0756,0.21567447918190386,2.2375846576586484,,,,,,,,,,,-0.2640428123535872,1.552388584076846,-1.6653858686184735,1.304201145764211,,,,,,,-0.48739327045832925,1.9143659586266888,,,-1.0214315939650436,2.0663732655591933,,
PP_0763,-1.2585476719530202,2.315665711319018,,,0.590141900092276,3.203025654631645,,,,,,,,,0.7582022806198465,2.7553309882840016,0.24402672018280547,2.0756700210126255,,,-3.0387860135775564,12.1465494944862,,,,,0.9346286688139335,3.191954016831968,,
PP_0855,0.2955576189778253,2.4258334968388264,0.5187374422250955,3.3628184897434834,0.35502932050946945,3.3119679573139935,,,0.3997818706575016,3.985900079441858,,,0.3394438408136759,3.8158338979980964,0.6604771359367243,1.4657471962513386,-1.4801428542160293,9.378021709862578,,,,,,,,,,,0.642517616335189,1.916226398646443
PP_0870,0.6593360215057458,2.6929507762159695,0.5729807258851888,2.6521601073940353,-1.253467550922008,4.551191917464512,-3.491403120724719,6.746979173976581,-0.7108586226400295,2.3515183591469313,-0.9005464596779822,3.4915781218611484,,,-1.2565196228762883,4.55971964553143,-0.9878447943539479,2.797438319712524,,,,,-3.9239866803993486,6.580825073523937,-2.7708238031477475,2.7230566158576597,,,-0.7929870259662009,1.59170043505011
