Protein.Group,Group_with_PP_0815_Mean,Group_without_PP_0815_Mean,T-Statistic,P-Value
PP_5252,0.002802965541666666,0.0012374726452599389,3.385732186367695,0.0013636222171251767
PP_5249,,0.0008173366718749999,,
PP_5235,0.014741150709401709,0.011019352203869048,6.339623470218031,2.604844704742617e-09
PP_5234,0.3745655466878307,0.2800523246564365,8.279098989186679,6.561414774441478e-16
PP_5233,0.05385302206363636,0.042975757047206166,9.187090912787246,1.3682453993722384e-18
PP_5231,0.01661391727248677,0.014556301648763854,5.378977305428006,1.0405194612127564e-07
PP_5229,0.009894865497354497,0.01009715274680307,-0.4065168944690922,0.6845319919989601
PP_5228,0.012664375563063063,0.01244523648812665,0.49289488773181883,0.6224610733693597
PP_5227,0.031823324029100535,0.03316323693265132,-2.277685577648452,0.023147141501395838
PP_5225,0.0159441503125,0.016330477415584417,-0.4065673682880015,0.6856699696397159
PP_5223,0.010362290158730157,0.008734026624893436,4.763005393227322,2.5317647635108196e-06
PP_5220,0.02193810556878307,0.028094608862745094,-9.147836272600246,1.0310531134663082e-18
PP_5217,0.03297268174867725,0.03169955445268543,1.945530245337995,0.05218047182260417
PP_5216,0.023317092825396825,0.02282455282097187,1.192575378285226,0.23343920449225397
PP_5215,0.12327542634656084,0.12648019260358057,-1.0234082459139446,0.3065427224246407
PP_5214,0.12725593113227515,0.12226831176385336,3.177332869062911,0.0015638335123514596
PP_5213,0.01437913701851852,0.01865785780136402,-7.620849498549212,9.831339216723837e-14
PP_5212,0.007433328999999999,0.008224342533996683,-1.1605363851983954,0.27729021158567685
PP_5207,0.0014528807264957268,0.0009689276049926578,3.396782049506373,0.000862593372364917
PP_5206,0.02605688450529101,0.018327508449275363,11.187600744138917,2.785710909965323e-26
PP_5203,0.000128328,0.0017002176323987538,-15.576048801522413,4.54302444168483e-09
PP_5202,0.0034243439310344824,0.002801521116557734,3.50084888592761,0.000509657660033417
PP_5201,0.029405720089947095,0.03485982151918158,-6.087468736809291,2.0092062785234953e-09
PP_5200,0.01037844938888889,0.012068366148337594,-2.289592823531636,0.022385659410826552
PP_5199,0.009186614902439025,0.004154244034965035,7.728889119999767,2.0427463677137766e-12
PP_5197,0.010221299926605506,0.0074669645722543355,6.722738888425371,5.2599269270844235e-11
PP_5196,0.006004150803418804,0.0031440121443452383,5.999541686037719,6.918711236731148e-09
PP_5194,0.011646971941896025,0.009371047545279383,6.13832390055552,1.8480414974239727e-09
PP_5193,0.05944949795767195,0.04640653665984655,7.816619477768332,2.6301581370405288e-14
PP_5192,0.009488781312169313,0.007473168271952259,4.8324784808345225,1.7822426438016301e-06
PP_5187,0.0290669193994709,0.029332503340153453,-0.5329375404768809,0.5942687986981114
PP_5186,0.014391261879310346,0.010359922391217564,8.415898148128779,1.6833403625397893e-15
PP_5184,0.02888249254761905,0.026671753774936063,3.880477728703938,0.0001165992491541692
PP_5183,0.044529855166666674,0.04066409191219096,3.8143911088763716,0.00015265096779851158
PP_5182,0.007494628807339449,0.011302125738921002,-11.453449189001127,4.164530795724406e-28
PP_5181,0.14156163367195768,0.12442418500426258,7.502598477810289,2.65684514518826e-13
PP_5180,0.05523163101851852,0.046347213224211425,7.734381922400824,4.184734731780699e-14
PP_5179,0.03006081622222222,0.030007729543904516,0.07535962113106966,0.9399512712223639
PP_5175,0.003837710803921569,0.0012937271956521737,4.1319802619144435,0.00012806236107931474
PP_5171,0.00910986282262997,0.007710115131984586,3.755959848669378,0.00019322453220382518
PP_5168,0.015189294465608466,0.01333321363938619,4.13530400962395,4.057538378219714e-05
PP_5165,0.011855690954954956,0.011044190760773967,1.465619710289753,0.14385088209632463
PP_5160,0.02073522130909091,0.011607749029411765,5.463502731070223,1.296745168118945e-07
PP_5157,0.00505601087254902,0.0027073365803722505,6.20535405578098,9.39092414375468e-09
PP_5156,0.05481664056306306,0.03593561326033421,8.890002870466962,1.1993862698089408e-16
PP_5155,0.12952499305291004,0.1363655540349531,-3.650459635789609,0.0002803159857963919
PP_5154,0.01379480756269113,0.00927696447591522,12.77232264281658,5.97077747785801e-33
PP_5153,0.019404382447089946,0.01959277710912191,-0.30411926559018804,0.7611627102066508
PP_5150,0.02655392290476191,0.025253123336743392,2.6674023183518756,0.007865492002150478
PP_5149,0.029698727283068785,0.022696813113384482,10.766011284657822,9.169433458517122e-25
PP_5147,0.009576569927272727,0.005589634142156863,8.345622961197959,8.075209138768844e-15
PP_5145,0.07583396086507936,0.0443718371202046,16.931396790540234,4.118681228273178e-51
PP_5144,0.002218705274509804,0.0014211055778985508,3.179108425865764,0.0024013577002296037
