Strain,Time,Temperature,OD600,,,,
PCK-10,Induction,24,0.155044743,,,,
PCK-10,Induction,24,0.168970917,,,,
Control-2,Induction,24,0.166185682,,,,
Control-2,Induction,24,0.177326622,,,,
Control-2,Induction,24,0.166185682,,,,
Control-1,24 hr,24,2.291319911,,,,
Control-1,24 hr,24,2.185480984,,,,
Control-1,24 hr,24,2.324742729,,,,
?PP_0368,24 hr,24,2.090782998,,,,
?PP_0368,24 hr,24,2.347024609,,,,
?PP_0368,24 hr,24,2.386017897,,,,
?PP_0751,24 hr,24,2.642259508,,,,
?PP_0751,24 hr,24,2.436152125,,,,
?PP_0751,24 hr,24,2.597695749,,,,
?PP_0812,24 hr,24,1.689709172,,,,
?PP_0812,24 hr,24,1.47803132,,,,
?PP_0812,24 hr,24,1.48917226,,,,
?PP_0813,24 hr,24,1.216219239,,,,
?PP_0813,24 hr,24,1.912527964,,,,
?PP_0813,24 hr,24,1.873534676,,,,
?PP_0814,24 hr,24,2.469574944,,,,
?PP_0814,24 hr,24,2.475145414,,,,
?PP_0814,24 hr,24,2.475145414,,,,
?PP_0815,24 hr,24,0.146689038,,,,
?PP_0815,24 hr,24,0.063131991,,,,
?PP_0815,24 hr,24,0.035279642,,,,
?PP_0812-15,24 hr,24,2.252326622,,,,
?PP_0812-15,24 hr,24,2.5698434,,,,
?PP_0812-15,24 hr,24,2.5698434,,,,
?PP_1317,24 hr,24,2.257897092,,,,
?PP_1317,24 hr,24,2.191051454,,,,
?PP_1317,24 hr,24,2.191051454,,,,
?PP_2136,24 hr,24,2.341454139,,,,
?PP_2136,24 hr,24,2.408299776,,,,
?PP_2136,24 hr,24,2.31360179,,,,
?PP_4120,24 hr,24,2.101923937,,,,
?PP_4120,24 hr,24,2.074071588,,,,
?PP_4120,24 hr,24,1.984944072,,,,
?PP_4189,24 hr,24,2.051789709,,,,
?PP_4189,24 hr,24,2.090782998,,,,
?PP_4189,24 hr,24,1.216219239,,,,
?PP_4191,24 hr,24,0.024138702,,,,
?PP_4191,24 hr,24,0.118836689,,,,
?PP_4191,24 hr,24,0.107695749,,,,
?PP_0751 ?PP_0812,24 hr,24,1.227360179,,,,
?PP_0751 ?PP_0812,24 hr,24,1.433467562,,,,
?PP_0751 ?PP_0812,24 hr,24,1.149373602,,,,
?PP_1317 ?PP_0812,24 hr,24,1.711991051,,,,
?PP_1317 ?PP_0812,24 hr,24,1.7398434,,,,
?PP_1317 ?PP_0812,24 hr,24,1.578299776,,,,
?PP_0813-15 ?PP_1317,24 hr,24,1.099239374,,,,
?PP_0813-15 ?PP_1317,24 hr,24,1.143803132,,,,
?PP_0813-15 ?PP_1317,24 hr,24,1.394474273,,,,
?PP_0812-15 ?PP_1317 ?PP_0368,24 hr,24,0.246957494,,,,
?PP_0812-15 ?PP_1317 ?PP_0368,24 hr,24,0.141118568,,,,
?PP_0812-15 ?PP_1317 ?PP_0368,24 hr,24,0.180111857,,,,
?PP_0812-0815 ?PP_0751 ?PP_0368,24 hr,24,1.923668904,,,,
?PP_0812-0815 ?PP_0751 ?PP_0368,24 hr,24,1.968232662,,,,
?PP_0812-0815 ?PP_0751 ?PP_0368,24 hr,24,1.806689038,,,,
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,24 hr,24,0.798434004,,,,
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,24 hr,24,0.809574944,,,,
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,24 hr,24,0.965548098,,,,
?PP_0812-15 ?PP_0368,24 hr,24,0.029709172,,,,
?PP_0812-15 ?PP_0368,24 hr,24,0.024138702,,,,
?PP_0812-15 ?PP_0368,24 hr,24,0.012997763,,,,
PCK-1,24 hr,24,2.096353468,,,,
PCK-1,24 hr,24,1.717561521,,,,
PCK-1,24 hr,24,2.140917226,,,,
PCK-2,24 hr,24,2.04064877,,,,
PCK-2,24 hr,24,2.079642058,,,,
PCK-2,24 hr,24,2.046219239,,,,
PCK-3,24 hr,24,2.202192394,,,,
PCK-3,24 hr,24,2.174340045,,,,
PCK-3,24 hr,24,2.252326622,,,,
PCK-4,24 hr,24,2.074071588,,,,
PCK-4,24 hr,24,1.951521253,,,,
PCK-4,24 hr,24,2.124205817,,,,
PCK-5,24 hr,24,2.079642058,,,,
PCK-5,24 hr,24,2.269038031,,,,
PCK-5,24 hr,24,2.230044743,,,,
PCK-6,24 hr,24,1.873534676,,,,
PCK-6,24 hr,24,1.867964206,,,,
PCK-6,24 hr,24,1.962662192,,,,
PCK-7,24 hr,24,2.157628635,,,,
PCK-7,24 hr,24,1.47246085,,,,
PCK-7,24 hr,24,2.725816555,,,,
PCK-8,24 hr,24,2.124205817,,,,
PCK-8,24 hr,24,1.817829978,,,,
PCK-8,24 hr,24,2.430581655,,,,
PCK-9,24 hr,24,2.157628635,,,,
PCK-9,24 hr,24,2.163199105,,,,
PCK-9,24 hr,24,2.280178971,,,,
PCK-10,24 hr,24,2.02950783,,,,
PCK-10,24 hr,24,2.280178971,,,,
PCK-10,24 hr,24,2.129776286,,,,
Control-2,24 hr,24,2.352595078,,,,
Control-2,24 hr,24,2.352595078,,,,
Control-2,24 hr,24,2.30246085,,,,
Control-1,48 hr,24,3.100894855,,,,
Control-1,48 hr,24,3.295861298,,,,
Control-1,48 hr,24,3.323713647,,,,
?PP_0368,48 hr,24,2.878076063,,,,
?PP_0368,48 hr,24,3.184451902,,,,
?PP_0368,48 hr,24,3.198378076,,,,
?PP_0751,48 hr,24,4.103579418,,,,
?PP_0751,48 hr,24,3.64401566,,,,
?PP_0751,48 hr,24,3.950391499,,,,
?PP_0812,48 hr,24,2.307102908,,,,
?PP_0812,48 hr,24,2.028579418,,,,
?PP_0812,48 hr,24,1.805760626,,,,
?PP_0813,48 hr,24,1.777908277,,,,
?PP_0813,48 hr,24,2.5299217,,,,
?PP_0813,48 hr,24,2.585626398,,,,
?PP_0814,48 hr,24,4.312472036,,,,
?PP_0814,48 hr,24,4.298545861,,,,
?PP_0814,48 hr,24,4.242841163,,,,
?PP_0815,48 hr,24,1.610794183,,,,
?PP_0815,48 hr,24,1.137304251,,,,
?PP_0815,48 hr,24,1.220861298,,,,
?PP_0812-15,48 hr,24,3.128747204,,,,
?PP_0812-15,48 hr,24,3.2401566,,,,
?PP_0812-15,48 hr,24,3.226230425,,,,
?PP_1317,48 hr,24,3.226230425,,,,
?PP_1317,48 hr,24,3.254082774,,,,
?PP_1317,48 hr,24,3.226230425,,,,
?PP_2136,48 hr,24,3.449049217,,,,
?PP_2136,48 hr,24,3.462975391,,,,
?PP_2136,48 hr,24,3.449049217,,,,
?PP_4120,48 hr,24,3.212304251,,,,
?PP_4120,48 hr,24,3.08696868,,,,
?PP_4120,48 hr,24,3.504753915,,,,
?PP_4189,48 hr,24,2.766666667,,,,
?PP_4189,48 hr,24,2.697035794,,,,
?PP_4189,48 hr,24,1.722203579,,,,
?PP_4191,48 hr,24,0.218176734,,,,
?PP_4191,48 hr,24,0.468847875,,,,
?PP_4191,48 hr,24,0.371364653,,,,
?PP_0751 ?PP_0812,48 hr,24,2.042505593,,,,
?PP_0751 ?PP_0812,48 hr,24,2.460290828,,,,
?PP_0751 ?PP_0812,48 hr,24,2.390659955,,,,
?PP_1317 ?PP_0812,48 hr,24,2.627404922,,,,
?PP_1317 ?PP_0812,48 hr,24,2.878076063,,,,
?PP_1317 ?PP_0812,48 hr,24,2.641331096,,,,
?PP_0813-15 ?PP_1317,48 hr,24,1.750055928,,,,
?PP_0813-15 ?PP_1317,48 hr,24,1.610794183,,,,
?PP_0813-15 ?PP_1317,48 hr,24,2.139988814,,,,
?PP_0812-15 ?PP_1317 ?PP_0368,48 hr,24,2.766666667,,,,
?PP_0812-15 ?PP_1317 ?PP_0368,48 hr,24,2.432438479,,,,
?PP_0812-15 ?PP_1317 ?PP_0368,48 hr,24,2.209619687,,,,
?PP_0812-0815 ?PP_0751 ?PP_0368,48 hr,24,2.794519016,,,,
?PP_0812-0815 ?PP_0751 ?PP_0368,48 hr,24,2.780592841,,,,
?PP_0812-0815 ?PP_0751 ?PP_0368,48 hr,24,2.585626398,,,,
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,48 hr,24,0.928411633,,,,
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,48 hr,24,0.844854586,,,,
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,48 hr,24,1.443680089,,,,
?PP_0812-15 ?PP_0368,48 hr,24,1.485458613,,,,
?PP_0812-15 ?PP_0368,48 hr,24,0.649888143,,,,
?PP_0812-15 ?PP_0368,48 hr,24,1.499384787,,,,
PCK-1,48 hr,24,3.073042506,,,,
PCK-1,48 hr,24,2.209619687,,,,
PCK-1,48 hr,24,3.08696868,,,,
PCK-2,48 hr,24,2.975559284,,,,
PCK-2,48 hr,24,2.96163311,,,,
PCK-2,48 hr,24,2.947706935,,,,
PCK-3,48 hr,24,3.017337808,,,,
PCK-3,48 hr,24,3.156599553,,,,
PCK-3,48 hr,24,3.156599553,,,,
PCK-4,48 hr,24,2.864149888,,,,
PCK-4,48 hr,24,2.68310962,,,,
PCK-4,48 hr,24,2.780592841,,,,
PCK-5,48 hr,24,2.669183445,,,,
PCK-5,48 hr,24,2.710961969,,,,
PCK-5,48 hr,24,2.822371365,,,,
PCK-6,48 hr,24,2.919854586,,,,
PCK-6,48 hr,24,2.919854586,,,,
PCK-6,48 hr,24,2.975559284,,,,
PCK-7,48 hr,24,2.878076063,,,,
PCK-7,48 hr,24,2.153914989,,,,
PCK-7,48 hr,24,2.989485459,,,,
PCK-8,48 hr,24,2.752740492,,,,
PCK-8,48 hr,24,2.362807606,,,,
PCK-8,48 hr,24,2.80844519,,,,
PCK-9,48 hr,24,2.905928412,,,,
PCK-9,48 hr,24,2.905928412,,,,
PCK-9,48 hr,24,3.184451902,,,,
PCK-10,48 hr,24,3.073042506,,,,
PCK-10,48 hr,24,3.100894855,,,,
PCK-10,48 hr,24,3.073042506,,,,
Control-2,48 hr,24,3.337639821,,,,
Control-2,48 hr,24,3.295861298,,,,
Control-2,48 hr,24,3.2401566,,,,
