Protein.Group,PP_0751_PP_0813_PP_0815_log2_FC,PP_0528_PP_0751_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0751_PP_0815_log2_FC,PP_0368_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0814_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0814_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log2_FC,PP_0528_PP_0813_PP_0815_log2_FC,PP_0751_PP_0815_log2_FC,PP_0528_PP_0812_PP_0815_log2_FC,PP_0368_PP_0813_PP_0814_PP_0815_log2_FC,PP_0814_PP_0815_log2_FC,PP_0813_PP_0814_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_PP_1506_log2_FC,PP_0368_PP_0815_log2_FC,PP_0437_PP_0815_PP_1317_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0528_PP_0815_log2_FC,PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0751_PP_0812_log2_FC,PP_0812_PP_0815_PP_1506_log2_FC
mvk,-0.1796365508758766,,,,0.18921338355970752,,,,,0.6244472082439475,,0.351053161356614,0.671588564763463,,,0.2318716778912094,0.13287988857597247,0.5701226161069906,0.49649414041871454,0.18697461457366651,,0.5249698964382485,0.2650791327577337,,0.1615789703692803
rplE,-1.0011518761452753,-0.9312193283941131,-1.0236790774939883,-0.933039335531538,-1.0115257123717687,-0.8959100151992758,-0.801778315904207,-0.8264968521740088,-0.5740979875371939,-0.8568354783007779,-1.2425652060159174,-1.1758767447394052,-1.207185224652824,-0.611528960065674,-1.949986839294295,-0.9988688698899396,-1.09077894899618,-0.689828751735517,-1.2900133377435277,-0.6892409517815197,-1.5574669916444186,-1.0443668927162215,-0.643895587716004,-0.6307767433546057,-0.7226013480226671
mvaS,0.28845759619038797,0.8293041865473382,0.6374537693910866,0.8206776589036938,,,,,0.5273909468701524,,1.1345997730718949,,0.4020546077775861,0.6026544718087119,,,,,,,,,,,
rpsQ,-1.2406454864071874,-1.1138465116356553,-1.4519991463786222,-1.0966795174724677,-1.5167801083620729,-0.8476787953168481,-1.3197389944101747,-1.2593177926490973,-1.2948032384050499,-1.5292357082262857,-1.0952968949545165,-1.1972556731038233,-2.7439845110693404,-1.0009462086809076,-2.5081817004675826,-1.3789124300203228,-1.0078104650712942,-1.6715347454275584,-2.4885934417581987,-1.2839459943104479,-1.5832775406569792,-1.3576501450388758,-1.259435129875738,-1.1675716381878134,-1.154675106179502
hupB,0.3809653163713139,0.4521287708606462,,0.41599269042937925,0.34834386931032707,0.2922052312140094,0.3139861354924668,0.1793847595855132,0.2879074031247145,0.8861966874293641,0.35588556605008625,0.7006262456275129,,0.29530861314127554,,0.26408768504498714,0.5639221719627441,0.4047864594616734,0.6588382081910178,0.2827028501038183,0.8958306803152459,0.39470211640365455,0.23249457856374386,0.1934080048460677,0.6796745349411981
sucD,-1.0445533459840195,-1.0875304162466877,-1.1691455721994697,-0.966083520723056,-2.1729793526757777,-1.4355660339037661,-1.5792709412178187,-1.8830809522176732,-1.2204882420723202,-1.8007456289804757,-1.2636876102492625,-1.0544899863371606,-1.1470070296093462,-1.3478271234884824,-0.9784433648286982,-1.1195342556410233,-1.225525196474769,-2.3920412962701176,-1.0730107726635945,-1.834069636782176,-1.2294718298658325,-0.9761698411019544,-2.4030515748093677,-1.8953141042244674,-1.2549687067316595
ilvC,-1.17726344139381,-1.366457602112014,-1.3847573642028181,-1.2802964869796913,-0.9261141067597091,-1.168337443445948,-0.9887269749798451,-0.8199754673189814,-1.1671290859851162,-0.4468181526903724,-1.5661846894853724,,,-1.0485125505831272,1.0039357324245293,-0.9753126537233762,-0.9351338302603125,-0.43450456931699233,,-0.917436441203774,,-0.9068304554819455,-0.8148808534053595,-0.8668296478393457,-1.1235581574801918
fusA,0.6713935523792527,0.29865398136119764,,0.48290884867515194,-0.2219168254593668,0.5587062364437017,,,0.43651922260916237,,0.2769691468527744,,,0.7057053739173142,,,0.23109256782784646,,,,,-0.2116701763573325,,,0.13838457308079838
groES,,,-0.1378930236214556,,-0.8126072466119987,,-0.616484197754012,-0.9278047326490434,-0.2365520595278721,0.6495517248720979,,0.722881235545511,,,,-0.6911302596588035,0.2627698128969782,,,-0.814283914119854,,-0.7262877412444482,-0.7854578156524138,-0.7919267849036686,0.3120655201154575
rpsJ,-0.6554510871896119,-0.6506161892224215,-0.4304203704920651,-0.4759846501042412,-0.9563753704596486,-0.423192485989723,-1.2668095714912893,-0.7544620888284453,-0.3977220208670263,-1.072949984909728,-0.7187887097871045,-0.8676466183005533,-0.8783022737456061,-0.45478750428702686,-1.2441852881510143,-0.9050556639447336,-0.4599011680508011,-0.8164533219530348,-0.9236015960954435,-0.7753318859640275,-0.9926278531676416,-0.7237878990123032,-0.7483477465681054,-0.9695269736026032,-0.4731364101449346
tsf,-0.379560008736261,-0.451513188607464,,,-0.4337170718513087,-0.08795127609872039,-0.39569199361754626,-0.1866883187292049,,-0.6232619298547898,-0.526774970467686,-0.570691805706018,-0.8394683499337872,-0.09372756291392821,-0.6557250231998788,-0.4446503760565288,-0.26860485994536887,,-0.8008714490343756,-0.3040867159763237,-0.6607328379667673,-0.4281931817678413,-0.2665080340502252,-0.1014724579991754,-0.31342704326453874
rpsG,,,,,-0.6792588144019827,0.0773203204622664,-0.45530254171956314,-0.45352679603607643,,-0.9234865329517663,-0.18959930302020153,-0.7410497941717814,-1.0911841065474497,0.1414344438788281,-1.0828358384010859,-0.6076106869371583,-0.3370408069295422,-0.6682801759145112,-0.8482119464549288,-0.429363346334575,-0.9016448440769909,-0.5531952708762539,-0.4372278399785148,-0.3070079094036799,-0.25048323942303397
rplP,,,,,-1.1531526895069775,0.5339833325985621,-0.8269029442348657,-0.7654880295396324,0.18066568638123665,-0.637979536974601,,-0.5731733462045008,-0.48381213063303063,0.37765313154095825,,-0.9943380802284527,-0.3081521144385927,,-0.5344609154329171,-0.7720392585925404,-0.839103533560193,-0.9491749315886344,-0.70142022117593,-0.5203256865018364,-0.27441226130889546
rpsA,-0.8607648549922835,-0.8301739566903777,-0.8698200850380604,-0.7762426751957616,-0.7071230128415918,-0.4647564927727507,-0.8169999465888164,-0.3607484760662105,-0.6061501529912089,-0.2614089607909383,-0.7979422831600698,-0.27297334839632476,,-0.5694776019813961,,-0.6565545009684287,-1.0248233375475304,,,-0.39234087844787,,-0.8028307426609612,-0.3216599322702156,-0.7261024826125424,-0.944030491984408
rplD,-0.8381225020067338,-0.710652112691588,-0.7154185259288303,-0.6544681196812205,-1.1598455258240918,,-1.0425179308352495,-0.8226731981091947,-0.39624608323319593,-0.661505991074506,-0.7124452005357635,-0.5681529008587242,-1.055674764182296,-0.45789704343781773,-0.9750023285831994,-1.1566383522085466,-0.8342386047243433,-0.4892337660855676,-1.0094524007555796,-0.8556519443149256,-0.8195101557924154,-1.02639879631511,-0.7711591183648667,-0.946944343492105,-0.6136657201326975
