Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Strain,Inducer concentration,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",pSTABL2_Condition_5,pSTABL2 (PP_2971-74),62.5,R1,17713221,2.866163488,0.457300959
Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",pSTABL2_Condition_5,pSTABL2 (PP_2971-74),62.5,R2,16583445,2.714470882,0.433685187
Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",pSTABL2_Condition_5,pSTABL2 (PP_2971-74),62.5,R3,16372344.33,2.671649982,0.42677956
Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,pSTABL2_Condition_5,pSTABL2 (PP_2971-74),62.5,R1,76907513,12.44434909,1.094972186
Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,pSTABL2_Condition_5,pSTABL2 (PP_2971-74),62.5,R2,29260257.2,4.789482292,0.680288572
Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,pSTABL2_Condition_5,pSTABL2 (PP_2971-74),62.5,R3,32171593.2,5.249781866,0.720141258
Q88J57,Q88J57_PSEPK,Pp_2792,DUF6285 domain-containing protein,pSTABL2_Condition_5,pSTABL2 (PP_2971-74),62.5,R1,7247024.667,1.172635824,0.069163158
Q88J57,Q88J57_PSEPK,Pp_2792,DUF6285 domain-containing protein,pSTABL2_Condition_5,pSTABL2 (PP_2971-74),62.5,R2,5601589,0.916899368,-0.037678327
Q88J57,Q88J57_PSEPK,Pp_2792,DUF6285 domain-containing protein,pSTABL2_Condition_5,pSTABL2 (PP_2971-74),62.5,R3,10459079.33,1.706719486,0.232162147
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,pSTABL2_Condition_5,pSTABL2 (PP_2971-74),62.5,R1,14815532.33,2.397290579,0.379720679
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,pSTABL2_Condition_5,pSTABL2 (PP_2971-74),62.5,R2,6042456.323,0.989062993,-0.004776047
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,pSTABL2_Condition_5,pSTABL2 (PP_2971-74),62.5,R3,10829139.33,1.767106122,0.247262631
Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",pSTABL2_Condition_6,pSTABL2 (PP_2971-74),31.25,R1,16221934.33,2.544789488,0.405651862
Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",pSTABL2_Condition_6,pSTABL2 (PP_2971-74),31.25,R2,15834181.67,2.648477464,0.422996282
Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",pSTABL2_Condition_6,pSTABL2 (PP_2971-74),31.25,R3,15534699.67,2.651408172,0.423476591
Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,pSTABL2_Condition_6,pSTABL2 (PP_2971-74),31.25,R1,50638886.77,7.943892763,0.900033373
Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,pSTABL2_Condition_6,pSTABL2 (PP_2971-74),31.25,R2,29126333,4.871766549,0.687686469
Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,pSTABL2_Condition_6,pSTABL2 (PP_2971-74),31.25,R3,27607258.5,4.711910263,0.673197011
Q88J57,Q88J57_PSEPK,Pp_2792,DUF6285 domain-containing protein,pSTABL2_Condition_6,pSTABL2 (PP_2971-74),31.25,R1,8187182.333,1.284350874,0.108683686
Q88J57,Q88J57_PSEPK,Pp_2792,DUF6285 domain-containing protein,pSTABL2_Condition_6,pSTABL2 (PP_2971-74),31.25,R2,5708451.667,0.954814459,-0.020081013
Q88J57,Q88J57_PSEPK,Pp_2792,DUF6285 domain-containing protein,pSTABL2_Condition_6,pSTABL2 (PP_2971-74),31.25,R3,5571333.333,0.950895675,-0.021867128
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,pSTABL2_Condition_6,pSTABL2 (PP_2971-74),31.25,R1,11666119.03,1.830103394,0.262475627
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,pSTABL2_Condition_6,pSTABL2 (PP_2971-74),31.25,R2,7054340.367,1.179932243,0.071857069
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,pSTABL2_Condition_6,pSTABL2 (PP_2971-74),31.25,R3,6985710.1,1.192296552,0.076384288
Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",pSTABL2_Condition_7,pSTABL2 (PP_2971-74),0,R1,2923089.433,0.52359862,-0.281001507
Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",pSTABL2_Condition_7,pSTABL2 (PP_2971-74),0,R2,2961454.433,0.53362071,-0.272767324
Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",pSTABL2_Condition_7,pSTABL2 (PP_2971-74),0,R3,2873798.7,0.510451039,-0.292045907
Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,pSTABL2_Condition_7,pSTABL2 (PP_2971-74),0,R1,5559882.5,0.995914381,-0.001777997
Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,pSTABL2_Condition_7,pSTABL2 (PP_2971-74),0,R2,5432463.623,0.978868714,-0.009275552
Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,pSTABL2_Condition_7,pSTABL2 (PP_2971-74),0,R3,5784009.223,1.027369635,0.011726725
Q88J57,Q88J57_PSEPK,Pp_2792,DUF6285 domain-containing protein,pSTABL2_Condition_7,pSTABL2 (PP_2971-74),0,R1,1742567.333,0.312137508,-0.505654042
Q88J57,Q88J57_PSEPK,Pp_2792,DUF6285 domain-containing protein,pSTABL2_Condition_7,pSTABL2 (PP_2971-74),0,R2,1481402.433,0.266932021,-0.573599325
Q88J57,Q88J57_PSEPK,Pp_2792,DUF6285 domain-containing protein,pSTABL2_Condition_7,pSTABL2 (PP_2971-74),0,R3,1780412.733,0.316241193,-0.49998156
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,pSTABL2_Condition_7,pSTABL2 (PP_2971-74),0,R1,2979535.047,0.533709445,-0.272695112
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,pSTABL2_Condition_7,pSTABL2 (PP_2971-74),0,R2,2379341.58,0.428730535,-0.367815585
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,pSTABL2_Condition_7,pSTABL2 (PP_2971-74),0,R3,2575431.78,0.457454389,-0.339652201
Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",pSTABL2_Control,Control,0,R1,53880.46667,0.009995999,-2.000173797
Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",pSTABL2_Control,Control,0,R2,19231.56667,0.003506168,-2.455167289
Q88J55,Q88J55_PSEPK,Pp_2794,"Oxidoreductase, short chain dehydrogenase/reductase family",pSTABL2_Control,Control,0,R3,36327.58333,0.006629376,-2.178527359
Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,pSTABL2_Control,Control,0,R1,214254.3333,0.039748841,-1.400675531
Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,pSTABL2_Control,Control,0,R2,206316.5,0.037614215,-1.424647992
Q88J56,Q88J56_PSEPK,Pp_2793,Acyl-CoA dehydrogenase family protein,pSTABL2_Control,Control,0,R3,158692.1933,0.028959542,-1.538208304
Q88J57,Q88J57_PSEPK,Pp_2792,DUF6285 domain-containing protein,pSTABL2_Control,Control,0,R1,61275.33333,0.011367908,-1.944319463
Q88J57,Q88J57_PSEPK,Pp_2792,DUF6285 domain-containing protein,pSTABL2_Control,Control,0,R2,43333.23333,0.007900219,-2.102360859
Q88J57,Q88J57_PSEPK,Pp_2792,DUF6285 domain-containing protein,pSTABL2_Control,Control,0,R3,32762.52,0.005978792,-2.223386568
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,pSTABL2_Control,Control,0,R1,106818.0667,0.019817076,-1.702960432
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,pSTABL2_Control,Control,0,R2,146226.1667,0.026658956,-1.574156859
Q88J58,Q88J58_PSEPK,Pp_2791,Aminoglycoside phosphotransferase,pSTABL2_Control,Control,0,R3,60379.08667,0.011018505,-1.957877327
