orig,has_6letter_substring,extracted
sp|Q88C55|Q88C55_PSEPK Pstc,True,Q88C55
sp|Q88C57|PSTB2_PSEPK Pstb2,True,Q88C57
sp|Q88C58|Q88C58_PSEPK Phou,True,Q88C58
sp|Q88C59|Q88C59_PSEPK Pp_5324,True,Q88C59
sp|Q88C61|Q88C61_PSEPK Pp_5322,True,Q88C61
sp|Q88C62|Q88C62_PSEPK Phor,True,Q88C62
sp|Q88C63|Q88C63_PSEPK Phob,True,Q88C63
sp|Q88C64|Q88C64_PSEPK Pp_5319,True,Q88C64
sp|Q88C65|UBIA_PSEPK Ubia,True,Q88C65
sp|Q88C66|UBIC_PSEPK Ubic,True,Q88C66
sp|Q88C69|Q88C69_PSEPK Rubb,True,Q88C69
sp|Q88C70|Q88C70_PSEPK Hupa,True,Q88C70
sp|Q88C72|Q88C72_PSEPK Pp_5311,True,Q88C72
sp|Q88C73|Q88C73_PSEPK Recg,True,Q88C73
sp|Q88C74|Q88C74_PSEPK Pp_5309,True,Q88C74
sp|Q88C75|Q88C75_PSEPK Tonb,True,Q88C75
sp|Q88C76|Q88C76_PSEPK Exbd,True,Q88C76
sp|Q88C77|Q88C77_PSEPK Exbb,True,Q88C77
sp|Q88C78|Q88C78_PSEPK Pp_5305,True,Q88C78
sp|Q88C79|Q88C79_PSEPK Pp_5304,True,Q88C79
sp|Q88C80|Q88C80_PSEPK Pp_5303,True,Q88C80
sp|Q88C81|Q88C81_PSEPK Spot,True,Q88C81
sp|Q88C82|RPOZ_PSEPK Rpoz,True,Q88C82
sp|Q88C83|Q88C83_PSEPK Pp_5300,True,Q88C83
sp|Q88C84|Q88C84_PSEPK Pp_5299,True,Q88C84
sp|Q88C87|KGUA_PSEPK Gmk,True,Q88C87
sp|Q88C88|Q88C88_PSEPK Pp_5295,True,Q88C88
sp|Q88C89|RNPH_PSEPK Rph,True,Q88C89
sp|Q88C90|Q88C90_PSEPK Pp_5293,True,Q88C90
sp|Q88C91|Q88C91_PSEPK Crc,True,Q88C91
sp|Q88C92|PYRE_PSEPK Pyre,True,Q88C92
sp|Q88C93|ALGC_PSEPK Algc,True,Q88C93
sp|Q88C95|DUT_PSEPK Dut,True,Q88C95
sp|Q88C96|Q88C96_PSEPK Coabc,True,Q88C96
sp|Q88C98|Q88C98_PSEPK Pp_5283,True,Q88C98
sp|Q88C99|RL28_PSEPK Rpmb,True,Q88C99
sp|Q88CA0|RL33_PSEPK Rpmg,True,Q88CA0
sp|Q88CA2|Q88CA2_PSEPK Pp_5279,True,Q88CA2
sp|Q88CA3|Q88CA3_PSEPK Pp_5278,True,Q88CA3
sp|Q88CA7,True,Q88CA7
sp|Q88CA8|Q88CA8_PSEPK Pp_5273,True,Q88CA8
sp|Q88CB0|Q88CB0_PSEPK Lrp,True,Q88CB0
sp|Q88CB1|DADA2_PSEPK Dada2,True,Q88CB1
sp|Q88CB3|Q88CB3_PSEPK Pp_5268,True,Q88CB3
sp|Q88CB4|Q88CB4_PSEPK Pp_5267,True,Q88CB4
sp|Q88CB6|XPT_PSEPK Xpt,True,Q88CB6
sp|Q88CB7|Q88CB7_PSEPK Rep,True,Q88CB7
sp|Q88CC2|Q88CC2_PSEPK Pp_5259,True,Q88CC2
sp|Q88CC9|Q88CC9_PSEPK Pp_5252,True,Q88CC9
sp|Q88CD2|Q88CD2_PSEPK Pp_5249,True,Q88CD2
sp|Q88CD3|Q88CD3_PSEPK Pp_5248,True,Q88CD3
sp|Q88CD5,True,Q88CD5
sp|Q88CD9,True,Q88CD9
sp|Q88CE6|Q88CE6_PSEPK Pp_5235,True,Q88CE6
sp|Q88CE7|Q88CE7_PSEPK Pp_5234,True,Q88CE7
sp|Q88CE8|Q88CE8_PSEPK Amtb,True,Q88CE8
sp|Q88CE9|Q88CE9_PSEPK Pp_5232,True,Q88CE9
sp|Q88CF0|Q88CF0_PSEPK Pp_5231,True,Q88CF0
sp|Q88CF2|Q88CF2_PSEPK Pp_5229,True,Q88CF2
sp|Q88CF3|DAPF_PSEPK Dapf,True,Q88CF3
sp|Q88CF4|Q88CF4_PSEPK Lysa-2,True,Q88CF4
sp|Q88CF5|Q88CF5_PSEPK Pp_5226,True,Q88CF5
sp|Q88CF6|CYAY_PSEPK Cyay,True,Q88CF6
sp|Q88CF8|Q88CF8_PSEPK Rnk,True,Q88CF8
sp|Q88CF9|Q88CF9_PSEPK Cyaa,True,Q88CF9
sp|Q88CG0|Y5221_PSEPK Pp_5221,True,Q88CG0
sp|Q88CG1|Q88CG1_PSEPK Elbb,True,Q88CG1
sp|Q88CG3,True,Q88CG3
sp|Q88CG4|PPK_PSEPK Ppk,True,Q88CG4
sp|Q88CG5|Q88CG5_PSEPK Ppx,True,Q88CG5
sp|Q88CG6|Q88CG6_PSEPK Trx-2,True,Q88CG6
sp|Q88CG7|Q88CG7_PSEPK Rho,True,Q88CG7
sp|Q88CG8|UBID_PSEPK Ubid,True,Q88CG8
sp|Q88CG9|Q88CG9_PSEPK Pp_5212,True,Q88CG9
sp|Q88CH1|Q88CH1_PSEPK Pp_5210,True,Q88CH1
sp|Q88CH2|Q88CH2_PSEPK Pp_5209,True,Q88CH2
sp|Q88CH3|Q88CH3_PSEPK Pp_5208,True,Q88CH3
sp|Q88CH4|Q88CH4_PSEPK Pp_5207,True,Q88CH4
sp|Q88CH5|Q88CH5_PSEPK Pp_5206,True,Q88CH5
sp|Q88CH6|Q88CH6_PSEPK Pp_5205,True,Q88CH6
sp|Q88CH8|Q88CH8_PSEPK Pp_5203,True,Q88CH8
sp|Q88CH9|Q88CH9_PSEPK Pp_5202,True,Q88CH9
sp|Q88CI0|Y5201_PSEPK Pp_5201,True,Q88CI0
sp|Q88CI1|Q88CI1_PSEPK Pepp,True,Q88CI1
sp|Q88CI2|Q88CI2_PSEPK Ubih,True,Q88CI2
sp|Q88CI3|Q88CI3_PSEPK Pp_5198,True,Q88CI3
sp|Q88CI4|Q88CI4_PSEPK Ubif,True,Q88CI4
sp|Q88CI5|Q88CI5_PSEPK Pp_5196,True,Q88CI5
sp|Q88CI7|GCST_PSEPK Gcvt,True,Q88CI7
sp|Q88CI8|GCSH2_PSEPK Gcvh2,True,Q88CI8
sp|Q88CI9|GCSP2_PSEPK Gcvp2,True,Q88CI9
sp|Q88CJ4|Q88CJ4_PSEPK Pp_5187,True,Q88CJ4
sp|Q88CJ5|Q88CJ5_PSEPK Arge,True,Q88CJ5
sp|Q88CJ6|Q88CJ6_PSEPK Pp_5184,True,Q88CJ6
sp|Q88CJ7|Q88CJ7_PSEPK Pp_5183,True,Q88CJ7
sp|Q88CJ8|Q88CJ8_PSEPK Pp_5182,True,Q88CJ8
sp|Q88CJ9|Q88CJ9_PSEPK Potf-2,True,Q88CJ9
sp|Q88CK0|Q88CK0_PSEPK Potf-1,True,Q88CK0
sp|Q88CK1|Q88CK1_PSEPK Potg,True,Q88CK1
sp|Q88CK2|Q88CK2_PSEPK Poth,True,Q88CK2
sp|Q88CK3|Q88CK3_PSEPK Poti,True,Q88CK3
sp|Q88CK5|Q88CK5_PSEPK Pp_5175,True,Q88CK5
sp|Q88CK6|Q88CK6_PSEPK Pp_5174,True,Q88CK6
sp|Q88CK7|Q88CK7_PSEPK Pp_5173,True,Q88CK7
sp|Q88CK9|Q88CK9_PSEPK Cysp,True,Q88CK9
sp|Q88CL0|Q88CL0_PSEPK Cyst,True,Q88CL0
sp|Q88CL1|Q88CL1_PSEPK Cysw,True,Q88CL1
sp|Q88CL2|CYSA_PSEPK Cysa,True,Q88CL2
sp|Q88CL4|Q88CL4_PSEPK Pp_5166,True,Q88CL4
sp|Q88CL5|Q88CL5_PSEPK Pp_5165,True,Q88CL5
sp|Q88CL6|Q88CL6_PSEPK Pp_5164,True,Q88CL6
sp|Q88CL7|Q88CL7_PSEPK Pp_5163,True,Q88CL7
sp|Q88CM0|Q88CM0_PSEPK Pp_5160,True,Q88CM0
sp|Q88CM3|Q88CM3_PSEPK Pp_5157,True,Q88CM3
sp|Q88CM4|Q88CM4_PSEPK Pp_5156,True,Q88CM4
sp|Q88CM5|Q88CM5_PSEPK Sera,True,Q88CM5
sp|Q88CM6|Q88CM6_PSEPK Pp_5154,True,Q88CM6
sp|Q88CM7|Q88CM7_PSEPK Pp_5153,True,Q88CM7
sp|Q88CM8|Q88CM8_PSEPK Pp_5152,True,Q88CM8
sp|Q88CN0|RPIA_PSEPK Rpia,True,Q88CN0
sp|Q88CN1|Q88CN1_PSEPK Ilva-2,True,Q88CN1
sp|Q88CN3|Q88CN3_PSEPK Pp_5147,True,Q88CN3
sp|Q88CN4|RPPH_PSEPK Rpph,True,Q88CN4
sp|Q88CN5|Q88CN5_PSEPK Ptsp,True,Q88CN5
sp|Q88CN6|Q88CN6_PSEPK Pp_5144,True,Q88CN6
sp|Q88CN8|LGT_PSEPK Lgt,True,Q88CN8
sp|Q88CN9|TYSY_PSEPK Thya,True,Q88CN9
sp|Q88CP1|Q88CP1_PSEPK Cada-2,True,Q88CP1
sp|Q88CP6|Q88CP6_PSEPK Pp_5134,True,Q88CP6
sp|Q88CP7|Q88CP7_PSEPK Pp_5133,True,Q88CP7
sp|Q88CP8|Q88CP8_PSEPK Fola,True,Q88CP8
sp|Q88CP9,True,Q88CP9
sp|Q88CQ2|ILVD_PSEPK Ilvd,True,Q88CQ2
sp|Q88CQ3|Q88CQ3_PSEPK Pp_5127,True,Q88CQ3
sp|Q88CQ4|Q88CQ4_PSEPK Pp_5126,True,Q88CQ4
sp|Q88CQ5|FPG_PSEPK Mutm,True,Q88CQ5
sp|Q88CQ7|COAD_PSEPK Coad,True,Q88CQ7
sp|Q88CR0|Q88CR0_PSEPK Pp_5120,True,Q88CR0
sp|Q88CR1|Q88CR1_PSEPK Pp_5119,True,Q88CR1
sp|Q88CR2|Q88CR2_PSEPK Pp_5118,True,Q88CR2
sp|Q88CR3,True,Q88CR3
sp|Q88CR6|Q88CR6_PSEPK Pp_5114,True,Q88CR6
sp|Q88CR7|Q88CR7_PSEPK Pp_5113,True,Q88CR7
sp|Q88CR8|Q88CR8_PSEPK Pp_5112,True,Q88CR8
sp|Q88CR9|Q88CR9_PSEPK Ftsy,True,Q88CR9
sp|Q88CS0|Q88CS0_PSEPK Ftse,True,Q88CS0
sp|Q88CS1|Q88CS1_PSEPK Ftsx,True,Q88CS1
sp|Q88CS3,True,Q88CS3
sp|Q88CS5|Q88CS5_PSEPK Pp_5105,True,Q88CS5
sp|Q88CS6|THIG_PSEPK Thig,True,Q88CS6
sp|Q88CS7|TRMB_PSEPK Trmb,True,Q88CS7
sp|Q88CS9|Q88CS9_PSEPK Pp_5101,True,Q88CS9
sp|Q88CT0|NTPA_PSEPK Pp_5100,True,Q88CT0
sp|Q88CT1|Q88CT1_PSEPK Pp_5099,True,Q88CT1
sp|Q88CT2|Q88CT2_PSEPK Metw,True,Q88CT2
sp|Q88CT3|METX_PSEPK Metx,True,Q88CT3
sp|Q88CT4|Q88CT4_PSEPK Pp_5096,True,Q88CT4
sp|Q88CT5|Q88CT5_PSEPK Proc-2,True,Q88CT5
sp|Q88CT6|Q88CT6_PSEPK Pp_5094,True,Q88CT6
sp|Q88CT9,True,Q88CT9
sp|Q88CU0|Q88CU0_PSEPK Pp_5090,True,Q88CU0
sp|Q88CU1|SYR_PSEPK Args,True,Q88CU1
sp|Q88CU2|Q88CU2_PSEPK Pria,True,Q88CU2
sp|Q88CU3|RL31_PSEPK Rpme,True,Q88CU3
sp|Q88CU5|Q88CU5_PSEPK Maeb,True,Q88CU5
sp|Q88CU6|Q88CU6_PSEPK Pp_5084,True,Q88CU6
sp|Q88CV1|AROK_PSEPK Arok,True,Q88CV1
sp|Q88CV2|AROB_PSEPK Arob,True,Q88CV2
sp|Q88CV3|Q88CV3_PSEPK Pp_5077,True,Q88CV3
sp|Q88CV4|Q88CV4_PSEPK Gltb,True,Q88CV4
sp|Q88CV5|Q88CV5_PSEPK Gltd,True,Q88CV5
sp|Q88CV6|DCUP_PSEPK Heme,True,Q88CV6
sp|Q88CW0|Q88CW0_PSEPK Pp_5070,True,Q88CW0
sp|Q88CW1|Q88CW1_PSEPK Trxc,True,Q88CW1
sp|Q88CW2|Y5068_PSEPK Pp_5068,True,Q88CW2
sp|Q88CW3|Q88CW3_PSEPK Pp_5067,True,Q88CW3
sp|Q88CW4|NHAP2_PSEPK Nhap2,True,Q88CW4
sp|Q88CW6|BETA_PSEPK Beta,True,Q88CW6
sp|Q88CW7|BETB_PSEPK Betb,True,Q88CW7
sp|Q88CX1,True,Q88CX1
sp|Q88CX2|Q88CX2_PSEPK Pp_5058,True,Q88CX2
sp|Q88CX3|Q88CX3_PSEPK Pp_5057,True,Q88CX3
sp|Q88CX4|GPMI_PSEPK Gpmi,True,Q88CX4
sp|Q88CX5|Q88CX5_PSEPK Pp_5055,True,Q88CX5
sp|Q88CX6|Q88CX6_PSEPK Pp_5054,True,Q88CX6
sp|Q88CX7|SECB_PSEPK Secb,True,Q88CX7
sp|Q88CX8|Q88CX8_PSEPK Trml,True,Q88CX8
sp|Q88CY1|Q88CY1_PSEPK Ntrc,True,Q88CY1
sp|Q88CY2|Q88CY2_PSEPK Ntrb,True,Q88CY2
sp|Q88CY3|Q88CY3_PSEPK Glna,True,Q88CY3
sp|Q88CY4|THII_PSEPK Thii,True,Q88CY4
sp|Q88CY5|Q88CY5_PSEPK Pp_5044,True,Q88CY5
sp|Q88CY8|Q88CY8_PSEPK Glgp,True,Q88CY8
sp|Q88CY9|F16PA_PSEPK Fbp,True,Q88CY9
sp|Q88CZ0|Q88CZ0_PSEPK Pp_5039,True,Q88CZ0
sp|Q88CZ1|Q88CZ1_PSEPK PP_5038,True,Q88CZ1
sp|Q88CZ2|Q88CZ2_PSEPK Pp_5037,True,Q88CZ2
sp|Q88CZ4|Q88CZ4_PSEPK Hutc,True,Q88CZ4
sp|Q88CZ5|Q88CZ5_PSEPK Pp_5034,True,Q88CZ5
sp|Q88CZ7|HUTH_PSEPK Huth,True,Q88CZ7
sp|Q88CZ9|HUTI_PSEPK Huti,True,Q88CZ9
sp|Q88D00|Q88D00_PSEPK Hutg,True,Q88D00
sp|Q88D01|Q88D01_PSEPK Pip,True,Q88D01
sp|Q88D03|OPGG_PSEPK Opgg,True,Q88D03
sp|Q88D04|OPGH_PSEPK Opgh,True,Q88D04
sp|Q88D05|Q88D05_PSEPK Pp_5024,True,Q88D05
sp|Q88D06|Q88D06_PSEPK Pp_5023,True,Q88D06
sp|Q88D07|Q88D07_PSEPK Pp_5022,True,Q88D07
sp|Q88D09|Q88D09_PSEPK Pp_5020,True,Q88D09
sp|Q88D10|Q88D10_PSEPK Pp_5019,True,Q88D10
sp|Q88D12|Q88D12_PSEPK Tatb,True,Q88D12
sp|Q88D13|Q88D13_PSEPK Tata-2,True,Q88D13
sp|Q88D14|HIS2_PSEPK Hise,True,Q88D14
sp|Q88D15|HIS3_PSEPK Hisi,True,Q88D15
sp|Q88D16|Q88D16_PSEPK Pp_5012,True,Q88D16
sp|Q88D17|UBIE_PSEPK Ubie,True,Q88D17
sp|Q88D18|Q88D18_PSEPK Pp_5010,True,Q88D18
sp|Q88D20|Q88D20_PSEPK Pp_5008,True,Q88D20
sp|Q88D21|Q88D21_PSEPK Pp_5007,True,Q88D21
sp|Q88D26|Q88D26_PSEPK Pp_5002,True,Q88D26
sp|Q88D27|HSLU_PSEPK,True,Q88D27
sp|Q88D28|HSLV_PSEPK Hslv,True,Q88D28
sp|Q88D29|Q88D29_PSEPK Pyrc,True,Q88D29
sp|Q88D30|PYRB_PSEPK Pyrb,True,Q88D30
sp|Q88D31|Q88D31_PSEPK Pyrr,True,Q88D31
sp|Q88D32|YQGF_PSEPK Pp_4996,True,Q88D32
sp|Q88D33|Y4995_PSEPK Pp_4995,True,Q88D33
sp|Q88D34|Q88D34_PSEPK Pp_4994,True,Q88D34
sp|Q88D35|GSHB_PSEPK Gshb,True,Q88D35
sp|Q88D36|Q88D36_PSEPK Pilg,True,Q88D36
sp|Q88D37|Q88D37_PSEPK Pilh,True,Q88D37
sp|Q88D38|Q88D38_PSEPK Pili,True,Q88D38
sp|Q88D39|Q88D39_PSEPK Pilj,True,Q88D39
sp|Q88D40|Q88D40_PSEPK Pp_4988,True,Q88D40
sp|Q88D41|Q88D41_PSEPK Pp_4987,True,Q88D41
sp|Q88D43|Q88D43_PSEPK Pp_4985,True,Q88D43
sp|Q88D44|Q88D44_PSEPK Bioa,True,Q88D44
sp|Q88D45|Q88D45_PSEPK Pp_4983,True,Q88D45
sp|Q88D47|Y4981_PSEPK Pp_4981,True,Q88D47
sp|Q88D48|Q88D48_PSEPK Rhle,True,Q88D48
sp|Q88D51|Q88D51_PSEPK Metf,True,Q88D51
sp|Q88D52|Q88D52_PSEPK Pp_4975,True,Q88D52
sp|Q88D53|Q88D53_PSEPK Pp_4974,True,Q88D53
sp|Q88D55|Q88D55_PSEPK Pp_4972,True,Q88D55
sp|Q88D56|Q88D56_PSEPK Pp_4971,True,Q88D56
sp|Q88D57,True,Q88D57
sp|Q88D58|Q88D58_PSEPK Pp_4969,True,Q88D58
sp|Q88D60|METK_PSEPK Metk,True,Q88D60
sp|Q88D61|Q88D61_PSEPK Pp_4966,True,Q88D61
sp|Q88D62|Q88D62_PSEPK Tkta,True,Q88D62
sp|Q88D63|Q88D63_PSEPK Epd,True,Q88D63
sp|Q88D64|PGK_PSEPK Pgk,True,Q88D64
sp|Q88D66|Q88D66_PSEPK Pp_4961,True,Q88D66
sp|Q88D67|Q88D67_PSEPK Fda,True,Q88D67
sp|Q88D68|Q88D68_PSEPK Pp_4959,True,Q88D68
sp|Q88D70|Q88D70_PSEPK Pp_4957,True,Q88D70
sp|Q88D73|Q88D73_PSEPK Pp_4954,True,Q88D73
sp|Q88D74|Q88D74_PSEPK PP_4953,True,Q88D74
sp|Q88D75|Q88D75_PSEPK Dbpa,True,Q88D75
sp|Q88D77|Q88D77_PSEPK Pp_4950,True,Q88D77
sp|Q88D78|Q88D78_PSEPK Pp_4949,True,Q88D78
sp|Q88D80|Q88D80_PSEPK Puta,True,Q88D80
sp|Q88D81|Q88D81_PSEPK Putp,True,Q88D81
sp|Q88D82|Q88D82_PSEPK Rlmj,True,Q88D82
sp|Q88D83|Q88D83_PSEPK Pp_4944,True,Q88D83
sp|Q88D84|Q88D84_PSEPK Pp_4943,True,Q88D84
sp|Q88D85|Q88D85_PSEPK Pp_4942,True,Q88D85
sp|Q88D86|Q88D86_PSEPK Pp_4941,True,Q88D86
sp|Q88D87|Q88D87_PSEPK Pp_4940,True,Q88D87
sp|Q88D88|Q88D88_PSEPK Pp_4939,True,Q88D88
sp|Q88D89|Q88D89_PSEPK Pp_4938,True,Q88D89
sp|Q88D90|Q88D90_PSEPK Pp_4937,True,Q88D90
sp|Q88D92|MSBA_PSEPK Msba,True,Q88D92
sp|Q88D93|HLDE_PSEPK Hlde,True,Q88D93
