orig,has_6letter_substring,extracted,locus,primary_name,organism,is_putida
sp|Q88BW9|ATPL_PSEPK Atpe,True,Q88BW9,PP_5418,atpE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BX0|ATPF_PSEPK Atpf,True,Q88BX0,PP_5417,atpF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BX1|ATPD_PSEPK Atph,True,Q88BX1,PP_5416,atpH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BX2|ATPA_PSEPK Atpa,True,Q88BX2,PP_5415,atpA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BX3|ATPG_PSEPK Atpg,True,Q88BX3,PP_5414,atpG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BX4|ATPB_PSEPK,True,Q88BX4,PP_5413,atpD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BX5|ATPE_PSEPK Atpc,True,Q88BX5,PP_5412,atpC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BX6|GLMU_PSEPK Glmu,True,Q88BX6,PP_5411,glmU,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BX7,True,Q88BX7,PP_5410,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BX8|GLMS_PSEPK Glms,True,Q88BX8,PP_5409,glmS,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BY6|Q88BY6_PSEPK Pp_5401,True,Q88BY6,PP_5401,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BY7|Q88BY7_PSEPK Pp_5400,True,Q88BY7,PP_5400,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BY9|Q88BY9_PSEPK Pp_5395,True,Q88BY9,PP_5395,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BZ1|Q88BZ1_PSEPK Pp_5392,True,Q88BZ1,PP_5392,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BZ2|Q88BZ2_PSEPK Pp_5391,True,Q88BZ2,PP_5391,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BZ3|Q88BZ3_PSEPK Pp_5390,True,Q88BZ3,PP_5390,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BZ4|Q88BZ4_PSEPK Pp_5389,True,Q88BZ4,PP_5389,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BZ5|Q88BZ5_PSEPK Pp_5388,True,Q88BZ5,PP_5388,cusF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88BZ6|Q88BZ6_PSEPK Pp_5387,True,Q88BZ6,PP_5387,cusA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C00|Q88C00_PSEPK Copr,True,Q88C00,PP_5383,copR-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
sp|Q88C03|Q88C03_PSEPK Copa,True,Q88C03,PP_5380,copA-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),True
