original,extracted,locus,primary_name,organism,is_putida
sp|Q88K69|Q88K69_PSEPK Pp_2422,Q88K69,PP_2422,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88K70|Q88K70_PSEPK Pp_2421,Q88K70,PP_2421,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88K73|Q88K73_PSEPK Pp_2418,Q88K73,PP_2418,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88K84,Q88K84,PP_2407,aroQ2,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88K85|Q88K85_PSEPK Aroe,Q88K85,PP_2406,aroE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88K95|Q88K95_PSEPK Pp_2396,Q88K95,PP_2396,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88K98|Q88K98_PSEPK Polb,Q88K98,PP_2393,polB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KA3|Q88KA3_PSEPK Pp_2387,Q88KA3,PP_2387,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KA7,Q88KA7,PP_2383,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KA9|Q88KA9_PSEPK Pp_2381,Q88KA9,PP_2381,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KB0|Q88KB0_PSEPK Pp_2380,Q88KB0,PP_2380,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KB1|Q88KB1_PSEPK Pp_2379,Q88KB1,PP_2379,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KB2|NFUA_PSEPK Nfua,Q88KB2,PP_2378,nfuA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KB4|Q88KB4_PSEPK Cti,Q88KB4,PP_2376,cti,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KB5|Q88KB5_PSEPK Meth,Q88KB5,PP_2375,metH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KB9|Q88KB9_PSEPK Cysi,Q88KB9,PP_2371,cysI,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KC0|Q88KC0_PSEPK Pp_2370,Q88KC0,PP_2370,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KC1|Q88KC1_PSEPK Pp_2369,Q88KC1,PP_2369,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KC2|Q88KC2_PSEPK Pp_2368,Q88KC2,PP_2368,dkgB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KC6|Q88KC6_PSEPK Pp_2364,Q88KC6,PP_2364,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KC9|Q88KC9_PSEPK Csuc,Q88KC9,PP_2361,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KD1|Q88KD1_PSEPK Pp_2359,Q88KD1,PP_2359,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KD4|Q88KD4_PSEPK Pp_2356,Q88KD4,PP_2356,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KD5|Q88KD5_PSEPK Pp_2355,Q88KD5,PP_2355,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KD6|Q88KD6_PSEPK Pp_2354,Q88KD6,PP_2354,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KE1,Q88KE1,PP_2349,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KE3|Q88KE3_PSEPK Pp_2347,Q88KE3,PP_2347,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KE4,Q88KE4,PP_2346,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KE5|Q88KE5_PSEPK Pp_2345,Q88KE5,PP_2345,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KE6|Q88KE6_PSEPK Pp_2344,Q88KE6,PP_2344,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KE7|Q88KE7_PSEPK Pp_2343,Q88KE7,PP_2343,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KE9|Q88KE9_PSEPK Pp_2341,Q88KE9,PP_2341,queD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KF0|Q88KF0_PSEPK Pp_2340,Q88KF0,PP_2340,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KF1|Q88KF1_PSEPK Acnb,Q88KF1,PP_2339,acnB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KF2|Q88KF2_PSEPK Prpd,Q88KF2,PP_2338,prpD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KF3|Q88KF3_PSEPK Pp_2337,Q88KF3,PP_2337,prpF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KF4|Q88KF4_PSEPK Pp_2336,Q88KF4,PP_2336,acnA-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KF5|Q88KF5_PSEPK Pp_2335,Q88KF5,PP_2335,prpC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KF6|Q88KF6_PSEPK Prpb,Q88KF6,PP_2334,prpB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KF7|Q88KF7_PSEPK Pp_2333,Q88KF7,PP_2333,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KF8|Q88KF8_PSEPK Pp_2332,Q88KF8,PP_2332,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KF9|Q88KF9_PSEPK Pp_2331,Q88KF9,PP_2331,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KG0|Q88KG0_PSEPK Pp_2330,Q88KG0,PP_2330,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KG2|Q88KG2_PSEPK Cysh,Q88KG2,PP_2328,cysH,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KG3|Q88KG3_PSEPK Cysb,Q88KG3,PP_2327,cysB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KG4|Q88KG4_PSEPK Pp_2326,Q88KG4,PP_2326,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KG5|Q88KG5_PSEPK Pp_2325,Q88KG5,PP_2325,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KG6|Q88KG6_PSEPK Arof-1,Q88KG6,PP_2324,aroF-I,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KG7|Q88KG7_PSEPK Pp_2323,Q88KG7,PP_2323,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KH0|Q88KH0_PSEPK Pp_2320,Q88KH0,PP_2320,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KH2|Q88KH2_PSEPK Pp_2318,Q88KH2,PP_2318,tesA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KH3|Q88KH3_PSEPK Pp_2317,Q88KH3,PP_2317,ybbA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KH4|Q88KH4_PSEPK Pp_2316,Q88KH4,PP_2316,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KH5|GREB_PSEPK Greb,Q88KH5,PP_2315,greB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KH6|Q88KH6_PSEPK Pp_2314,Q88KH6,PP_2314,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KH9|Q88KH9_PSEPK Pp_2311,Q88KH9,PP_2311,tatD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KI0|Q88KI0_PSEPK Pp_2310,Q88KI0,PP_2310,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KI1|Q88KI1_PSEPK Pp_2309,Q88KI1,PP_2309,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KI2|Q88KI2_PSEPK Pp_2308,Q88KI2,PP_2308,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KI3|Q88KI3_PSEPK Pp_2307,Q88KI3,PP_2307,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KI4|Q88KI4_PSEPK Pp_2306,Q88KI4,PP_2306,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KI5|Q88KI5_PSEPK Pp_2305,Q88KI5,PP_2305,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KI6|Q88KI6_PSEPK Pp_2304,Q88KI6,PP_2304,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KI8|Q88KI8_PSEPK Lon-2,Q88KI8,PP_2302,lon-II,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KI9|CLPX_PSEPK Clpx,Q88KI9,PP_2301,clpX,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KJ0|CLPP_PSEPK Clpp,Q88KJ0,PP_2300,clpP,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KJ1|TIG_PSEPK Tig,Q88KJ1,PP_2299,tig,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KJ2|Q88KJ2_PSEPK Pp_2298,Q88KJ2,PP_2298,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KJ4|Q88KJ4_PSEPK Pp_2296,Q88KJ4,PP_2296,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KJ6|Q88KJ6_PSEPK Pp_2294,Q88KJ6,PP_2294,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KJ8|Q88KJ8_PSEPK Pp_2292,Q88KJ8,PP_2292,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KK6|Q88KK6_PSEPK Pp_2284,Q88KK6,PP_2284,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KL3|Q88KL3_PSEPK Pp_2277,Q88KL3,PP_2277,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KM5|FOLD2_PSEPK Fold2,Q88KM5,PP_2265,folD2,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KM6|Q88KM6_PSEPK Pp_2264,Q88KM6,PP_2264,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KN2|Q88KN2_PSEPK Pp_2258,Q88KN2,PP_2258,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KN3|Q88KN3_PSEPK Aer-1,Q88KN3,PP_2257,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KN5|Q88KN5_PSEPK Pp_2255,Q88KN5,PP_2255,dctA-III,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KN6|Q88KN6_PSEPK Pp_2254,Q88KN6,PP_2254,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KN9,Q88KN9,PP_2251,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KP1|Q88KP1_PSEPK Pp_2249,Q88KP1,PP_2249,mcpA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KP3|Q88KP3_PSEPK Pp_2247,Q88KP3,PP_2247,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KQ0|Q88KQ0_PSEPK Pp_2240,Q88KQ0,PP_2240,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KQ2|Q88KQ2_PSEPK Pp_2238,Q88KQ2,PP_2238,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KQ7|Q88KQ7_PSEPK Pp_2233,Q88KQ7,PP_2233,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KQ8|Q88KQ8_PSEPK Pp_2232,Q88KQ8,PP_2232,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KQ9,Q88KQ9,PP_2231,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KR0|Q88KR0_PSEPK Pp_2230,Q88KR0,PP_2230,mrpAB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KR2|Q88KR2_PSEPK Pp_2228,Q88KR2,PP_2228,mrpD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KR3|Q88KR3_PSEPK Pp_2227,Q88KR3,PP_2227,mrpE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KR5|Q88KR5_PSEPK Pp_2225,Q88KR5,PP_2225,mrpG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KR7|Q88KR7_PSEPK Pp_2223,Q88KR7,PP_2223,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KS0,Q88KS0,PP_2220,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KS2|Q88KS2_PSEPK Fadb1x,Q88KS2,PP_2217,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KS3|Q88KS3_PSEPK Pp_2216,Q88KS3,PP_2216,acd,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KS4|Q88KS4_PSEPK Fadax,Q88KS4,PP_2215,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KS5|Q88KS5_PSEPK Fadb2x,Q88KS5,PP_2214,fadBA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KS6|Q88KS6_PSEPK Faddx,Q88KS6,PP_2213,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KT0|PHNW_PSEPK Phnw,Q88KT0,PP_2209,phnW,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KT1|PHNX_PSEPK Phnx,Q88KT1,PP_2208,phnX,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KT3|Q88KT3_PSEPK Pp_2206,Q88KT3,PP_2206,yegQ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KT8|Q88KT8_PSEPK Pp_2201,Q88KT8,PP_2201,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KU1|Q88KU1_PSEPK Pp_2198,Q88KU1,PP_2198,yliI,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KU2|Q88KU2_PSEPK Pp_2197,Q88KU2,PP_2197,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KU3|Q88KU3_PSEPK Speb,Q88KU3,PP_2196,speB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KU8|Q88KU8_PSEPK Pp_2191,Q88KU8,PP_2191,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KV0|Q88KV0_PSEPK Pp_2189,Q88KV0,PP_2189,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KV2|Q88KV2_PSEPK Pp_2187,Q88KV2,PP_2187,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KV7|Q88KV7_PSEPK Pp_2182,Q88KV7,PP_2182,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KV8|Q88KV8_PSEPK Pp_2181,Q88KV8,PP_2181,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KW3,Q88KW3,PP_2176,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KW7,Q88KW7,PP_2172,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KX0|DUSA_PSEPK Dusa,Q88KX0,PP_2169,dusA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KX1|TAL_PSEPK Tal,Q88KX1,PP_2168,tal,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KX3|Q88KX3_PSEPK Pp_2166,Q88KX3,PP_2166,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KX4|Q88KX4_PSEPK Pp_2165,Q88KX4,PP_2165,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KX5|Q88KX5_PSEPK Pp_2164,Q88KX5,PP_2164,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KX6|Q88KX6_PSEPK Vacj,Q88KX6,PP_2163,vacJ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KX8|Q88KX8_PSEPK Pp_2161,Q88KX8,PP_2161,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KX9|QUEF_PSEPK Quef,Q88KX9,PP_2160,queF,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KY3|Q88KY3_PSEPK Lole,Q88KY3,PP_2156,lolE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KY4|LOLD_PSEPK Lold,Q88KY4,PP_2155,lolD,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KY5|Q88KY5_PSEPK Lolc,Q88KY5,PP_2154,lolC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KY6|Q88KY6_PSEPK Pp_2153,Q88KY6,PP_2153,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KY7|Q88KY7_PSEPK Pp_2152,Q88KY7,PP_2152,ugpQ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KY8|STHA_PSEPK Stha,Q88KY8,PP_2151,sthA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KZ0|Q88KZ0_PSEPK Gap-2,Q88KZ0,PP_2149,gapB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KZ1|Q88KZ1_PSEPK Mfd,Q88KZ1,PP_2148,mfd,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KZ2|Q88KZ2_PSEPK Pp_2147,Q88KZ2,PP_2147,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KZ3|Q88KZ3_PSEPK Pp_2146,Q88KZ3,PP_2146,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KZ4|Q88KZ4_PSEPK Nagz,Q88KZ4,PP_2145,nagZ,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KZ5|Q88KZ5_PSEPK Pp_2144,Q88KZ5,PP_2144,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KZ7|Q88KZ7_PSEPK Pp_2141,Q88KZ7,PP_2141,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KZ8|Q88KZ8_PSEPK Pp_2140,Q88KZ8,PP_2140,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88KZ9|Q88KZ9_PSEPK Topa,Q88KZ9,PP_2139,topA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88L00|Q88L00_PSEPK Pp_2138,Q88L00,PP_2138,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88L01|FADA_PSEPK Fada,Q88L01,PP_2137,fadA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88L02|FADB_PSEPK Fadb,Q88L02,PP_2136,fadB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88L04|Q88L04_PSEPK Pp_2133,Q88L04,PP_2133,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
