original,extracted,locus,primary_name,organism,is_putida
sp|Q88C42|Q88C42_PSEPK Pp_5341,Q88C42,PP_5341,potF-IV,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C43|Q88C43_PSEPK Pp_5340,Q88C43,PP_5340,aphA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C45|Q88C45_PSEPK Aspa,Q88C45,PP_5338,aspA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C46|Q88C46_PSEPK Pp_5337,Q88C46,PP_5337,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C47|Q88C47_PSEPK Pure,Q88C47,PP_5336,purE,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C48|Q88C48_PSEPK Purk,Q88C48,PP_5335,purK,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C51|Q88C51_PSEPK Pp_5332,Q88C51,PP_5332,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C52|Q88C52_PSEPK Pp_5331,Q88C52,PP_5331,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C53|Q88C53_PSEPK Pp_5330,Q88C53,PP_5330,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C54|Q88C54_PSEPK Psts,Q88C54,PP_5329,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C55|Q88C55_PSEPK Pstc,Q88C55,PP_5328,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C57|PSTB2_PSEPK Pstb2,Q88C57,PP_5326,pstB2,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C58|Q88C58_PSEPK Phou,Q88C58,PP_5325,phoU,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C59|Q88C59_PSEPK Pp_5324,Q88C59,PP_5324,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C61|Q88C61_PSEPK Pp_5322,Q88C61,PP_5322,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C62|Q88C62_PSEPK Phor,Q88C62,PP_5321,phoR,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C63|Q88C63_PSEPK Phob,Q88C63,PP_5320,phoB,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C64|Q88C64_PSEPK Pp_5319,Q88C64,PP_5319,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C66|UBIC_PSEPK Ubic,Q88C66,PP_5317,ubiC,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C69|Q88C69_PSEPK Rubb,Q88C69,PP_5314,alkT,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C70|Q88C70_PSEPK Hupa,Q88C70,PP_5313,hupA,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C72|Q88C72_PSEPK Pp_5311,Q88C72,PP_5311,,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
sp|Q88C73|Q88C73_PSEPK Recg,Q88C73,PP_5310,recG,Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440),TRUE
