Protein.Group,PP_5419_log2_FC,PP_5419_log10_pval,PP_1240_log2_FC,PP_1240_log10_pval,PP_1770_log2_FC,PP_1770_log10_pval
PP_0671,0.2479438107425122,1.5378072384705208,-0.16343478488546678,2.311745675961158,,
PP_0680,0.21143756550089568,5.8322032170652385,0.5951625970404398,2.714239743826102,,
PP_0684,-0.38657659962459484,6.313033753942886,-0.9026916762781256,2.287991615815321,,
PP_0687,-1.0307349518425273,3.8336439655459427,-1.9618926257923286,3.743138733634182,,
PP_0688,-0.8975292516464684,5.029227779583525,-1.139204168094457,9.033521567043467,,
PP_0689,-0.6546858232206051,6.006131442215724,-1.3181354514929007,5.897759526104652,,
PP_0690,-0.4453210074620573,7.055504618225039,-0.7472017412793217,3.8827976859928905,0.5104491922904205,2.2099448684050564
PP_0691,0.5242590576124514,2.058520126243865,,,,
PP_0692,0.9467748517675219,1.55338355769672,1.0635636450389774,1.4144591737534133,,
PP_0711,4.8892502444866865,1.734004499182017,5.768097564623194,2.617403809468277,,
PP_0712,1.3289146563869716,5.22296732492426,0.6547854932440494,2.635260624520261,,
PP_0719,-0.1905742296787623,1.4369019002591212,-0.41766312437623604,8.077726792119464,,
PP_0721,-0.886740743779352,12.389704002146113,-1.3528582797827484,12.90922957971521,,
PP_0722,-0.31833898025943713,2.011375935728696,-0.43947684451666297,8.074571678275506,0.4984580329466565,1.323564415327778
PP_0724,1.4109399253222263,4.044857415015924,1.2737116892082647,2.4784572432943586,,
PP_0725,0.9224516738593788,6.058816157883792,0.5257609484912562,1.8706111490030208,0.47777620674673715,1.52149460453489
PP_0749,1.024032363664978,8.699637691259818,,,0.4917800756921646,2.1716296795525865
PP_0751,0.4141245702628884,6.5233667117300005,,,1.0707739792509987,14.917543806862206
PP_0759,0.5790980894568345,4.038547618362314,0.7759142694093567,1.835632705355501,0.4268815300707666,4.1397537410208685
PP_0763,0.8623583817673213,11.198629836000503,0.9144223429837837,2.6336170339449643,,
PP_0765,1.4638636603154644,7.349769687786787,,,,
PP_0766,1.3471431088818686,2.5184529740346706,1.295908900071191,2.106757212214536,,
PP_0789,3.5847151491154454,3.3521939917879586,3.4437298781461148,3.5390159319379646,,
PP_0790,3.513089174364205,5.8583382527083225,3.390373525022821,5.7763051034420325,1.928690662935361,9.882728156308003
PP_0793,-0.43505814145198574,1.8499072173284423,-0.4624464383514449,2.4891624644273995,,
PP_0797,0.5345741570247591,2.363752468631632,,,,
PP_0812,-0.4068563363696373,3.6371051810647765,,,,
PP_0813,-0.290177099520361,2.189725745461126,-0.4744515102020726,2.996857698590908,,
PP_0824,1.257461632375835,2.813425034700362,1.4199449237383723,8.410545408111862,0.9138946867804484,4.817148775316498
PP_0834,0.2181689983839811,1.4840628017445912,0.4545015382540238,2.588579346130021,0.5707021652748093,1.507882018418101
PP_0835,0.22992820347182838,4.812565853811546,0.3457021723838915,2.6492887408317003,0.3473906750288693,1.5528835347543557
PP_0837,-0.4611566161479716,4.1798911828946155,,,,
PP_0849,-0.49913014887132845,1.7062390800857965,-0.7223246767238362,3.200925185387533,,
PP_0855,0.4771123717028255,6.042589835664654,,,,
