Box,No.,Stock No.,Plasmid No.,Description,Part ID,Gene,Plasmid No.,Stock No.
,146,IY2126,pIY1437,pJET-Carb-PP_4190,JBx_249455,PP_4190,pIY1437,IY2126
,147,IY2127,pIY1438,pJET-Carb-PP_0897,JBx_249457,PP_0897,pIY1438,IY2127
,148,IY2128,pIY1439,pJET-Carb-PP_0944,JBx_249459,PP_0944,pIY1439,IY2128
,149,IY2129,pIY1440,pJET-Carb-PP_1755,JBx_249461,PP_1755,pIY1440,IY2129
,150,IY2130,pIY1441,pJET-Carb-PP_0654,JBx_249463,PP_0654,pIY1441,IY2130
,151,IY2131,pIY1442,pJET-Carb-PP_0751,JBx_249465,PP_0751,pIY1442,IY2131
,152,IY2132,pIY1443,pJET-Carb-PP_2925,JBx_249467,PP_2925,pIY1443,IY2132
,153,IY2133,pIY1444,pJET-Carb-PP_1251,JBx_249469,PP_1251,pIY1444,IY2133
,154,IY2134,pIY1445,pJET-Carb-PP_2112,JBx_249471,PP_2112,pIY1445,IY2134
,155,IY2135,pIY1446,pJET-Carb-PP_2339,JBx_249473,PP_2339,pIY1446,IY2135
,156,IY2136,pIY1447,pJET-Carb-PP_4011,JBx_249475,PP_4011,pIY1447,IY2136
,157,IY2137,pIY1448,pJET-Carb-PP_4012,JBx_249477,PP_4012,pIY1448,IY2137
,158,IY2138,pIY1449,pJET-Carb-PP_4185,JBx_249479,PP_4185,pIY1449,IY2138
,159,IY2139,pIY1450,pJET-Carb-PP_4186,JBx_249481,PP_4186,pIY1450,IY2139
,160,IY2385,pIY1572,pJET-Carb-BFP,JBx_249483,,pIY1572,IY2385
,161,IY2386,pIY1573,pJET-Carb-PP_4960,JBx_249485,PP_4960,pIY1573,IY2386
,162,IY2387,pIY1574,pJET-Carb-PP_1791,JBx_249487,PP_1791,pIY1574,IY2387
BOX 3,163,IY2388,pIY1575,pJET-Carb-PP_2871,JBx_249489,PP_2871,pIY1575,IY2388
,164,IY2389,pIY1576,pJET-Carb-PP_3224,JBx_249491,PP_3224,pIY1576,IY2389
,165,IY2390,pIY1577,pJET-Carb-PP_4715,JBx_249493,PP_4715,pIY1577,IY2390
,166,IY2403,pIY1590,pJET-Carb-PP_0297,JBx_249495,PP_0297,pIY1590,IY2403
,167,IY2404,pIY1591,pJET-Carb-PP_0987,JBx_249497,PP_0987,pIY1591,IY2404
,168,IY2405,pIY1592,pJET-Carb-PP_2930,JBx_249499,PP_2930,pIY1592,IY2405
,169,IY2406,pIY1593,pJET-Carb-PP_3144,JBx_249501,PP_3144,pIY1593,IY2406
,170,IY2407,pIY1594,pJET-Carb-PP_3191,JBx_249503,PP_3191,pIY1594,IY2407
,171,IY2408,pIY1595,pJET-Carb-PP_3446,JBx_249505,PP_3446,pIY1595,IY2408
,172,IY2409,pIY1596,pJET-Carb-PP_5149,JBx_249507,PP_5149,pIY1596,IY2409
,173,IY2410,pIY1597,pJET-Carb-PP_0731,JBx_249509,PP_0731,pIY1597,IY2410
,174,IY2411,pIY1598,pJET-Carb-PP_3664,JBx_249511,PP_3664,pIY1598,IY2411
,175,IY2412,pIY1599,pJET-Carb-PP_4677,JBx_249513,PP_4677,pIY1599,IY2412
,176,IY2413,pIY1600,pJET-Carb-PP_0082,JBx_249515,PP_0082,pIY1600,IY2413
,177,IY2414,pIY1601,pJET-Carb-PP_0083,JBx_249517,PP_0083,pIY1601,IY2414
,178,IY2415,pIY1602,pJET-Carb-PP_0988,JBx_249519,PP_0988,pIY1602,IY2415
,179,IY2416,pIY1603,pJET-Carb-PP_5192,JBx_249521,PP_5192,pIY1603,IY2416
,180,IY2477,pIY1636,pJET-Carb-PP_0321,JBx_249523,PP_0321,pIY1636,IY2477
,181,IY2478,pIY1637,pJET-Carb-PP_1808,JBx_249525,PP_1808,pIY1637,IY2478
,182,IY2479,pIY1638,pJET-Carb-PP_4701,JBx_249527,PP_4701,pIY1638,IY2479
,183,IY2480,pIY1639,pJET-Carb-PP_1011,JBx_249529,PP_1011,pIY1639,IY2480
,184,IY2481,pIY1640,pJET-Carb-PP_1156,JBx_249531,PP_1156,pIY1640,IY2481
,185,IY2482,pIY1641,pJET-Carb-PP_2149,JBx_249533,PP_2149,pIY1641,IY2482
,186,IY2483,pIY1642,pJET-Carb-PP_4963,JBx_249535,PP_4963,pIY1642,IY2483
,187,IY2484,pIY1643,pJET-Carb-PP_5056,JBx_249537,PP_5056,pIY1643,IY2484
,188,IY2485,pIY1644,pJET-Carb-PP_1612,JBx_249539,PP_1612,pIY1644,IY2485
,189,IY2486,pIY1645,pJET-Carb-PP_1362,JBx_249541,PP_1362,pIY1645,IY2486
,190,IY2657,pIY1754,pJET-Carb-PP_5075,JBx_249543,PP_5075,pIY1754,IY2657
,191,IY2658,pIY1755,pJET-Carb-PP_5076,JBx_249545,PP_5076,pIY1755,IY2658
,192,IY2659,pIY1756,pJET-Carb-PP_0675,JBx_249547,PP_0675,pIY1756,IY2659
,193,IY2660,pIY1757,pJET-Carb-PP_2080,JBx_249549,PP_2080,pIY1757,IY2660
,194,IY2661,pIY1758,pJET-Carb-PP_5046_NT2,JBx_249551,PP_5046_NT2,pIY1758,IY2661
,195,IY2662,pIY1759,pJET-Carb-PP_3591,JBx_249553,PP_3591,pIY1759,IY2662
,196,IY2663,pIY1760,pJET-Carb-PP_2336,JBx_249555,PP_2336,pIY1760,IY2663
,197,IY2664,pIY1761,pJET-Carb-PP_2652,JBx_249557,PP_2652,pIY1761,IY2664
,198,IY2665,pIY1762,pJET-Carb-PP_3662,JBx_249559,PP_3662,pIY1762,IY2665
,199,IY2666,pIY1763,pJET-Carb-PP_4012_NT2,JBx_249561,PP_4012_NT2,pIY1763,IY2666
,200,IY2667,pIY1764,pJET-Carb-PP_0356,JBx_249563,PP_0356,pIY1764,IY2667
