Box,No.,Stock No.,Plasmid No.,Description,Part ID,Gene,Plasmid No.,Stock No.
,469,IY679,pIY542,pRK2-Kan-Ptrc-RFP (RBS2),JBx_250521,,,
,470,IY680,pIY543,pRK2-Kan-Ptrc-RFP (RBS4),JBx_250523,,,
,471,IY681,pIY544,pRK2-Kan-Ptrc-RFP (RBS5),JBx_250525,,,
,472,IY682,pIY545,pRK2-Kan-araC-ParaBAD-RFP (RBS1),JBx_250527,,,
,473,IY683,pIY546,pRK2-Kan-araC-ParaBAD-RFP (RBS2),JBx_250529,,,
,474,IY684,pIY547,pRK2-Kan-araC-ParaBAD-RFP (RBS4),JBx_250531,,,
,475,IY685,pIY548,pRK2-Kan-araC-ParaBAD-RFP (RBS5),JBx_250533,,,
,476,IY826,pIY636,pRK2-Gm-PJ23119-RFP,JBx_250535,,,
,477,IY827,pIY637,pRK2-Gm-PJ23100-RFP,JBx_250537,,,
,478,IY828,pIY638,pRK2-Gm-PJ23101-RFP,JBx_250539,,,
,479,IY829,pIY639,pRK2-Gm-PJ23102-RFP,JBx_250541,,,
,480,IY830,pIY640,pRK2-Gm-PJ23107-RFP,JBx_250543,,,
,481,IY831,pIY641,pRK2-Gm-PJ23104-RFP,JBx_250545,,,
,482,IY271,pIY258,pBBR1-B5-Kan-P3-BCD2-RFP,JBx_250547,,,
,483,IY272,pIY259,pRK2-Kan-P3-BCD2-RFP,JBx_250549,,,
,484,IY273,pIY260,pRSF1010-Kan-P3-BCD2-RFP,JBx_250551,,,
,485,IY274,pIY261,pBBR1-Kan-P3-BCD2-RFP,JBx_250553,,,
,486,IY275,pIY262,pRO1600-p15a-Kan-P3-BCD2-RFP,JBx_250555,,,
BOX 7,487,IY851,pIY656,pVS1-p15a-RepA-StaA-Gm-P3-BCD2-RFP,JBx_250557,,,
,488,IY691,pIY554,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ,JBx_250559,,,
,489,IY758,pIY602,pBBR1-B5-Kan-lacI-PlacUV5-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ,JBx_250561,,,
,490,IY759,pIY603,pRK2-Kan-lacI-PlacUV5-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ,JBx_250563,,,
,491,IY760,pIY604,pRSF1010-Kan-lacI-PlacUV5-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ,JBx_250565,,,
,492,IY761,pIY605,pBBR1-Kan-lacI-PlacUV5-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ,JBx_250567,,,
,493,IY886,pIY670,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ-AphA,JBx_250569,,,
,494,IY887,pIY671,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ-NudB,JBx_250571,,,
,495,IY888,pIY672,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ-AphA-NudB,JBx_250573,,,
,496,IY926,pIY697,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ-PhoA,JBx_250575,,,
,497,IY1043,pIY761,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-AtoB-TrpoH-Ptrc1-O-MKmm-PMDHKQ-AphA-NudB,JBx_250577,,,
,498,IY1044,pIY762,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-NphT7-TrpoH-Ptrc1-O-MKmm-PMDHKQ-AphA-NudB,JBx_250579,,,
,499,IY1045,pIY763,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-PMK-TrpoH-Ptrc1-O-MKmm-PMDHKQ-AphA-NudB,JBx_250581,,,
,500,IY1047,pIY765,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-PMK-AtoB-TrpoH-Ptrc1-O-MKmm-PMDHKQ-AphA-NudB,JBx_250583,,,
,501,IY1192,pIY853,pK18-PP_2675,JBx_250585,,,
,502,IY1343,pIY935,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ-AgBis-ispA-idi1,JBx_250587,,,
,503,IY1344,pIY936,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ-EizS-ispA-idi1,JBx_250589,,,
,504,IY1345,pIY937,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ-FS-ispA-idi1,JBx_250591,,,
,505,IY1425,pIY958,pRK2-Kan-araC-PBAD-MvaSef-MvaEef-TrpoH-Ptrc1-O-MKmm-PMDHKQ-LinS-idi1-AgGPPS2,JBx_250593,,,
,506,IY1449,,P. putida KT2440 ?phaABC ?mvaB ?hbdH ?ldhA ?PP_2675,JBx_250176,,,
,507,IY1475,,P. putida KT2440 ?phaABC ?mvaB ?hbdH ?ldhA ?gacA,JBx_250177,,,
,508,IY1476,,P. putida KT2440 ?phaABC ?mvaB ?hbdH ?ldhA ?PP_2675 ?gacA,JBx_250178,,,
,509,IY603,,P. putida KT2440 ?phaABC ?mvaB ?hbdH ?ldhA ,JBx_250179,,,
,510,IY2252,pIY1501,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1610_4188,JBx_250612,,,
,511,IY2253,pIY1502,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0654_4266,JBx_250614,,,
,512,IY2254,pIY1503,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4365_4679,JBx_250616,,,
,513,IY2255,pIY1504,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4185_4679,JBx_250618,,,
,514,IY2256,pIY1505,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0944_4185,JBx_250620,,,
,515,IY2257,pIY1506,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0104_0813,JBx_250622,,,
,516,IY2258,pIY1507,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0944_1755,JBx_250624,,,
,517,IY2260,pIY1509,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1755_4189,JBx_250626,,,
,518,IY2261,pIY1510,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1023_5419,JBx_250628,,,
,519,IY2262,pIY1511,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4189_5186,JBx_250630,,,
,520,IY2263,pIY1512,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0105_0813,JBx_250632,,,
,521,IY2264,pIY1513,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0814_4189,JBx_250634,,,
,522,IY2265,pIY1514,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_4679,JBx_250636,,,
,523,IY2266,pIY1515,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4043_4188,JBx_250638,,,
,524,IY2268,pIY1517,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0944_1610_1755,JBx_250640,,,
,525,IY2269,pIY1518,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0813_0814_5186,JBx_250642,,,
,526,IY2271,pIY1520,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1755_4189_4266,JBx_250644,,,
,527,IY2273,pIY1522,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0944_1610_4189,JBx_250646,,,
,528,IY2274,pIY1523,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0225_0813_4192,JBx_250648,,,
,529,IY2275,pIY1524,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0105_0277_0813,JBx_250650,,,
,530,IY2276,pIY1525,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0813_0814_1610,JBx_250652,,,
,531,IY2277,pIY1526,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4189_4266,JBx_250654,,,
,532,IY2278,pIY1527,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0104_4679,JBx_250656,,,
,533,IY2279,pIY1528,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0105_4189,JBx_250658,,,
,534,IY2280,pIY1529,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0944_5186,JBx_250660,,,
,535,IY2281,pIY1530,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0105_4185,JBx_250662,,,
,536,IY2282,pIY1531,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4189_5186,JBx_250664,,,
,537,IY2283,pIY1532,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0105_4188,JBx_250666,,,
,538,IY2284,pIY1533,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1023_4188,JBx_250668,,,
,539,IY2285,pIY1534,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0104_4188,JBx_250670,,,
,540,IY2286,pIY1535,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0225_4185,JBx_250672,,,
,541,IY2287,pIY1536,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0104_4185_4188,JBx_250674,,,
,542,IY2288,pIY1537,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0105_0813_4188,JBx_250676,,,
,543,IY2289,pIY1538,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0654_4185_5186,JBx_250678,,,
,544,IY2295,pIY1544,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0225_0944_4189,JBx_250680,,,
,545,IY2296,pIY1545,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0654_1023_4189,JBx_250682,,,
,546,IY2297,pIY1546,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_1610_4188_4188,JBx_250684,,,
,547,IY2298,pIY1547,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_0654_4185_4188,JBx_250686,,,
,548,IY2299,pIY1548,pRSF1010-Gm-NagR-pNagAa-dCas9-thrLABC-PP_4188_4635_5419,JBx_250688,,,
,549,IY241,pIY229,pRSF1010-Gm-P3-BCD2-RFP,JBx_250690,,,
,550,IY483,pIY415,p15a-Sp-P3-BCD2-RFP,JBx_250692,,,
,551,,,,,,,
,552,,,,,,,
,553,,,,,,,
,554,,,,,,,
,555,,,,,,,
,556,,,,,,,
,557,,,,,,,
,558,,,,,,,
,559,,,,,,,
,560,,,,,,,
,561,,,,,,,
,562,,,,,,,
,563,,,,,,,
,564,,,,,,,
,565,,,,,,,
,566,,,,,,,
,567,,,,,,,
