Protein.Group,_log2_fc,_p_value
PP_0096,0.7476055891992469,
PP_0998,-1.653031016322511,
PP_4475,-0.9378039774685089,
PP_1222,0.0440046939335591,
PP_1616,-2.330076775310119,
PP_0379,0.3780231065122507,
PP_0245,4.236188218613695,
PP_4549,-2.6106267921284467,
PP_2307,2.5491674532285704,
PP_0897,0.028434892273098186,
PP_1461,0.026178109937789525,
PP_4952,3.813655929028224,
PP_2474,-2.2899177392219627,
PP_0282,-2.06878538475941,
PP_2545,-1.6577554710445082,
PP_4965,1.0591269378846262,
PP_1987,1.4552277950593424,
PP_1023,-0.8185537688893363,
PP_5414,-1.4993885163926017,
PP_3832,0.6541818927636122,
PP_0559,-0.6062499342756981,
PP_0183,0.018388288833446953,
PP_0434,-4.309787070168496,
PP_1666,1.0336833858187138,
PP_1695,-2.043659884003705,
PP_1012,2.5705781051382055,
PP_0570,-1.9459578324652032,
PP_2151,0.435809373742402,
PP_4823,1.9566322377017304,
PP_1607,-0.2292537012051657,
PP_4794,0.5215332273639095,
PP_2933,-0.04625942208670366,
PP_0377,-2.196806506377525,
PP_1868,0.5951940366885463,
PP_3511,-0.9866600095939672,
PP_3558,-3.7795918316748582,
PP_0458,-0.28203903947177084,
PP_0227,-6.942534944095966,
PP_1081,0.4898492540011051,
PP_1084,-1.4276572128022023,
PP_4386,-0.3004302765802861,
A0A140FWS4,-1.458761823455403,
PP_5145,0.8452469921183218,
PP_2528,-6.515947428720573,
PP_4700,-5.045786570273912,
PP_1015,-0.23707015624659672,
PP_0735,0.09273736101958328,
PP_2008,-6.2047799470388245,
PP_1505,-6.413871748606301,
PP_0243,0.6246388106775145,
PP_1145,-0.1669892114526361,
PP_0063,-0.2668597985917549,
PP_5289,-0.7289113025475552,
PP_4876,0.1295104891003791,
PP_4842,0.06678045399336116,
PP_1377,-2.2899177392219627,
PP_1246,-1.8748808359750706,
PP_2335,0.21203434426634069,
PP_1838,1.633779284182779,
PP_1129,-3.116489638690385,
PP_2305,0.02083097996619904,
PP_4967,0.6354348665020187,
PP_5215,-0.8208610054643429,
PP_0777,-2.148800963752224,
PP_5415,-0.8610258512658022,
PP_1832,-2.455964987838589,
PP_1974,-0.4511326950335918,
PP_4473,-0.029158352462997975,
PP_4657,-5.104927121164665,
PP_4911,2.500602634535139,
PP_2144,0.6412100216083366,
PP_0412,0.6977844760651668,
PP_1361,-1.5231630712689381,
PP_2679,3.5514383153522067,
PP_1372,-0.5616193405130329,
PP_2007,-1.8748808359750706,
PP_0836,2.8615958206808356,
PP_0657,0.14969556423089214,
PP_0560,0.3583690914954553,
PP_1210,-1.6960064325646658,
PP_0952,1.7571355596310343,
PP_2147,0.742820557821696,
PP_5098,-1.439899754931096,
PP_1311,-0.2890451800572276,
PP_4521,-4.544327574102001,
PP_5200,-1.8748808359750706,
PP_0366,-0.9608173650809415,
PP_1434,-0.0777999330856895,
PP_1821,-2.3795404286783546,
