Objects annotated to GO terms from New SmartTable with DNA-binding transcription factor activity	Matches	Accession-1	Common-Name	Gene	Names	Synonyms
G1G01-5272-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-5272	LysR family transcriptional regulator	
G1G01-3846-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3846	LysR family transcriptional regulator	
G1G01-3097-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3097	LysR family transcriptional regulator	
G1G01-2756-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2756	LysR family transcriptional regulator	
G1G01-2351-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2351	LysR family transcriptional regulator	
G1G01-2183-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2183	LysR family transcriptional regulator	
G1G01-4797-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4797	LysR family transcriptional regulator	
G1G01-4749-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4749	LysR family transcriptional regulator	
G1G01-3132-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3132	LysR family transcriptional regulator	
G1G01-1101-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-1101	LysR family transcriptional regulator	
G1G01-1247-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-1247	LysR family transcriptional regulator	
G1G01-3797-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3797	LysR family transcriptional regulator	
G1G01-2064-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2064	LysR family transcriptional regulator	
G1G01-2212-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2212	LysR family transcriptional regulator	
G1G01-3449-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3449	LysR family transcriptional regulator	
G1G01-4887-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4887	LysR family transcriptional regulator	
G1G01-4201-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4201	LysR family transcriptional regulator	
G1G01-3626-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3626	LysR family transcriptional regulator	
G1G01-2882-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2882	LysR family transcriptional regulator	
G1G01-4753-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4753	LysR family transcriptional regulator	
G1G01-2611-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2611	LysR family transcriptional regulator	
G1G01-2716-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2716	LysR family transcriptional regulator	
G1G01-1965-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-1965	LysR family transcriptional regulator	
G1G01-3770-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3770	LysR family transcriptional regulator	
G1G01-3142-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3142	LysR family transcriptional regulator	
G1G01-3559-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3559	LysR family transcriptional regulator	
G1G01-406-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-406	LysR family transcriptional regulator	
G1G01-3843-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3843	LysR family transcriptional regulator	
G1G01-3749-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3749	LysR family transcriptional regulator	
G1G01-4973-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4973	LysR family transcriptional regulator	
G1G01-4068-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4068	LysR family transcriptional regulator	
G1G01-3898-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-3898	LysR family transcriptional regulator	
G1G01-2553-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2553	LysR family transcriptional regulator	
G1G01-4825-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-4825	LysR family transcriptional regulator	
G1G01-5693-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-5693	LysR family transcriptional regulator	
G1G01-1712-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-1712	LysR family transcriptional regulator	
G1G01-2829-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2829	LysR family transcriptional regulator	
G1G01-2721-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2721	LysR family transcriptional regulator	
G1G01-1349-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-1349	LysR family transcriptional regulator	
G1G01-2730-MONOMER	GO:0003700		LysR family transcriptional regulator	G1G01-2730	LysR family transcriptional regulator	
