Protein,PC1,PC2
Aroe-1,-0.008685091033595788,-0.005083357692914018
Arof-1,-0.023892566828108534,0.01601683403675829
Arok,-0.008827253019589667,-0.01525062688046988
Arop,-0.015126368786547127,-0.01692183281854246
Aroq1,-0.032972337329268325,-0.02065543046337274
Arsc-1,-0.0012377031605142045,-0.01640607033471145
Aruf,-0.03326581116273666,-0.03143533084256394
Arug,-0.003758891715007579,0.0021111907714232736
Asd,0.02943913288076873,0.0275154767373471
Asnb,-0.014543015215118884,-0.014370083963775176
Aspa,-0.003959500473489345,-0.003272737916439407
Asps,0.0025559908282991217,0.020294654995928755
Astb,-0.016632157535657673,0.007632773967212673
Astd,-0.022781904420885925,0.009551212916920624
Aste,-0.04002166687246904,0.025434005962050057
Atob,-0.013406420788502718,-0.00619054220687615
Atpa,0.019663723455838607,0.020635182555344557
Atpc,0.014974423746399913,0.012498198497336915
Atpd,0.001290545200247598,-0.005195152259520484
Atpe,0.019350716893132495,0.01304194670242389
Atpf,0.017698335271914122,0.019755529299051514
Atpg,0.01887964621490312,0.0238510295577846
Atph,0.023968764750745136,0.02279818227744034
Bama,-0.03780375597046508,-0.0457880453095159
Bamb,-0.007822047072867558,0.014650609237929588
Bamd,-0.001996783305289654,0.02106363835938616
Beta,-0.041856199883525874,0.013425779129173115
Betb,-0.036014674434496394,0.008670786975796575
Bfr,-0.05415045811997677,-0.002139387190509796
Bglx,0.007465849100552787,0.01440845450736689
Bioa,-0.01906315488131021,0.022202092284648457
Biod,-0.037635607865543826,0.021753990706916786
Biof,-0.01768371698549361,-0.010880195894194781
Bioh,-0.023415543102707978,-0.019073966949899067
Bira,0.033142443021750956,0.03022045939213475
Bkda1,-0.01754281268386251,-5.822976610655377e-05
Bkda2,-0.019596245002851845,0.0069499036749872435
Bkdb,-0.010101699670188041,0.00756556068885477
Bkdr,0.012813265184834806,0.02934027747449804
Bola,-0.02527201500913544,-0.029995484573420817
Brac,-0.012595469217635895,0.008150132038542552
Braf,0.007766392751217054,0.021254727304905366
Brag,-0.020767758992694858,-0.017922712295804676
Cada-2,-0.024549293269440914,0.0013394316562206604
