Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_0765,,,1.3404089983663763,1.4728164685520915,1.1406493012987728,1.7789369508802109,,,1.0843016111408228,1.3197242086038303,1.2192336958577945,3.9105469866091376,1.5063762824134637,2.419371503321368,,,,,,,,,,,1.713363965748437,2.7317358243301344,,
PP_0766,,,1.0476503826616828,1.8583553681749683,1.0316040277681913,2.037700426727032,,,,,,,1.1989914156453003,2.469915097428986,,,,,-1.0090058586989894,1.4898272480432049,,,,,1.0759067687812267,4.0725186711089405,,
PP_0858,,,1.1030808868716087,2.092353346771324,,,,,,,1.0100566980703922,2.207257474147045,,,,,,,,,,,1.3474400184749735,1.5895681729692623,,,,
PP_0886,,,1.2312856593298749,2.0761206647559227,,,,,,,,,,,,,,,,,,,,,,,,
PP_0956,,,1.0253409153152182,7.1734608036487035,,,,,,,,,,,,,,,,,,,,,,,,
PP_0971,,,1.1057115015761183,1.7115064461858953,,,,,,,,,,,,,,,,,,,,,,,,
PP_1014,,,1.0950648181218294,1.576713292170297,,,,,,,,,1.651537621352875,1.6502036504996593,,,,,,,,,,,1.3452836658592908,1.6023381058661879,,
PP_1016,,,-1.1211038134298037,5.049979061089108,,,,,,,,,,,,,-1.2661249083460928,1.9231221956364084,,,,,,,,,,
PP_1019,,,-1.3075052691025784,5.934935088102171,,,1.0231929749133584,6.288227531285922,1.2333685411717463,6.12077475780854,1.1222002938417197,3.5244588625298485,,,,,-1.0664511195568067,4.505350217759432,,,,,,,,,,
PP_1027,,,2.1530809393037558,2.35193819863697,,,,,,,,,,,,,,,,,,,,,,,,
PP_1060,,,1.1581340059536867,1.740176452517452,,,,,,,,,,,,,,,,,,,,,,,,
PP_1251,,,1.4047292417391415,2.3627373395820563,,,,,,,,,1.4640245128392173,4.0582595096062555,,,,,-1.1369311847125172,1.6895537044297726,,,,,,,,
PP_1353,,,1.411444364052932,3.1553972392631007,,,,,,,,,,,,,,,,,,,,,,,,
PP_1406,,,1.0286438946352707,1.3341058246672572,,,,,,,,,,,,,,,,,,,,,,,,
PP_1663,,,1.020397482787884,1.3344817558804913,,,,,,,,,1.0330558172646616,1.9010937181903818,,,1.5401254132260278,3.5332323395625416,,,,,,,1.2676052089006922,2.059731393362969,,
PP_1686,,,1.4777767952019878,2.0640716776222185,,,,,,,,,,,,,,,,,,,,,2.418592245327588,2.1012425160537793,,
PP_1794,,,1.3551876252684099,2.237984847667548,,,,,,,,,,,,,,,,,,,,,,,,
PP_1816,,,1.1931023552392765,1.368341854837788,,,,,,,,,,,,,,,,,,,,,,,,
PP_1868,,,-1.8652514693587712,7.277796608530814,-1.0279598258495584,4.8749513767317305,,,,,,,-1.5871625314743172,6.332029883389057,,,,,,,,,,,-2.526439130706181,9.505514221450074,,
PP_1918,,,1.309067838033562,3.389746264995765,,,,,,,,,,,,,,,,,,,,,,,,
PP_2105,,,1.0948702103355978,1.8375383222548656,,,,,,,,,1.1659656272389398,2.362936582270449,,,,,,,,,,,1.5274154590050757,2.8445291590190513,,
PP_2307,,,1.180401788198238,3.790704884261851,1.0442826119496988,5.205615661927948,,,,,,,,,,,,,,,,,,,1.423778344117634,1.490555019305558,,
PP_2794,,,1.9839280666512977,1.4468846302655478,2.0082093976789506,1.7741062400310672,,,,,,,2.1260013144055385,2.9075744065125386,,,,,1.4063121416543294,3.7645404940833904,1.332093363553719,1.6098076403058388,,,2.1107174922750254,2.980506959540947,,
PP_2925,,,1.5605459496128444,1.9140079227340194,1.5511297500363064,3.2252585186349823,,,,,,,,,,,,,,,,,,,,,,
PP_3089,,,1.3754902832079872,1.74633096605455,,,-1.376183128606497,6.0263825033684375,-1.1634038337595316,6.571205963106101,-1.6005113860171125,7.6926122319920145,,,,,-3.0851446588539324,9.527639509795575,,,,,,,,,,
PP_3091,,,2.5158801049704502,1.491482184879192,,,,,,,,,,,,,,,,,,,,,,,,
PP_3106,,,1.1871308539921857,1.352132501996105,,,,,,,,,,,,,,,,,,,,,,,,
PP_3135,,,1.628140109202528,1.5305743350005139,2.5166669253984297,2.189477776743427,,,,,,,,,,,,,,,,,,,,,,
PP_3139,,,1.5644810310721315,5.167982509891856,,,,,,,,,,,,,,,,,,,,,,,,
PP_3140,,,1.2116285987679551,1.3755934052585834,1.1576325468589441,6.541347815336824,,,,,,,,,,,,,,,,,,,1.9824061673213607,2.731652021645165,,
PP_3145,,,1.052666334327109,2.5592208833720504,,,,,,,,,,,,,,,,,,,,,,,,
PP_3148,,,1.1251493844960292,1.6915787942411653,,,,,,,,,,,,,,,,,,,,,,,,
PP_3376,,,-1.0963693163774986,7.983912632005593,,,,,,,-1.2636616373323446,11.141411940390906,,,,,-2.1147452212567854,5.202476394536475,-1.206675471458971,5.750918599812505,,,,,-1.482890723922817,12.140725485753002,,
PP_3378,,,-1.5809894954828838,2.6124343904384713,,,,,,,-1.5009150640776485,7.0369082452929455,-1.3747178157556086,5.546883148439372,,,,,,,,,,,-2.5078455894965233,13.419371193880135,,
PP_3379,,,-2.10995791824705,4.649701092662095,,,-1.067054624023723,4.349556789861844,-1.179659792597439,2.6993449025996514,-2.5398459728480423,11.593855183390568,-1.9425354697286343,4.0925125104958635,-1.050494870341511,4.094530093557478,-1.7846122483695988,10.429687217912623,,,,,,,-3.29830995427384,12.006950314517907,,
PP_3680,,,1.3568876412152029,1.6186142102784877,,,,,,,,,,,,,,,,,,,,,,,,
PP_4011,,,1.097073262097004,2.0734254690686473,,,,,,,,,,,,,,,,,-1.2965520991195627,4.297191626083598,,,1.1750977666838227,10.041777793412152,,
PP_4013,,,1.0779613411047173,3.089551924461337,,,,,,,,,,,,,,,,,,,,,,,,
PP_4111,,,1.316351862271047,3.049118682961979,,,,,,,1.3294491452233232,11.059831796736912,1.1801342701378297,2.1438535210961125,,,,,,,,,,,1.281773295819418,8.939621467006079,,
