,Line Name,rep,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
97,PP_0528_PP_4120_PP_4191-R1,1,False,PP_0528_PP_4120_PP_4191,3,326.5828,3407104.11,0.9280155402925415,PP_0528,PP_4120,PP_4191,,16212.35,292187.55,4708101.82,,73937.88333333335,1276644.7291666665,12495217.144166665,,0.21926986909957974,0.2288714654316759,0.376792317066531,,False,True,True,True,True,False,True,True,True,True,True
98,PP_0528_PP_0751_PP_0813-R1,1,False,PP_0528_PP_0751_PP_0813,3,474.5426,4070949.98,1.108831642128368,PP_0528,PP_0751,PP_0813,,6984.85,61982.85,119612.13,,73937.88333333335,4218397.294999999,2820323.063333333,,0.09446916364254408,0.014693459545279747,0.042410790293871764,,False,True,True,True,True,False,True,True,True,True,True
99,PP_0751_PP_0814_PP_4191-R1,1,False,PP_0751_PP_0814_PP_4191,3,385.7568,3364366.02,0.9163746833061017,PP_0751,PP_0814,PP_4191,,652576.9,0.0,5656774.8,,4218397.294999999,176130.7333333333,12495217.144166665,,0.15469782819496147,0.0,0.4527152057250033,,False,True,True,True,True,False,True,False,True,False,False
100,PP_0813_PP_0814-R1,1,False,PP_0813_PP_0814,2,364.2763,3636649.32,0.9905382913451106,PP_0813,PP_0814,,,9076.43,825.13,,,2820323.063333333,176130.7333333333,,,0.0032182235141787587,0.004684758783343131,,,False,True,True,True,False,False,True,True,True,True,True
101,PP_0751_PP_4189-R1,1,False,PP_0751_PP_4189,2,176.8561,5412683.07,1.4742883814132532,PP_0751,PP_4189,,,4640637.83,25026811.27,,,4218397.294999999,25916447.480833337,,,1.1000950136916872,0.9656729105526028,,,False,True,False,False,False,False,False,False,True,False,False
102,PP_0751_PP_0813-R1,1,False,PP_0751_PP_0813,2,422.1336,3593602.1,0.9788132345706079,PP_0751,PP_0813,,,2647584.36,611887.54,,,4218397.294999999,2820323.063333333,,,0.6276280243063261,0.21695654230363653,,,False,True,False,True,False,False,False,False,True,False,False
103,PP_1769_PP_4189-R1,1,False,PP_1769_PP_4189,2,333.2034,1600263.81,0.4358744659105093,PP_1769,PP_4189,,,1961592.13,18372974.89,,,1012275.7325,25916447.480833337,,,1.937804164439949,0.708931071806344,,,False,True,False,False,False,False,False,False,True,False,False
104,PP_0528_PP_1769_PP_4191-R2,2,False,PP_0528_PP_1769_PP_4191,3,470.9864,4667330.38,1.2712717265101399,PP_0528,PP_1769,PP_4191,,19026.7,1157848.9,11084898.82,,73937.88333333335,1012275.7325,12495217.144166665,,0.2573335770814826,1.14380782115608,0.8871313473071522,,False,True,True,False,False,False,False,False,True,False,False
105,PP_0528_PP_4120_PP_4191-R2,2,False,PP_0528_PP_4120_PP_4191,3,317.8891,1586122.16,0.43202261092114763,PP_0528,PP_4120,PP_4191,,9044.9,380748.62,4519510.14,,73937.88333333335,1276644.7291666665,12495217.144166665,,0.12233106483753364,0.2982416417827807,0.3616992076132036,,False,True,True,True,True,False,True,True,True,True,True
106,PP_0528_PP_0751_PP_0813-R2,2,False,PP_0528_PP_0751_PP_0813,3,481.3839,3288576.74,0.8957314545238787,PP_0528,PP_0751,PP_0813,,22571.1,117369.72,145392.2,,73937.88333333335,4218397.294999999,2820323.063333333,,0.3052711138381249,0.02782329680969512,0.05155161190227666,,False,True,True,True,True,False,True,True,True,True,True
107,PP_0751_PP_0814_PP_4191-R2,2,False,PP_0751_PP_0814_PP_4191,3,397.3863,1476460.32,0.4021532883494126,PP_0751,PP_0814,PP_4191,,722066.96,128516.0,5476562.42,,4218397.294999999,176130.7333333333,12495217.144166665,,0.17117092333997436,0.7296625499013801,0.4382926968625518,,False,True,True,False,True,False,False,False,True,False,False
