Protein.Group,PP_0751_PP_0813_PP_0815_log2_FC,PP_0751_PP_0813_PP_0815_log10_pval,PP_0528_PP_0751_PP_0815_log2_FC,PP_0528_PP_0751_PP_0815_log10_pval,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log10_pval,PP_0528_PP_0751_PP_0813_PP_0815_log2_FC,PP_0528_PP_0751_PP_0813_PP_0815_log10_pval,PP_0368_PP_0751_PP_0815_log2_FC,PP_0368_PP_0751_PP_0815_log10_pval,PP_0368_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0751_PP_0813_PP_0815_log10_pval,PP_0368_PP_0814_PP_0815_log2_FC,PP_0368_PP_0814_PP_0815_log10_pval,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log10_pval,PP_0368_PP_0751_PP_0814_PP_0815_log2_FC,PP_0368_PP_0751_PP_0814_PP_0815_log10_pval,PP_0812_PP_0813_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log10_pval,PP_0528_PP_0813_PP_0815_log2_FC,PP_0528_PP_0813_PP_0815_log10_pval,PP_0751_PP_0815_log2_FC,PP_0751_PP_0815_log10_pval,PP_0528_PP_0812_PP_0815_log2_FC,PP_0528_PP_0812_PP_0815_log10_pval,PP_0368_PP_0813_PP_0814_PP_0815_log2_FC,PP_0368_PP_0813_PP_0814_PP_0815_log10_pval,PP_0814_PP_0815_log2_FC,PP_0814_PP_0815_log10_pval,PP_0813_PP_0814_PP_0815_log2_FC,PP_0813_PP_0814_PP_0815_log10_pval,PP_0812_PP_0813_PP_0815_PP_1506_log2_FC,PP_0812_PP_0813_PP_0815_PP_1506_log10_pval,PP_0368_PP_0815_log2_FC,PP_0368_PP_0815_log10_pval,PP_0437_PP_0815_PP_1317_log2_FC,PP_0437_PP_0815_PP_1317_log10_pval,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log10_pval,PP_0528_PP_0815_log2_FC,PP_0528_PP_0815_log10_pval,PP_0815_PP_2136_log2_FC,PP_0815_PP_2136_log10_pval,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log10_pval,PP_0368_PP_0751_PP_0812_log2_FC,PP_0368_PP_0751_PP_0812_log10_pval,PP_0812_PP_0815_PP_1506_log2_FC,PP_0812_PP_0815_PP_1506_log10_pval
PP_0368,1.0150218656975478,1.9417486990327164,0.5556837289688386,1.6137515136804568,,,,,-4.232154602516679,5.094302126143144,-6.3610555767688295,14.414542392324678,-6.350564548661386,14.559342537764385,-5.718001120123015,14.608060106780828,-6.196189832735825,14.444691439438799,,,0.4821230173651917,8.247661539079056,0.25991866102180416,1.3616223521299318,,,-5.744920522549764,14.419096709886995,,,,,0.45996474337055093,3.3256055038974393,-6.204013403617424,14.395466334634571,,,-4.623055997493392,12.274763296620508,,,1.7167272467118868,6.7287695974549635,-5.621595428376639,15.111955043271887,-6.091247540993625,14.533721568014487,0.6200148710315293,1.6745405630690342
PP_0370,0.9406581559893571,1.4627654062980016,,,0.9821829573112644,10.833590945636143,0.8200651493481848,1.8964265228292787,1.4998068125701158,5.517203852317364,1.0646175248672565,2.579039062683323,1.562369276535359,4.161600685186884,,,1.144782330959227,1.6207199326096864,,,0.7221298335162619,4.017692213722625,-0.4910579116715906,1.8703891247728697,,,,,,,,,0.7666768961098237,1.5459265322170923,,,,,1.533787002910028,6.8860332489662675,,,,,,,,,0.9499774827769272,5.81651865532281
PP_0375,-1.0110746496732104,4.366872901759182,,,-2.0565251923725882,1.8556575539558962,,,,,-0.9033719471234588,1.9261653529914013,-2.878111538845464,7.640943368290653,-2.632556684833171,5.032508422084796,-0.5203281103397884,2.419275119424102,-4.337277473362791,8.445335476240928,0.5082032645343972,1.5947302384587991,-3.215545738815767,7.818718485404712,-2.3656458710820933,4.2125867696073165,-0.5556108832856221,2.600436642601918,-2.2181366561650617,3.889241419683711,-2.640375059273729,4.143401572952942,-1.388004066834043,1.488390583576082,-3.5016278374260277,6.572458100730585,-3.2360770001302748,8.00550477058673,-3.826890424335556,8.075417478005392,-1.8287447028547852,4.140171163921161,-1.9992824066283623,5.5450140189326005,-3.1120896625810235,7.856946719636727,-1.6738000712867473,3.5465502634096504,-2.758899877194301,2.48666144825003
PP_0396,0.5125330538218077,3.8448640629010007,0.5018299869087282,1.8200565957504158,,,,,,,0.17248168235968064,2.82639526228702,,,-0.1753982377070741,2.1562797170809334,0.22362347956162423,2.146657771686396,,,,,0.34560415700843816,1.4229649143067256,0.9392851920603085,1.666798303080419,0.3942753493729291,2.795908448844208,1.1221233482833763,1.4416129204505383,0.20725485058092086,2.9080491230427157,,,,,,,-0.19030510389395885,2.5787229272700887,,,-0.18050226879663683,2.1766422537103556,-0.47892570178498484,1.492766744306107,-0.26998741750199967,5.320396090204194,0.4044246756927194,1.866631716207593
PP_0512,1.2985039185942062,1.780047913599425,,,,,,,1.4449811130853971,1.4543291847427007,1.1894207264630428,1.9994780456903558,1.6124714071038349,3.5285605690636017,1.6165150379284055,2.1876216831748176,,,,,,,,,,,1.7174633185457726,7.547245554883694,,,1.6206093711088507,1.9768712244597646,1.2650961224913941,2.4572879181467413,0.9384512749259967,1.4502900741413667,,,1.545381715678168,1.9353381240849679,,,1.6343480103262007,1.5205167979844862,1.3321627864948495,2.599377176945662,1.294319525912738,2.8331003048008445,1.6257131395510038,2.0963407835893824
PP_0544,3.0336552589002297,1.3140121878314972,,,3.1751298124431067,1.3535486656686568,,,2.45050695660556,2.894259344267437,2.6703879202117577,1.4264747401148734,3.0415922250031553,1.516878554862476,2.3330294969218905,2.02021082362197,,,2.5793279334996195,1.5752001791355474,,,2.4856754080041186,1.6800571186691262,3.129544153399856,3.314779372344531,2.67193773753898,1.4002591935171491,3.156443288454928,2.9905510550958403,2.7190314929543753,2.5909830623793373,2.6959838625020507,1.9611650413804833,,,3.0929741527225376,1.657707685958779,2.7110548232840106,3.330128946099134,2.4420436720751186,1.8359929492047278,2.830285660962173,2.599775102159375,2.4007257601584095,2.610617687153282,,,2.686655114165461,1.4046530825268677
PP_0564,1.1650183699917782,3.9203179504351953,0.9789598152230138,2.1901874846122515,1.093318513243573,2.5276905632635813,0.8458386586764347,2.114704996449754,0.5045903137607098,3.2744523328439157,,,0.5985180173308559,2.591192644167029,0.41673610032191305,2.193566573142791,0.8818728004680528,2.8810068898083943,0.726251731175616,1.899327183443789,1.0016229624293636,3.226808029890876,0.7257297163481362,6.023304995067422,0.7699291674644497,1.7000533384666365,1.1010049066257575,2.2955659406031756,,,0.5591967224785933,2.0088138001572107,0.9529215632606017,1.9819970051537685,0.6833610426855706,2.0476713082068887,0.8580360553949902,1.8029282154420085,0.5033599964120541,2.529900752566641,0.6313880631285578,1.471908503559602,0.6152011965938068,3.772203711391931,0.46939597917948467,1.9599431169837573,0.5415665260062588,1.9861085288765838,0.9558036344699851,2.630294278058243
PP_0576,-0.8338254188401885,6.232947156547047,,,,,,,0.7634873844118939,1.7005621667069293,-0.6979940999213339,1.4698959173204857,,,,,,,,,-0.668961548371883,2.437182384883523,,,,,-1.0532114355324285,7.308477330537768,-1.9708874499645177,4.754643014655522,,,,,,,,,,,-2.5306424401861496,4.488281355609477,,,,,,,,
PP_0596,-5.269826408576338,12.080713377549797,-5.000226365618822,12.047309846208321,,,-4.803187879588681,12.519481861087133,,,-5.920934470175844,12.149766762649621,-0.5875108291859144,1.5194953340700068,,,-1.5215624071166949,1.3192074032948102,,,-5.839126590586368,12.267139522716569,,,,,-5.304799415956778,12.124372371984412,,,,,-3.6510385666421343,4.200502855432369,,,,,,,,,,,,,,,-1.9463960399334475,1.7185405522679862
PP_0599,-3.2157120593621333,4.5498522205630545,,,1.69487784001852,1.4069612801847622,1.2478728505687122,1.8678078981045456,1.8141253279250293,2.816557714789961,,,1.876711378899942,10.867344465506937,1.5938946800077858,9.306087960591457,1.482505660654409,1.577296524133878,,,,,,,,,-3.2506858863815036,4.568098653035706,,,1.8272637843276567,3.9756281650912775,,,,,,,1.6422937492124081,6.824299616649055,,,1.7589348047198112,3.874057408776697,1.5841769293631731,2.865940146138574,1.5103191572787287,6.8503956663207255,1.5785985331326577,1.6013919875917777
