Protein,Spearman_Correlation,Average_Abundance_Control
Ptsp,0.30068297087132284,0.033161746
Pp_5144,0.21931729620247914,0.0025704054545454542
Thya,0.2445397866937633,0.010447549333333334
Cada-2,0.024473189600861513,0.002981987764705882
Pp_5133,0.36408467716239035,0.002885523375
Fola,0.15364462011413466,0.0034042953749999997
Ilvd,-0.28714959157272474,0.08809252655555556
Pp_5127,0.1053157343506499,0.026838385944444446
Pp_5126,0.20882503800292404,0.006139225722222221
Mutm,0.2225232021482986,0.0068518089999999995
Coad,0.07027912404352596,0.053101983388888885
Pp_5120,0.3727292166309789,0.004823795882352941
Pp_5118,0.4084445321597276,0.05103405694444444
Pp_5114,0.012119153719210537,0.009643254777777777
Pp_5113,0.05730631726253553,0.0025575465714285715
Pp_5112,0.31853747637330265,0.012314765277777778
Ftsy,-0.02832624915725911,0.033400932555555554
Ftse,0.3643112840113387,0.013168182055555555
Ftsx,0.2774178844882302,0.007175864722222223
Thig,-0.13722968757661932,0.03477574927777778
Trmb,-0.02142508161919447,0.018807327888888885
Pp_5101,-0.030274759880333804,0.0015287823333333334
Pp_5100,0.06981043913485384,0.0091729175
Pp_5099,0.16609892201102272,0.004572069466666667
Metw,0.07830472500537831,0.007428661166666666
Metx,0.02259403163852509,0.012750570166666666
Proc-2,0.3312209110573798,0.03765719088888889
Pp_5094,0.062077241287941363,0.005054971461538462
Pp_5090,-0.021382582978898154,0.006244428666666666
Args,0.440437792810175,0.07773733911111112
Pria,-0.05178123240714094,0.0018167555000000001
Maeb,-0.0659153952016781,0.2778286307222222
Pp_5084,0.12856072236082627,0.014314821277777778
Arok,-0.07065886042536117,0.003595725
Arob,0.16990525438798218,0.03426444994444444
Pp_5077,0.28458662541119945,0.034019687944444446
Gltb,-0.46702622226887636,0.08277656283333332
Gltd,0.08953031995843352,0.05165131455555556
Heme,0.20664361053241825,0.028099871222222222
Pp_5070,0.1052213503229384,0.001346174
Trxc,0.2773366799437919,0.006661361222222222
Pp_5068,0.3147044567399418,0.0054968065000000005
Pp_5067,0.21113301876540166,0.0021540893888888895
Nhap2,-0.011165079614282642,0.003243802
Beta,0.45168911571217846,0.0170654135
Betb,0.3759210484665046,0.010642404166666668
Pp_5058,0.13462369978109312,0.035317262
Pp_5057,0.05705288826525854,0.011087093099999999
Gpmi,-0.04881577919094908,0.04692124322222222
Pp_5055,-0.08898410398310555,0.031352496388888894
Secb,-0.10214480329659145,0.11375760622222224
Ntrc,0.033227218601039145,0.052247867
Ntrb,-0.01389160484281947,0.031826887444444445
Glna,-0.06545921753080669,0.46398625561111106
Thii,-0.11734820069912044,0.010564326277777779
Pp_5044,-0.13059217000967077,0.18237669494444442
Glgp,0.23609235897596217,0.03779553605555556
Fbp,0.0716122648744744,0.07125572427777778
Pp_5039,0.3140939192771707,0.011027730999999999
Hutc,0.035453658501619245,0.006572146055555555
Huth,0.048520784351944034,0.002353276125
Pip,0.4430095540348089,0.02215470638888889
Opgg,0.06343041899735634,0.03477068966666666
Opgh,0.021726878851986212,0.009497486722222224
Pp_5024,-0.03869912539456484,0.03126343016666666
Pp_5023,0.145432105623226,0.00693246988888889
Pp_5022,0.16320363262699905,0.003429284
Pp_5020,0.03150248425467711,0.011723115555555556
Pp_5019,0.12352630565064487,0.0029059008235294117
Hise,0.2453026032701114,0.0027962209444444444
Hisi,0.23312395608303862,0.021081393777777777
Pp_5012,0.10961120098175937,0.0020633362000000003
Ubie,-0.03104032086086634,0.030429237388888895
Pp_5008,-0.0416166112368644,0.010592872428571428
Pp_5007,0.11449900591948449,0.03352395594444445
Pp_5002,0.19916564847292667,0.0037882841875
Hslu,0.2121601284291813,0.15209160777777778
Hslv,0.14579856318794832,0.07236457072222223
Pyrc,0.24958889807444468,0.045873394972222224
Pyrb,0.0123824951753025,0.04667808622222222
Pyrr,-0.007573185124159807,0.034816809
Pp_4994,0.0632932453091989,0.002417546076923077
Gshb,0.21163157692574192,0.031963235944444446
Pilg,0.3676370446033368,0.00401017725
Pilh,0.23139387180143178,0.01836857361111111
Pilj,0.4622953808033187,0.004894402538461539
Pp_4988,0.2569250764416668,0.004141700588235294
Pp_4987,0.16622608430227412,0.006945240866666666
Pp_4985,0.029648778268812657,0.0023471999333333333
Bioa,0.14920548905949685,0.006427518333333333
Pp_4983,-0.15801967818965515,0.0030506352352941174
Pp_4981,0.15557364930374895,0.02713917011111111
Rhle,0.07684893022100021,0.060846005611111115
Metf,0.12923575049288993,0.014961007277777778
Pp_4975,0.4860044399735933,0.05126917744444444
Pp_4971,0.2910044561749445,
Pp_4969,0.33633924223163975,0.01019361661111111
Metk,0.1497540693724321,0.06279425444444446
Tkta,-0.05298951347672902,0.09541459533333335
Epd,-0.133457257489954,0.00522128
Pgk,-0.1784097625201068,0.1038532538888889
Fda,-0.3021312928081445,0.1555276422777778
Pp_4959,0.14008665274584423,0.004633264428571428
Pp_4954,0.30079159440581127,0.0035245407333333333
Pp_4953,0.2238349885408709,
Dbpa,0.11681909062289685,0.01409721288888889
Pp_4950,0.08678563981683077,0.01492201266666667
Pp_4949,0.0019291054993804768,0.004329210764705882
Puta,0.26944650707521,0.025667243833333336
Putp,0.5318627450980392,0.002721804
Rlmj,0.21131529300578775,0.006198551055555556
Pp_4944,0.1355053642280364,0.030626899722222226
Pp_4943,0.09748709509347621,0.005647038611111111
Pp_4942,0.17668630040584968,0.0038133019285714292
Pp_4941,0.19700632690763392,0.0018771859999999999
Pp_4940,0.08332510299127224,0.011405875499999999
Pp_4939,-0.1383136012386919,0.010719751333333333
Pp_4938,0.23546822656367825,0.004933608833333334
Pp_4937,0.26552438648257576,0.015378937666666667
Msba,0.15186099029579736,0.010592266833333332
Hlde,0.29315534810047816,0.031551772000000006
Pp_4932,0.30235063318538064,0.0035798586666666663
Pp_4931,0.4050169291617595,0.023362596
Kdta,0.2928587944186669,0.007096571277777777
