Protein.Group,Group_with_PP_1317_Mean,Group_without_PP_1317_Mean,T-Statistic,P-Value
PP_5179,0.031391116920289855,0.029886823179051666,1.3943077178620662,0.16509388028187802
PP_5175,0.003792638311111111,0.0013247167365591397,3.603300654111732,0.0007658080857521533
PP_5171,0.009023095297297296,0.007958900376395534,1.8408343596428116,0.06796813406870139
PP_5168,0.01274026613768116,0.01388765476291578,-1.8450173533505283,0.0667948759109431
PP_5165,0.012491586782608696,0.011028148493857495,2.087718998025923,0.03841695256392937
PP_5160,0.014069255518518519,0.013028356389461626,0.5697447341103764,0.569803383193261
PP_5157,0.004411523944444444,0.002895522228663446,4.027115912244719,0.00012599423093550055
PP_5156,0.04755209626811595,0.03805560785995086,4.378883506153603,2.137335790178798e-05
PP_5155,0.13931479797826085,0.134247558482661,1.6235617057720555,0.10639362460542395
PP_5154,0.013063141783783785,0.010119922217703348,5.048507060678051,1.4651993449415905e-06
PP_5153,0.021953194355072463,0.01931184946426044,2.983290632287843,0.003306358909956547
PP_5150,0.02366800196376812,0.025755918089879686,-2.937177305989951,0.0037971347747215605
PP_5149,0.02386836327536232,0.02445551773743808,-0.5890129462906509,0.556671327887178
PP_5147,0.007797357416666667,0.006070058301260023,2.841417834817764,0.005229971487698383
PP_5145,0.04823185517391304,0.05241146930997877,-2.2238487597874577,0.027256478904066152
PP_5144,0.002342157511111111,0.0014197260931899643,3.411842342792116,0.0013076500413267069
PP_5141,0.008611484152173913,0.00999752976079264,-3.2060233682204498,0.0016111142766416107
PP_5139,0.00511027402173913,0.004062141768577494,2.6569310874303675,0.008685488994684694
PP_5133,0.0015366497254901959,0.0021869591711229947,-2.9789645031283585,0.004072582054657818
PP_5132,0.0062889165416666675,0.004342084811111111,5.176383950141246,9.776245310047367e-07
PP_5128,0.11030870418840581,0.10658344102123143,1.7145918915937044,0.08838264532230672
PP_5127,0.0243767103115942,0.032092331527246984,-7.2998385924281015,9.242316692395472e-12
