,Line Name,cycle,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
1424,PP_0368_PP_0751_PP_0815_PP_4120-R1,6,FALSE,PP_0368_PP_0751_PP_0815_PP_4120,4,217.9585,21966718.5,1.466159541,PP_0368,PP_0751,PP_0815,PP_4120,192074.4,19565151,,4004662.8,11090248.44,17770618.26,,3052578.717,0.017319215,1.100983135,,1.311895015,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1430,PP_0368_PP_0751_PP_0815_PP_4120-R3,6,FALSE,PP_0368_PP_0751_PP_0815_PP_4120,4,212.8255,11548154.97,0.770776827,PP_0368,PP_0751,PP_0815,PP_4120,130753.98,10485635.84,,5979898.71,11090248.44,17770618.26,,3052578.717,0.011789996,0.590054645,,1.958966259,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,1,FALSE
1133,PP_0368_PP_0751_PP_4189-R1,5,FALSE,PP_0368_PP_0751_PP_4189,3,411.4711,6606758.66,0.556143597,PP_0368,PP_0751,PP_4189,,284578.68,2298055.8,17150939.42,,4753127.833,20411591.37,79821961,,0.059871876,0.112585822,0.214864922,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
1149,PP_0368_PP_0751_PP_4189-R3,5,FALSE,PP_0368_PP_0751_PP_4189,3,396.2775,9046891.8,0.761549075,PP_0368,PP_0751,PP_4189,,1003878.3,3924785.5,20483757,,4753127.833,20411591.37,79821961,,0.211203724,0.19228219,0.256618063,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
1141,PP_0368_PP_0751_PP_4189-R2,5,FALSE,PP_0368_PP_0751_PP_4189,3,371.7357,9068187,0.763341662,PP_0368,PP_0751,PP_4189,,596599.5,3282381,19015549.5,,4753127.833,20411591.37,79821961,,0.125517243,0.160809657,0.238224534,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,1,TRUE
789,PP_0368_PP_0812-R1,3,FALSE,PP_0368_PP_0812,2,383.9056,6796940.86,1.633363506,PP_0368,PP_0812,,,118473.94,712007.42,,,2942120.455,4730152.07,,,0.040268215,0.150525271,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,TRUE
791,PP_0368_PP_0812-R3,3,FALSE,PP_0368_PP_0812,2,357.8817,6507913.93,1.563907843,PP_0368,PP_0812,,,101961.99,639011.04,,,2942120.455,4730152.07,,,0.034655954,0.135093128,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,TRUE
790,PP_0368_PP_0812-R2,3,FALSE,PP_0368_PP_0812,2,352.0482,6117201.5,1.470016276,PP_0368,PP_0812,,,111106.45,424599.5,,,2942120.455,4730152.07,,,0.037764072,0.08976445,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,TRUE
764,PP_0368_PP_0812-R2,2,FALSE,PP_0368_PP_0812,2,329.4278,4670403.1,1.272108664,PP_0368,PP_0812,,,0,658262.8,,,1540536.387,2931757.761,,,0,0.224528373,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,TRUE
757,PP_0368_PP_0812-R1,2,FALSE,PP_0368_PP_0812,2,310.0115,3546689.5,0.966035339,PP_0368,PP_0812,,,0,493172,,,1540536.387,2931757.761,,,0,0.168217172,,,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,TRUE
