,Strain,Time,Temperature,Titer
246,ΔPP_0812-15 ΔPP_0368,24 hr,24,19.8679
247,PCK-1,24 hr,24,
248,PCK-1,24 hr,24,183.9626
249,PCK-1,24 hr,24,211.8193
250,PCK-2,24 hr,24,205.7181
251,PCK-2,24 hr,24,222.9335
252,PCK-2,24 hr,24,192.0148
253,PCK-3,24 hr,24,229.2673
254,PCK-3,24 hr,24,211.1652
255,PCK-3,24 hr,24,227.3224
256,PCK-4,24 hr,24,211.7625
257,PCK-4,24 hr,24,197.6469
258,PCK-4,24 hr,24,226.743
259,PCK-5,24 hr,24,271.8601
260,PCK-5,24 hr,24,264.4021
261,PCK-5,24 hr,24,274.8459
262,PCK-6,24 hr,24,146.6087
263,PCK-6,24 hr,24,157.697
264,PCK-6,24 hr,24,153.7794
265,PCK-7,24 hr,24,172.088
266,PCK-7,24 hr,24,137.0631
267,PCK-7,24 hr,24,198.4942
268,PCK-8,24 hr,24,237.7943
269,PCK-8,24 hr,24,233.93
270,PCK-8,24 hr,24,292.3839
271,PCK-9,24 hr,24,242.615
272,PCK-9,24 hr,24,244.2317
273,PCK-9,24 hr,24,293.0609
274,PCK-10,24 hr,24,190.2063
275,PCK-10,24 hr,24,222.1491
276,PCK-10,24 hr,24,242.3443
277,PCK-Control,24 hr,24,203.3487
278,PCK-Control,24 hr,24,204.7865
279,PCK-Control,24 hr,24,220.2298
280,Control-1,48 hr,24,512.7041
281,Control-1,48 hr,24,462.7219
282,Control-1,48 hr,24,447.5528
283,ΔPP_0368,48 hr,24,399.1593
284,ΔPP_0368,48 hr,24,435.8887
285,ΔPP_0368,48 hr,24,424.5076
286,ΔPP_0751,48 hr,24,315.5526
287,ΔPP_0751,48 hr,24,372.6988
288,ΔPP_0751,48 hr,24,326.7373
289,ΔPP_0812,48 hr,24,364.1608
290,ΔPP_0812,48 hr,24,373.2333
291,ΔPP_0812,48 hr,24,318.7157
292,ΔPP_0813,48 hr,24,342.1211
