Protein.Group,PP_5417_log2_FC,PP_5417_log10_pval,PP_1770_log2_FC,PP_1770_log10_pval,PP_1240_log2_FC,PP_1240_log10_pval,PP_0548_log2_FC,PP_0548_log10_pval
PP_1157 PP_3365,-0.16568447284734827,2.2752237126075747,,,-0.876219929855528,2.9717770629591533,,
PP_1184,0.3967533327871592,3.745661647235655,,,1.8076377723004329,2.158527147627691,0.9259652664251732,3.6015276403728276
PP_1207,0.22438119007791418,1.3940754145080474,,,0.3542048287066528,2.2053182059275382,0.2541765287576956,1.6923833105818762
PP_1214,0.3408118369367099,1.8237896196132446,0.38343513453041006,1.8776015291284336,,,,
PP_1235,-1.0244975036158346,1.971896773488855,,,-0.8492158441259661,2.0434763782801544,-0.38469153686343754,1.9048570135640113
PP_1236,-1.2669713595886276,5.492238843538761,,,,,,
PP_1238,0.40463757951520096,2.6712452713372445,0.4102196985023972,1.6204138053837491,0.5986042464682015,6.471069866979363,0.2527639462457721,2.5934723296020112
PP_1262,1.2480019312405317,5.924956274818656,1.5362568748300143,3.5568934096695095,0.8799721346889406,3.1971484058388655,,
PP_1309,0.25647775165135184,2.2924762752779713,0.686095248660269,1.417828640666216,0.5529094581037367,4.1903744625866945,,
PP_1322,-0.8335246935759514,1.7596785623144646,,,,,,
PP_1347,0.2715468323861572,2.3278327443074422,0.24496904660592814,1.5349862508037928,0.44019977148697226,4.111516391253636,,
PP_1352,-0.26524729084933135,2.3909408529852083,,,-0.5307053767779986,3.7454386858975774,0.3861582515423312,1.4924615391309288
PP_1358,-3.4106910219292965,5.865296004901959,,,,,-1.030422522510112,1.6574316800598448
PP_1389,0.36012779792256167,1.9115767605548117,,,-2.569196017535169,6.756855734559658,-3.098415075851292,6.940642237798307
PP_1423,0.2741923044359445,5.598810634766477,,,,,,
PP_1459,0.416598606335527,1.949940806034114,,,1.3569691692211947,1.3503230290923471,,
PP_1518,0.49133788025614733,2.9884968752525984,0.8767407556259437,1.8134982489092082,1.3518285202455886,4.131818051428501,,
PP_1635,0.6072596070604832,1.348120140175581,1.1215797008911474,2.4068943262052813,0.5838433153577528,4.398362873310272,-1.0282598296614511,2.392608459971913
PP_1644,0.8927350409083363,3.821633714293044,,,0.6147077897783025,2.8900592410595123,,
PP_1646,0.319109824203659,7.3411539843076214,0.8566080659464075,6.200225076671738,1.2661003726543827,2.3979590582499495,0.2618656240128648,3.4871035259039243
PP_1726,0.4938415964790307,2.9331309572390314,,,1.8968830959494591,7.133849878890337,0.5153514002186401,2.3070756495779574
PP_1752,0.25657846180513394,2.0613264672005793,0.3283273428637919,2.3498694776752562,1.062667622378968,2.2762568598490907,,
PP_1779,-1.4596098368145582,2.3377060453368235,-1.2201674364027906,1.5833709855499327,-0.8915847162976691,3.7517989125187277,,
PP_1786,0.3230210446615365,5.141076538600144,0.22255084426225338,2.0691044538643992,-0.3651174831605928,2.778643968442176,,
PP_1792,-2.9215808058724084,6.665292689279302,,,-2.540778061759679,2.9598446723330456,,
PP_1794,-1.767833965240895,2.695985071726323,,,-1.4453439364154395,3.2335398128159807,,
PP_1795,2.3971260055377357,1.546493454765667,2.1922195371537003,1.3375267586880735,-3.197330194383771,1.4144262083759964,,
PP_1806,-2.3522317867746225,3.967327290766926,,,-1.9966938567104484,2.2423814339366555,,
PP_1816,0.5015215245102774,1.3084790180886967,0.613229527893906,2.247547529765572,1.1764173989500042,5.491935581721578,0.32345694593737184,2.0570753864225133
