Protein.Group,File1_abundance,File2_abundance,log2_change,p_value,log10_p_value
PP_0133,0.00840502725,0.013434215111111111,0.6765876329525403,0.04205728465105339,1.376158770145454
PP_0139,0.010005581083333333,0.015069087666666666,0.5907871184422074,0.025512786798932333,1.593242100179111
PP_0140,0.01060004975,0.014770071222222224,0.478605746974615,0.13934258503934574,0.8559161368335322
PP_0145,0.0006755715555555556,0.0042464792222222224,2.6520867000435118,0.012238720146549403,1.9122639957813985
PP_0154,0.00380585025,0.013879253222222223,1.8666392436631234,0.10421830569701096,0.9820559915455774
PP_0155,0.017672190555555557,0.016605000777777778,-0.08986308975387251,0.9181160085744768,0.037102440039920415
PP_0165,0.0045992498333333335,0.01156115511111111,1.3298150764000243,0.024750803734925865,1.6064106936202847
PP_0166,0.007658381333333333,0.02492112822222222,1.7022579800006243,2.923722742527251e-10,9.53406381403279
PP_0167,0.010604106083333334,0.012722065,0.26270985462677743,0.40881675966503306,0.388471308370299
PP_0168,0.03791595375,0.005076356333333334,-2.900939765986638,2.2438042610790063e-07,6.649015031569636
PP_0173,0.01069313275,0.005043421222222223,-1.0842099509484673,0.05794871109289074,1.2369562192598398
PP_0180,0.0007925957777777777,0.0033588014444444446,2.0832893260871788,0.054337359722756357,1.2649014679736208
PP_0183,0.013620333083333333,0.015646671777777777,0.20009382772187168,0.42566449746024493,0.37093257063583873
PP_0184,0.06657785716666667,0.07165389722222222,0.10600273659149138,0.010572488722041942,1.9758227694544188
PP_0185,0.014338065416666665,0.008081082555555556,-0.8272299026284795,0.017566823369697917,1.755306765410822
PP_0186,0.020402319,0.01929452588888889,-0.08054154939440003,0.4391919195328763,0.3573456588461379
PP_0188,0.03711424658333334,0.030477471000000003,-0.2842298885926512,0.050745333730762655,1.2946038869744076
PP_0189,0.04497799858333334,0.049162120000000004,0.12832766389987582,0.19054406830249962,0.7200045664068483
PP_0191,0.02855091083333333,0.01606034,-0.8300343360231321,0.0009330381651102794,3.030100591454143
PP_0194,0.03443001166666667,0.05516268711111111,0.6800260660446924,0.15947158653619664,0.7973166850819362
PP_0196,0.010569991833333334,0.004047907777777778,-1.3847259350076557,0.0001242551121267067,3.905685734403503
PP_0213,0.07404157466666667,0.08591084588888889,0.21450469933464575,0.00990012628673322,2.0043592654750193
PP_0214,0.04904476075,0.058497511333333335,0.25427622175236625,0.014639257263382185,1.8344809570615985
PP_0215,0.00266718625,0.005555740666666666,1.0586606861213623,0.05315911139382882,1.2744222873226503
PP_0227,0.029403566916666665,0.06069061333333333,1.0454822228849212,0.00012616711745847475,3.899053819157983
PP_0228,0.018477200750000002,0.018430399333333333,-0.003658878267348874,0.9837476291691644,0.007116301280899517
PP_0234,0.15175560899999999,0.09685719122222222,-0.6478187688408098,0.0007691325336720858,3.1139988179579485
PP_0235,0.041769314499999995,0.03483484444444444,-0.2619123458768761,0.41342192929483335,0.38360649065225455
PP_0243,0.027431640416666667,0.03371846444444445,0.2976979385602806,0.014788080009150769,1.8300882083938537
PP_0245,0.015964622916666667,0.02408007288888889,0.5929612821033773,0.05180797351123229,1.2856033949759904
PP_0246,0.0527783215,0.03270980688888889,-0.6902222274992299,0.000991907934116429,3.003528635870753
PP_0252,0.04838026441666666,0.04042428822222222,-0.2591962828046631,0.01870501697373393,1.7280418933681745
PP_0258,0.0474970975,0.058106722888888886,0.2908657371493657,0.4911946016421942,0.3087464148511916
PP_0260,0.01769873025,0.017077688666666667,-0.05153313103270753,0.83779267433735,0.07686344143096382
PP_0261,0.004799553916666667,0.00901756588888889,0.9098377352873261,0.05463844630742847,1.2625016586988518
PP_0263,0.002168728,0.0017273453333333333,-0.328292585440795,0.6725980312868383,0.17224440821156148
PP_0268,0.14177945516666665,0.13668285044444445,-0.05281625134250535,0.6550302150295313,0.18373866654570933
PP_0282,0.05033038383333333,0.042839783,-0.2324784279648096,0.20873483053063746,0.6804050763531916
PP_0283,0.009320896916666667,0.00717751411111111,-0.3769845251601458,0.12200503612390022,0.9136222421475583
PP_0285,0.005804583916666667,0.005077617555555556,-0.19304091996995235,0.6207546723263909,0.20708000289231457
PP_0287,0.018057338000000003,0.02384089877777778,0.4008533975585354,0.13553089230161405,0.8679617023764672
PP_0289,0.03305944,0.03312515611111111,0.0028649669057226024,0.9769354952309864,0.010134110784881308
PP_0290,0.03030385825,0.04647671644444444,0.6170066591450653,0.0028095421368453393,2.5513644500747987
PP_0292,0.07882295883333333,0.08794497855555555,0.1579852997101963,0.0700150211289365,1.1548087757919117
PP_0293,0.019865423666666666,0.010448452444444443,-0.9269702861795781,0.0030295614904802854,2.518620228278769
PP_0296,0.015511500083333333,0.012967111111111112,-0.2584811096664562,0.4149216099116503,0.3820339456940836
PP_0321,0.007014068333333334,0.006425378777777778,-0.1264699817956745,0.8482390135769167,0.07148175664461315
PP_0333,0.0057988768333333334,0.006583905555555556,0.18317014469532208,0.6920264422596896,0.15987731087839624
PP_0336,0.018337518,0.018362161555555555,0.0019375177747647165,0.9920557973608495,0.0034639006236027808
PP_0338,0.16945384016666667,0.20046411777777778,0.2424516919497098,0.02755281789433656,1.5598339781777675
PP_0339,0.3984662378333333,0.29839257155555554,-0.41724586906652356,0.0001501945767436985,3.8233457486421556
PP_0340,0.018082380083333332,0.02675065277777778,0.5649895128451488,0.005290867418498273,2.2764731211245346
PP_0341,0.008723794416666666,0.008258256333333332,-0.0791185721445117,0.8475384817972275,0.0718405738885656
PP_0343,0.0012592568333333334,0.008294658666666668,2.7196100543131583,0.0011870296375128978,2.925538437534354
PP_0344,0.00387967775,0.01940118977777778,2.3221363976084097,0.004614319246118625,2.335892361693692
PP_0346,0.008152802416666667,0.012150304444444445,0.5756245064031758,0.08742898332186944,1.0583445718262845
PP_0347,0.0061130680833333334,0.020837441777777778,1.769209628066776,0.01795803524321215,1.7457411804586718
PP_0354,0.0091516605,0.015282229666666666,0.7397496085024154,0.2392054614647842,0.621228908893737
PP_0356,0.037174673,0.036375220666666666,-0.031364051924894006,0.7621818225125585,0.11794141305089913
PP_0359,0.0028076019166666665,0.002721054777777778,-0.0451723938823031,0.8959000069807975,0.047740460025183666
PP_0366,0.012510871166666666,0.01606334588888889,0.3605901761480507,0.06608358541070578,1.1799064021004664
PP_0368,0.02123775425,0.024983283777777778,0.23433189691149678,0.6233930518771089,0.20523804252797476
PP_0370,0.009702542083333333,0.028869325999999997,1.5731027353612148,0.0032686912003604468,2.485626106129355
