Line Name,Measurement Type,Value,Time,Units
PP_4120,sp|Q88CP8,7930.47,24,counts
PP_4120,sp|Q88CU2,7930.47,24,counts
PP_4120,sp|Q88D10,7930.47,24,counts
PP_4120,sp|Q88D13,7930.47,24,counts
PP_4120,sp|Q88D26,7930.47,24,counts
PP_4120,sp|Q88D33,7930.47,24,counts
PP_4120,sp|Q88D86,7930.47,24,counts
PP_4120,sp|Q88DG7,7930.47,24,counts
PP_4120,sp|Q88DH6,7930.47,24,counts
PP_4120,sp|Q88DJ7,7930.47,24,counts
PP_4120,sp|Q88DK4,7930.47,24,counts
PP_4120,sp|Q88DN9,7930.47,24,counts
PP_4120,sp|Q88E09,7930.47,24,counts
PP_4120,sp|Q88E25,7930.47,24,counts
PP_4120,sp|Q88E73,7930.47,24,counts
PP_4120,sp|Q88E76,7930.47,24,counts
PP_4120,sp|Q88EB3,7930.47,24,counts
PP_4120,sp|Q88EF2,7930.47,24,counts
PP_4120,sp|Q88EG3,7930.47,24,counts
PP_4120,sp|Q88EG8,7930.47,24,counts
PP_4120,sp|Q88EI1,7930.47,24,counts
PP_4120,sp|Q88EU4,7930.47,24,counts
PP_4120,sp|Q88EZ2,7930.47,24,counts
PP_4120,sp|Q88F03,7930.47,24,counts
PP_4120,sp|Q88F94,7930.47,24,counts
PP_4120,sp|Q88FF1,7930.47,24,counts
PP_4120,sp|Q88FF4,7930.47,24,counts
PP_4120,sp|Q88FI2,7930.47,24,counts
PP_4120,sp|Q88FJ6,7930.47,24,counts
PP_4120,sp|Q88FJ8,7930.47,24,counts
PP_4120,sp|Q88FT5,7930.47,24,counts
PP_4120,sp|Q88FT7,7930.47,24,counts
PP_4120,sp|Q88FZ2,7930.47,24,counts
PP_4120,sp|Q88G97,7930.47,24,counts
PP_4120,sp|Q88GD8,7930.47,24,counts
PP_4120,sp|Q88GI4,7930.47,24,counts
PP_4120,sp|Q88GK1,7930.47,24,counts
PP_4120,sp|Q88GQ5,7930.47,24,counts
PP_4120,sp|Q88GS4,7930.47,24,counts
PP_4120,sp|Q88GU0,7930.47,24,counts
PP_4120,sp|Q88GU4,7930.47,24,counts
PP_4120,sp|Q88GW8,7930.47,24,counts
PP_4120,sp|Q88H15,7930.47,24,counts
PP_4120,sp|Q88H30,7930.47,24,counts
PP_4120,sp|Q88H31,7930.47,24,counts
PP_4120,sp|Q88H56,7930.47,24,counts
PP_4120,sp|Q88HC5,7930.47,24,counts
PP_4120,sp|Q88HR5,7930.47,24,counts
PP_4120,sp|Q88HW4,7930.47,24,counts
PP_4120,sp|Q88HY3,7930.47,24,counts
PP_4120,sp|Q88I78,7930.47,24,counts
PP_4120,sp|Q88I79,7930.47,24,counts
PP_4120,sp|Q88IA2,7930.47,24,counts
PP_4120,sp|Q88IH5,7930.47,24,counts
