Protein,PC1,PC2
Flgk,-0.01025080711238384,-0.013451037079888066
Flgl,-0.012774606958363051,-0.011711809470220963
Flhf,-0.017328827513616866,-0.02729427411361319
Flia,-0.020878427180634936,-0.0032864228065483383
Flic,-0.009571726422651639,-0.006514485879811885
Flid,-0.009443088429729246,-0.008718759707425944
Flif,0.0006629008984158117,0.00030677958689181387
Flii,-0.02181590899025842,-0.010615817173260713
Flim,-0.006999438381090386,-0.017789709861695577
Flin,0.037243151338311194,0.0457412622646142
Flis,0.004015183322606345,-0.026931942315884427
Fmt,-0.018782587998436233,-0.021471138791363482
Fola,-0.01999477565212259,0.012888857436071604
Folc,-0.02553409484896357,-0.014827087802750804
Fold2,-0.019469918921834826,-0.023291044815058042
Fole1,-0.01466434379405921,0.02381851643949599
Folp,-0.01712707081591983,-0.009570854132831421
Fpr,0.006940752426432198,-0.04481094540757851
Fpva,0.004604833367793163,0.01954650381719385
Frr,-0.014293901234701657,-0.0031028952919509045
Frua,-0.02018461278080039,-0.02659387670914228
Frub,-0.028594721470649787,-0.03553978696402935
Fruk,-0.02227599739706458,-0.030879211201239317
Frur,-0.0160716485963551,0.0029375927837987175
Ftsa,-0.02514964318954104,0.011601805874775115
Ftse,-0.028274488734438375,-0.02431263366386752
Ftsh,-0.013980303929237022,0.023122335420307515
Ftsi,-0.009105036998462471,-0.004298197658953126
Ftsk,-0.013291673641634767,-0.006842214112358635
Ftsx,-0.028219742364175997,-0.014925211969330504
Ftsy,0.010090823758046819,0.014424872763357247
Ftsz,0.01623320483867556,-0.0007924415071338325
Fumc,-0.04381467354329251,0.019061663534230007
Fumc-1,2.4148228298393516e-05,0.016629294981567642
Fur,-0.02858415263738802,0.001196582576381428
Fusa,0.03604354712297088,0.005771394029774349
Fusb,-0.04160345112098999,0.03365245795299529
Gacs,-0.03305197667098901,0.010960837506883307
Gad,-0.031061842714071756,-0.004073737242526486
Gale,-0.028174316036562033,0.026248333334839176
Galu,0.012308659281563166,0.004725310181246922
Gap-1,0.013106842030862785,-0.023704714334671282
Gap-2,-0.0012888637261135717,0.026580969579103546
Gata,-0.006172827901435605,0.031705321096677196
Gatb,-0.01689116801597999,0.00753067289499529
Gcd,-0.014308185923729488,0.03604179242672988
Gcdh,-0.009102492470559305,0.026820542763125024
Gcl,0.0014651544774291732,0.007062186150731581
Gcvh2,-0.0029218694950518776,0.01581030770971698
Gcvp1,0.006657131563559179,-0.041489943315031065
Gcvp2,-0.04169023120085335,0.0024050779826702375
Gcvt,-0.025367647818722052,-0.014129157961821407
Gcvt-1,-0.003987902601276897,-0.008470443510619317
Gdha,0.026316908140231965,-0.02064784252402423
Ggt-2,0.0009012537178499179,0.036881760351340366
Glcb,0.012097999936366706,0.022849321590653195
Glgp,-0.02321323864826645,0.03516734189473448
Glk,-0.008973986116550592,-0.01224436966032901
Glmm,-0.008685836089366565,0.008284205457719507
Glms,-0.03386438130492359,-0.0075487284899583545
Glmu,-0.013658334891498038,-0.008654943207761119
Glna,-0.004316725847883319,-0.019482456462601862
Glnd,-0.03979563664203065,0.0007049519667447091
Glne,-0.033028898498616927,0.010399645932735648
Glns,-0.021563425817342708,-0.019674983522562833
Gloa,-0.007661749323443151,0.025078000324733705
Glob,-0.021475834939384278,0.010388411289047142
Glpd,-0.015223829795046816,-0.015429427069983029
Glpe,-0.024774820494118627,0.0005271131268347281
Glpk,-0.005113192865298744,-0.021781820093113566
Glpr,-0.026390352598379754,-0.009899076994961802
Glta,0.005779264743858243,0.006265083947828104
Gltb,0.03163998092536317,-0.0012595348339387183
Gltd,-0.01295113097663742,-0.0475686827236043
Gltr-2,-0.009154797339406218,-0.05119594504571535
Gltx,-0.004494149301984723,0.049232413067369966
Glxr,-0.01790504448433974,0.0013722049756956516
Glya2,-0.01726362199759391,-0.018170879335962904
Glyq,-0.013026451528963898,-0.006426365244588674
Glys,-0.0049804325201382995,0.0005473510996904208
Gmd,0.03083425639767435,0.03350823778779853
Gmha,-0.025320006835784246,-0.018817583697047245
Gmk,0.01787013667656739,-0.00975022314848754
Gntp,-0.012464025881198264,-0.005886997816528659
Gnuk,-0.01752234082311156,-0.044683374377519965
Gor,-0.04036711272627624,0.004553525543643858
Gpmi,0.011654012128446216,0.01405248442990145
Gpsa,-0.04543508492194043,-0.009160439626641963
Grea,-0.028516512620983512,-0.032806613251187104
Greb,-0.02428366467376739,0.027116368736174134
Grol,0.010913549298179975,0.025526435245429226
Gros,-0.009304232453500039,0.010016309979982022
Grpe,0.0004480801724563383,0.010063472985306406
Gsha,0.011080688935429133,0.006036778045403227
Gshb,-0.022322314347716626,0.016915852970743755
Guaa,-0.0167012022233276,-0.004813513164816299
Guab,-0.008146320032107595,0.01215238187298342
Gyra,0.003978261005654393,0.021635091345646094
Gyrb,-0.0012537289133176678,-0.011722060055763792
Hema,-0.003694454993084578,-0.002382729178146082
Hemb-1,-0.04216013027828851,-0.016562987934395663
Hemc,-0.02298782046725173,0.006528865157556545
Heme,-0.017678396578538837,-0.011497302011146284
Hemf,-0.014978368047912957,-0.04620896561686454
Hemh,0.0001094163006987757,0.020992069995532606
Hemk,0.00892178774138751,-0.039743807160473474
Heml,-0.033482100212884267,-0.023924378985105563
Hemn,-0.016581002657388197,-0.00949508769355829
Hemy,-0.036518608657386424,0.02371502572909914
Hexr,-0.03497723124326776,0.030971495055247912
